Item1.Item1.Item1.Item1.Item1.Item1.Item1,Item1.Item1.Item1.Item1.Item1.Item1.Item2,Item1.Item1.Item1.Item1.Item1.Item2,Item1.Item1.Item1.Item1.Item2,Item1.Item1.Item1.Item2,Item1.Item1.Item2,Item1.Item2,Item2
162910.847008,1,0,0,0,1.978852,0,0
162910.848032,1,0,0,0,1.978852,0,0
162910.849024,1,0,0,0,1.978852,0,0
162910.850016,1,0,0,0,1.977593,0,0
162910.851008,1,0,0,0,1.98137,0,0
162910.852032,1,0,0,0,1.98137,0,0
162910.853024,1,0,0,0,1.982628,0,0
162910.854016,1,0,0,0,1.977593,0,0
162910.855008,1,0,0,0,1.98137,0,0
162910.856032,1,0,0,0,1.980111,0,0
162910.857024,1,0,0,0,1.98137,0,0
162910.858016,1,0,0,0,1.978852,0,0
162910.859008,1,0,0,0,1.978852,0,0
162910.860032,1,0,0,0,1.978852,0,0
162910.861024,1,0,0,0,1.977593,0,0
162910.862016,1,0,0,0,1.980111,0,0
162910.863008,1,0,0,0,1.98137,0,0
162910.864032,1,0,0,0,1.978852,0,0
162910.865024,1,0,0,0,1.978852,0,0
162910.866016,1,0,0,0,1.980111,0,0
162910.86624,1,0,0,0,1.980111,0,0
162910.867008,1,0,0,0,1.980111,0,0
162910.868032,1,0,0,0,1.980111,0,0
162910.869024,1,0,0,0,1.978852,0,0
162910.870016,1,0,0,0,1.978852,0,0
162910.871008,1,0,0,0,1.977593,0,0
162910.872032,1,0,0,0,1.977593,0,0
162910.873024,1,0,0,0,1.980111,0,0
162910.874016,1,0,0,0,1.978852,0,0
162910.875008,1,0,0,0,1.976334,0,0
162910.876032,1,0,0,0,1.977593,0,0
162910.877024,1,0,0,0,1.975075,0,0
162910.878016,1,0,0,0,1.975075,0,0
162910.879008,1,0,0,0,1.978852,0,0
162910.880032,1,0,0,0,1.977593,0,0
162910.881024,1,0,0,0,1.976334,0,0
162910.882016,1,0,0,0,1.975075,0,0
162910.883008,1,0,0,0,1.977593,0,0
162910.884032,1,0,0,0,1.980111,0,0
162910.885024,1,0,0,0,1.980111,0,0
162910.886016,1,0,0,0,1.977593,0,0
162910.887008,1,0,0,0,1.977593,0,0
162910.888032,1,0,0,0,1.978852,0,0
162910.889024,1,0,0,0,1.98137,0,0
162910.890016,1,0,0,0,1.976334,0,0
162910.891008,1,0,0,0,1.980111,0,0
162910.892032,1,0,0,0,1.980111,0,0
162910.893024,1,0,0,0,1.976334,0,0
162910.894016,1,0,0,0,1.978852,0,0
162910.895008,1,0,0,0,1.980111,0,0
162910.896032,1,0,0,0,1.980111,0,0
162910.897024,1,0,0,0,1.977593,0,0
162910.898016,1,0,0,0,1.978852,0,0
162910.899008,1,0,0,0,1.980111,0,0
162910.899552,1,0,0,0,1.980111,0,0
162910.900032,1,0,0,0,1.980111,0,0
162910.901024,1,0,0,0,1.977593,0,0
162910.902016,1,0,0,0,1.977593,0,0
162910.903008,1,0,0,0,1.975075,0,0
162910.904032,1,0,0,0,1.977593,0,0
162910.905024,1,0,0,0,1.978852,0,0
162910.906016,1,0,0,0,1.978852,0,0
162910.907008,1,0,0,0,1.976334,0,0
162910.908032,1,0,0,0,1.977593,0,0
162910.909024,1,0,0,0,1.978852,0,0
162910.910016,1,0,0,0,1.980111,0,0
162910.911008,1,0,0,0,1.980111,0,0
162910.912032,1,0,0,0,1.975075,0,0
162910.913024,1,0,0,0,1.980111,0,0
162910.914016,1,0,0,0,1.975075,0,0
162910.915008,1,0,0,0,1.980111,0,0
162910.916032,1,0,0,0,1.978852,0,0
162910.917024,1,0,0,0,1.977593,0,0
162910.918016,1,0,0,0,1.976334,0,0
162910.919008,1,0,0,0,1.978852,0,0
162910.920032,1,0,0,0,1.980111,0,0
162910.921024,1,0,0,0,1.980111,0,0
162910.922016,1,0,0,0,1.978852,0,0
162910.923008,1,0,0,0,1.978852,0,0
162910.924032,1,0,0,0,1.976334,0,0
162910.925024,1,0,0,0,1.977593,0,0
162910.926016,1,0,0,0,1.976334,0,0
162910.927008,1,0,0,0,1.978852,0,0
162910.928032,1,0,0,0,1.980111,0,0
162910.929024,1,0,0,0,1.980111,0,0
162910.930016,1,0,0,0,1.980111,0,0
162910.931008,1,0,0,0,1.980111,0,0
162910.932032,1,0,0,0,1.98137,0,0
162910.932896,1,0,0,0,1.98137,0,0
162910.933024,1,0,0,0,1.980111,0,0
162910.934016,1,0,0,0,1.977593,0,0
162910.935008,1,0,0,0,1.976334,0,0
162910.936032,1,0,0,0,1.977593,0,0
162910.937024,1,0,0,0,1.98137,0,0
162910.938016,1,0,0,0,1.98137,0,0
162910.939008,1,0,0,0,1.978852,0,0
162910.940032,1,0,0,0,1.980111,0,0
162910.941024,1,0,0,0,1.978852,0,0
162910.942016,1,0,0,0,1.978852,0,0
162910.943008,1,0,0,0,1.977593,0,0
162910.944032,1,0,0,0,1.978852,0,0
162910.945024,1,0,0,0,1.976334,0,0
162910.946016,1,0,0,0,1.978852,0,0
162910.947008,1,0,0,0,1.977593,0,0
162910.948032,1,0,0,0,1.978852,0,0
162910.949024,1,0,0,0,1.978852,0,0
162910.950016,1,0,0,0,1.978852,0,0
162910.951008,1,0,0,0,1.98137,0,0
162910.952032,1,0,0,0,1.978852,0,0
162910.953024,1,0,0,0,1.98137,0,0
162910.954016,1,0,0,0,1.980111,0,0
162910.955008,1,0,0,0,1.980111,0,0
162910.956032,1,0,0,0,1.980111,0,0
162910.957024,1,0,0,0,1.980111,0,0
