Item1,Item2
1589667963,265665
1590760545,265666
1591853123,265667
1592944682,265668
1594037262,265669
1595128811,265670
1596221394,265671
1597313974,265672
1598405531,265673
1599498111,265674
1600590692,265675
1601682431,265676
1602775012,265677
1603867598,265678
1604959149,265679
1606051730,265680
1607144312,265681
1608235867,265682
1609328449,265683
1611207651,265684
1612299199,265685
1613391782,265686
1614484368,265687
1615575919,265688
1616668499,265689
1617761080,265690
1618852629,265691
1619945212,265692
1621037798,265693
1622129537,265694
1623222119,265695
1624314699,265696
1625406248,265697
1626498831,265698
1627591417,265699
1628682967,265700
1629775548,265701
1630868129,265702
1631959874,265703
1633052455,265704
1634145037,265705
1635236586,265706
1636329168,265707
1637421755,265708
1638513304,265709
1639605885,265710
1640698467,265711
1641790021,265712
1642882603,265713
1644761805,265714
1645853355,265715
1646945937,265716
1648038518,265717
1649130072,265718
1650222653,265719
1651315236,265720
1652406786,265721
1653499366,265722
1654591954,265723
1655683503,265724
1656776273,265725
1657868854,265726
1658960403,265727
1660052991,265728
1661145572,265729
1662237123,265730
1663329704,265731
1664422243,265732
1665513835,265733
1666606605,265734
1667699191,265735
1668790742,265736
1669883323,265737
1670975909,265738
1672067459,265739
1673160041,265740
1674252613,265741
1675344178,265742
1676436758,265743
1678315960,265744
1679407511,265745
1680500092,265746
1681592665,265747
1682684223,265748
1683776810,265749
1684869383,265750
1685960941,265751
1687053522,265752
1688146101,265753
1689237659,265754
1690330240,265755
1691423001,265756
1692514559,265757
1693607146,265758
1694699721,265759
1695791277,265760
1696883859,265761
1697976432,265762
1699067996,265763
1700160766,265764
1701253339,265765
1702344897,265766
1703437478,265767
1704530057,265768
1705621615,265769
1706714195,265770
1707806770,265771
1708898327,265772
1709990913,265773
1711870109,265774
1712961665,265775
1714054246,265776
1715146819,265777
1716238378,265778
1717330965,265779
1718422515,265780
1719515096,265781
1720607676,265782
1721699232,265783
1722792002,265784
1723884584,265785
1724977158,265786
1726068714,265787
1727161296,265788
1728252851,265789
1729345433,265790
1730438014,265791
1731529569,265792
1732622150,265793
1733714914,265794
1734806471,265795
1735899052,265796
1736991633,265797
1738083182,265798
1739175769,265799
1740268350,265800
1741359901,265801
1742452481,265802
1743545068,265803
1745423050,265804
1746515821,265805
1747608401,265806
1748699951,265807
1749792532,265808
1750885120,265809
1751976669,265810
1753069251,265811
1754161831,265812
1755253388,265813
1756346157,265814
1757438739,265815
1758530289,265816
1759622869,265817
1760715450,265818
1761807007,265819
1762899588,265820
1763992169,265821
1765083719,265822
1766176300,265823
1767269075,265824
1768360630,265825
1769453207,265826
1770545787,265827
1771637337,265828
1772729924,265829
1773822506,265830
1774914056,265831
1776006637,265832
1777099224,265833
1778977394,265834
1780069787,265835
1781162557,265836
1782254106,265837
1783346688,265838
1784439276,265839
1785530824,265840
1786623405,265841
1787715946,265842
1788807542,265843
1789900306,265844
1790992894,265845
1792084443,265846
1793177025,265847
1794269606,265848
1795361161,265849
1796453743,265850
1797546316,265851
1798637874,265852
1799730460,265853
1800823225,265854
1801914781,265855
1803007362,265856
1804099936,265857
1805191492,265858
1806284074,265859
1807376654,265860
1808468210,265861
1809560792,265862
1810653371,265863
1812531550,265864
1813624131,265865
1814716705,265866
1815808261,265867
1816900843,265868
1817993422,265869
1819084979,265870
1820177560,265871
1821270134,265872
1822361697,265873
1823454468,265874
1824547042,265875
1825638599,265876
1826731179,265877
1827823753,265878
1828915317,265879
1830007897,265880
1831100471,265881
1832192029,265882
1833284609,265883
1834376166,265884
1835468747,265885
1836561517,265886
1837654091,265887
1838745647,265888
1839838229,265889
1840929785,265890
1842022365,265891
1843114946,265892
1844206496,265893
1846085698,265894
1847178286,265895
1848270859,265896
1849362417,265897
1850454998,265898
1851546552,265899
1852639135,265900
1853731716,265901
1854823266,265902
1855915847,265903
1857008617,265904
1858100172,265905
1859192754,265906
1860285334,265907
1861376885,265908
1862469471,265909
1863562054,265910
1864653603,265911
1865746183,265912
1866838771,265913
1867930320,265914
1869023090,265915
1870115672,265916
1871207221,265917
1872299803,265918
1873392383,265919
1874483940,265920
1875576521,265921
1876669102,265922
1877760658,265923
1879639859,265924
1880732442,265925
1881823991,265926
1882916572,265927
1884009153,265928
1885100709,265929
1886193290,265930
1887285872,265931
1888377421,265932
1889470008,265933
1890562590,265934
1891654328,265935
1892746908,265936
1893839490,265937
1894931039,265938
1896023627,265939
1897116208,265940
1898207758,265941
1899300338,265942
1900392921,265943
1901484664,265944
1902577246,265945
1903669827,265946
1904761377,265947
1905853957,265948
1906946545,265949
1908038094,265950
1909130676,265951
1910223216,265952
1911314807,265953
1913194008,265954
1914286596,265955
1915378146,265956
1916470726,265957
1917563309,265958
1918654864,265959
1919747446,265960
1920840019,265961
1921931576,265962
1923024164,265963
1924116737,265964
1925208294,265965
1926301064,265966
1927393637,265967
1928485199,265968
1929577782,265969
1930670356,265970
1931761912,265971
1932854500,265972
1933947074,265973
1935038819,265974
1936131402,265975
1937223975,265976
1938315532,265977
1939408113,265978
1940500693,265979
1941592250,265980
1942684832,265981
1943777405,265982
1944868968,265983
1946748163,265984
1947840744,265985
1948932300,265986
1950024881,265987
1951117456,265988
1952209013,265989
1953301601,265990
1954394174,265991
1955485730,265992
1956578312,265993
1957669868,265994
1958762450,265995
1959855219,265996
1960947792,265997
1962039350,265998
1963131937,265999
1964223486,266000
1965316068,266001
1966408650,266002
1967500203,266003
1968592786,266004
1969685557,266005
1970778130,266006
1971869686,266007
1972962268,266008
1974053824,266009
1975146406,266010
1976238986,266011
1977330536,266012
1978423117,266013
1980302136,266014
1981393875,266015
1982486455,266016
1983579037,266017
1984670587,266018
1985763175,266019
1986855756,266020
1987947305,266021
1989039886,266022
1990132473,266023
1991224022,266024
1992316792,266025
1993409375,266026
1994500923,266027
1995593504,266028
1996686087,266029
1997777641,266030
1998870224,266031
1999962804,266032
2001054353,266033
2002146942,266034
2003239711,266035
2004331260,266036
2005423842,266037
2006516424,266038
2007607979,266039
2008700560,266040
2009793142,266041
2010884690,266042
2011977272,266043
2013856292,266044
2014947841,266045
2016040612,266046
2017133192,266047
2018224742,266048
2019317329,266049
2020409911,266050
2021501459,266051
2022594042,266052
2023686622,266053
2024778178,266054
2025870949,266055
2026963530,266056
2028055078,266057
2029147661,266058
2030240248,266059
2031331798,266060
2032424379,266061
2033516912,266062
2034608509,266063
2035701096,266064
2036793670,266065
2037885415,266066
2038977998,266067
2040070578,266068
2041162135,266069
2042254715,266070
2043347289,266071
2044438846,266072
2045531428,266073
2047410438,266074
2048501997,266075
2049594577,266076
2050687300,266077
2051778896,266078
2052871484,266079
2053964057,266080
2055055615,266081
2056148196,266082
2057240777,266083
2058332333,266084
2059425103,266085
2060517677,266086
2061609233,266087
2062701815,266088
2063794395,266089
2064885953,266090
2065978533,266091
2067071107,266092
2068162665,266093
2069255251,266094
2070347826,266095
2071439572,266096
2072532153,266097
2073624726,266098
2074716289,266099
2075808875,266100
2076901444,266101
2077993002,266102
2079085583,266103
2080963571,266104
2082056151,266105
2083148921,266106
2084241495,266107
2085333053,266108
2086425640,266109
2087518214,266110
2088609770,266111
2089702352,266112
2090793907,266113
2091886489,266114
2092979070,266115
2094071832,266116
2095163390,266117
2096255970,266118
2097347527,266119
2098440108,266120
2099532689,266121
2100624238,266122
2101716819,266123
2102809406,266124
2103900957,266125
2104993537,266126
2106086308,266127
2107177863,266128
2108270445,266129
2109363025,266130
2110454576,266131
2111547157,266132
2112639744,266133
2114517725,266134
2115610306,266135
2116703076,266136
2117794626,266137
2118887208,266138
2119979794,266139
2121071345,266140
2122163926,266141
2123256506,266142
2124348063,266143
2125440643,266144
2126533224,266145
2127624964,266146
2128717544,266147
2129810126,266148
2130901681,266149
2131994263,266150
2133086844,266151
2134178394,266152
2135270975,266153
2136363561,266154
2137455112,266155
2138547693,266156
2139640274,266157
2140732018,266158
2141824599,266159
2142917180,266160
2144008731,266161
2145101312,266162
2146193899,266163
2148071881,266164
2149164461,266165
2150257232,266166
2151348782,266167
2152441362,266168
2153533949,266169
2154625499,266170
2155718081,266171
2156810662,266172
2157902218,266173
2158994798,266174
2160087373,266175
2161179118,266176
2162271699,266177
2163364281,266178
2164455836,266179
2165548417,266180
2166640992,266181
2167732548,266182
2168825129,266183
2169917709,266184
2171009267,266185
2172101847,266186
2173194422,266187
2174285984,266188
2175378754,266189
2176471328,266190
2177562886,266191
2178655467,266192
2179748047,266193
2181626036,266194
2182718616,266195
2183811379,266196
2184902937,266197
2185995517,266198
2187088098,266199
2188179655,266200
2189272236,266201
2190364809,266202
2191456367,266203
2192548953,266204
2193641527,266205
2194733085,266206
