Item1.Item1.Item1.Item1,Item1.Item1.Item1.Item2,Item1.Item1.Item2,Item1.Item2,Item2
4253874.677024,1,0,4.57578,0
4253874.678016,1,0,4.573263,0
4253874.679008,1,0,4.573263,0
4253874.680032,1,0,4.572004,0
4253874.681024,1,0,4.57578,0
4253874.682016,1,0,4.579557,0
4253874.683008,1,0,4.57578,0
4253874.684032,1,0,4.57578,0
4253874.685024,1,0,4.578298,0
4253874.686016,1,0,4.577039,0
4253874.687008,1,0,4.57578,0
4253874.688032,1,0,4.577039,0
4253874.689024,1,0,4.57578,0
4253874.690016,1,0,4.57578,0
4253874.691008,1,0,4.578298,0
4253874.692032,1,0,4.577039,0
4253874.693024,1,0,4.577039,0
4253874.694016,1,0,4.578298,0
4253874.695008,1,0,4.577039,0
4253874.696032,1,0,4.573263,0
4253874.697024,1,0,4.579557,0
4253874.698016,1,0,4.579557,0
4253874.69856,1,0,4.579557,0
4253874.699008,1,0,4.577039,0
4253874.700032,1,0,4.574522,0
4253874.701024,1,0,4.57578,0
4253874.702016,1,0,4.580816,0
4253874.703008,1,0,4.574522,0
4253874.704032,1,0,4.577039,0
4253874.705024,1,0,4.573263,0
4253874.706016,1,0,4.574522,0
4253874.707008,1,0,4.57578,0
4253874.708032,1,0,4.573263,0
4253874.709024,1,0,4.574522,0
4253874.710016,1,0,4.572004,0
4253874.711008,1,0,4.57578,0
4253874.712032,1,0,4.573263,0
4253874.713024,1,0,4.577039,0
4253874.714016,1,0,4.574522,0
4253874.715008,1,0,4.573263,0
4253874.716032,1,0,4.580816,0
4253874.717024,1,0,4.57578,0
4253874.718016,1,0,4.578298,0
4253874.719008,1,0,4.578298,0
4253874.720032,1,0,4.577039,0
4253874.721024,1,0,4.577039,0
4253874.722016,1,0,4.577039,0
4253874.723008,1,0,4.57578,0
4253874.724032,1,0,4.578298,0
4253874.725024,1,0,4.57578,0
4253874.726016,1,0,4.577039,0
4253874.727008,1,0,4.578298,0
4253874.728032,1,0,4.578298,0
4253874.729024,1,0,4.578298,0
4253874.730016,1,0,4.574522,0
4253874.731008,1,0,4.57578,0
4253874.731872,1,0,4.57578,0
4253874.732032,1,0,4.57578,0
4253874.733024,1,0,4.573263,0
4253874.734016,1,0,4.580816,0
4253874.735008,1,0,4.572004,0
4253874.736032,1,0,4.577039,0
4253874.737024,1,0,4.573263,0
4253874.738016,1,0,4.57578,0
4253874.739008,1,0,4.577039,0
4253874.740032,1,0,4.574522,0
4253874.741024,1,0,4.574522,0
4253874.742016,1,0,4.574522,0
4253874.743008,1,0,4.574522,0
4253874.744032,1,0,4.573263,0
4253874.745024,1,0,4.57578,0
4253874.746016,1,0,4.573263,0
4253874.747008,1,0,4.574522,0
4253874.748032,1,0,4.573263,0
4253874.749024,1,0,4.57578,0
4253874.750016,1,0,4.579557,0
4253874.751008,1,0,4.579557,0
4253874.752032,1,0,4.573263,0
4253874.753024,1,0,4.579557,0
4253874.754016,1,0,4.57578,0
4253874.755008,1,0,4.579557,0
4253874.756032,1,0,4.577039,0
4253874.757024,1,0,4.57578,0
4253874.758016,1,0,4.580816,0
4253874.759008,1,0,4.577039,0
4253874.760032,1,0,4.574522,0
4253874.761024,1,0,4.577039,0
4253874.762016,1,0,4.580816,0
4253874.763008,1,0,4.583333,0
4253874.764032,1,0,4.580816,0
4253874.765024,1,0,4.577039,0
4253874.765216,1,0,4.577039,0
4253874.766016,1,0,4.574522,0
4253874.767008,1,0,4.569487,0
4253874.768032,1,0,4.574522,0
4253874.769024,1,0,4.572004,0
4253874.770016,1,0,4.57578,0
4253874.771008,1,0,4.573263,0
4253874.772032,1,0,4.572004,0
4253874.773024,1,0,4.57578,0
4253874.774016,1,0,4.572004,0
4253874.775008,1,0,4.573263,0
4253874.776032,1,0,4.57578,0
4253874.777024,1,0,4.57578,0
4253874.778016,1,0,4.574522,0
4253874.779008,1,0,4.574522,0
4253874.780032,1,0,4.577039,0
4253874.781024,1,0,4.57578,0
4253874.782016,1,0,4.577039,0
4253874.783008,1,0,4.574522,0
4253874.784032,1,0,4.574522,0
4253874.785024,1,0,4.578298,0
4253874.786016,1,0,4.577039,0
4253874.787008,1,0,4.580816,0
4253874.788032,1,0,4.578298,0
4253874.789024,1,0,4.57578,0
4253874.790016,1,0,4.577039,0
4253874.791008,1,0,4.574522,0
4253874.792032,1,0,4.577039,0
4253874.793024,1,0,4.578298,0
4253874.794016,1,0,4.579557,0
4253874.795008,1,0,4.579557,0
4253874.796032,1,0,4.574522,0
4253874.797024,1,0,4.579557,0
4253874.798016,1,0,4.580816,0
4253874.798528,1,0,4.580816,0
4253874.799008,1,0,4.577039,0
4253874.800032,1,0,4.573263,0
4253874.801024,1,0,4.578298,0
4253874.802016,1,0,4.577039,0
4253874.803008,1,0,4.573263,0
4253874.804032,1,0,4.57578,0
4253874.805024,1,0,4.57578,0
4253874.806016,1,0,4.577039,0
4253874.807008,1,0,4.573263,0
4253874.808032,1,0,4.574522,0
4253874.809024,1,0,4.577039,0
4253874.810016,1,0,4.578298,0
4253874.811008,1,0,4.57578,0
4253874.812032,1,0,4.57578,0
4253874.813024,1,0,4.573263,0
4253874.814016,1,0,4.573263,0
4253874.815008,1,0,4.578298,0
4253874.816032,1,0,4.578298,0
4253874.817024,1,0,4.580816,0
4253874.818016,1,0,4.578298,0
4253874.819008,1,0,4.57578,0
4253874.820032,1,0,4.578298,0
4253874.821024,1,0,4.578298,0
4253874.822016,1,0,4.578298,0
4253874.823008,1,0,4.57578,0
4253874.824032,1,0,4.577039,0
4253874.825024,1,0,4.57578,0
4253874.826016,1,0,4.574522,0
4253874.827008,1,0,4.578298,0
4253874.828032,1,0,4.580816,0
4253874.829024,1,0,4.578298,0
4253874.830016,1,0,4.57578,0
4253874.831008,1,0,4.57578,0
4253874.831872,1,0,4.57578,0
4253874.832032,1,0,4.574522,0
4253874.833024,1,0,4.574522,0
4253874.834016,1,0,4.57578,0
4253874.835008,1,0,4.579557,0
4253874.836032,1,0,4.574522,0
4253874.837024,1,0,4.574522,0
4253874.838016,1,0,4.573263,0
4253874.839008,1,0,4.574522,0
4253874.840032,1,0,4.57578,0
4253874.841024,1,0,4.578298,0
4253874.842016,1,0,4.573263,0
4253874.843008,1,0,4.57578,0
4253874.844032,1,0,4.573263,0
4253874.845024,1,0,4.578298,0
4253874.846016,1,0,4.574522,0
4253874.847008,1,0,4.579557,0
4253874.848032,1,0,4.574522,0
4253874.849024,1,0,4.578298,0
4253874.850016,1,0,4.580816,0
4253874.851008,1,0,4.57578,0
4253874.852032,1,0,4.578298,0
4253874.853024,1,0,4.578298,0
4253874.854016,1,0,4.578298,0
4253874.855008,1,0,4.57578,0
4253874.856032,1,0,4.57578,0
4253874.857024,1,0,4.577039,0
4253874.858016,1,0,4.574522,0
4253874.859008,1,0,4.574522,0
4253874.860032,1,0,4.577039,0
4253874.861024,1,0,4.577039,0
4253874.862016,1,0,4.577039,0
4253874.863008,1,0,4.57578,0
4253874.864032,1,0,4.577039,0
4253874.865024,1,0,4.579557,0
4253874.865216,1,0,4.579557,0
4253874.866016,1,0,4.577039,0
4253874.867008,1,0,4.577039,0
4253874.868032,1,0,4.57578,0
4253874.869024,1,0,4.574522,0
4253874.870016,1,0,4.57578,0
4253874.871008,1,0,4.574522,0
4253874.872032,1,0,4.57578,0
4253874.873024,1,0,4.573263,0
4253874.874016,1,0,4.572004,0
4253874.875008,1,0,4.578298,0
4253874.876032,1,0,4.578298,0
4253874.877024,1,0,4.574522,0
4253874.878016,1,0,4.574522,0
4253874.879008,1,0,4.573263,0
4253874.880032,1,0,4.57578,0
4253874.881024,1,0,4.57578,0
