trialnum,imagenum
1,2040
2,2065
3,177
4,2406
5,2612
6,2751
7,2399
8,2194
9,1433
10,495
11,1112
12,373
13,86
14,2617
15,839
16,823
17,926
18,1299
19,1803
20,70
21,2341
22,1553
23,2372
24,966
25,1238
26,150
27,491
28,1837
29,917
30,2489
31,327
32,2736
33,1494
34,1956
35,2764
36,795
37,1145
38,1284
39,2110
40,2259
41,276
42,2773
43,991
44,156
45,1438
46,925
47,483
48,575
49,2490
50,1858
51,1288
52,2507
53,285
54,2048
55,2021
56,1542
57,505
58,1638
59,822
60,367
61,2040
62,2065
63,177
64,2406
65,2612
66,2751
67,2399
68,2194
69,1433
70,495
71,1112
72,373
73,86
74,2617
75,839
76,823
77,926
78,1299
79,1803
80,70
81,2341
82,1553
83,2372
84,966
85,1238
86,150
87,491
88,1837
89,917
90,2489
91,327
92,2736
93,1494
94,1956
95,2764
96,795
97,1145
98,1284
99,2110
100,2259
101,276
102,2773
103,991
104,156
105,1438
106,925
107,483
108,575
109,2490
110,1858
111,1288
112,2507
113,285
114,2048
115,2021
116,1542
117,505
118,1638
119,822
120,367
121,2040
122,2065
123,177
124,2406
125,2612
126,2751
127,2399
128,2194
129,1433
130,495
131,1112
132,373
133,86
134,2617
135,839
136,823
137,926
138,1299
139,1803
140,70
141,2341
142,1553
143,2372
144,966
145,1238
146,150
147,491
148,1837
149,917
150,2489
151,327
152,2736
153,1494
154,1956
155,2764
156,795
157,1145
158,1284
159,2110
160,2259
161,276
162,2773
163,991
164,156
165,1438
166,925
167,483
168,575
169,2490
170,1858
171,1288
172,2507
173,285
174,2048
175,2021
176,1542
177,505
178,1638
179,822
180,367
181,2040
182,2065
183,177
184,2406
185,2612
186,2751
187,2399
188,2194
189,1433
190,495
191,1112
192,373
193,86
194,2617
195,839
196,823
197,926
198,1299
199,1803
200,70
201,2341
202,1553
203,2372
204,966
205,1238
206,150
207,491
208,1837
209,917
210,2489
211,327
212,2736
213,1494
214,1956
215,2764
216,795
217,1145
218,1284
219,2110
220,2259
221,276
222,2773
223,991
224,156
225,1438
226,925
227,483
228,575
229,2490
230,1858
231,1288
232,2507
233,285
234,2048
235,2021
236,1542
237,505
238,1638
239,822
240,367
241,2040
242,2065
243,177
244,2406
245,2612
246,2751
247,2399
248,2194
249,1433
250,495
251,1112
252,373
253,86
254,2617
255,839
256,823
257,926
258,1299
259,1803
260,70
261,2341
262,1553
263,2372
264,966
265,1238
266,150
267,491
268,1837
269,917
270,2489
271,327
272,2736
273,1494
274,1956
275,2764
276,795
277,1145
278,1284
279,2110
280,2259
281,276
282,2773
283,991
284,156
285,1438
286,925
287,483
288,575
289,2490
290,1858
291,1288
292,2507
293,285
294,2048
295,2021
296,1542
297,505
298,1638
299,822
300,367
