trialnum,imagenum
1,2012
2,227
3,8
4,282
5,1504
6,2229
7,494
8,190
9,423
10,32
11,974
12,426
13,1650
14,800
15,995
16,1515
17,986
18,2269
19,1178
20,1892
21,197
22,666
23,1232
24,1496
25,1172
26,224
27,1205
28,655
29,1697
30,1654
31,462
32,489
33,1450
34,706
35,38
36,1699
37,1733
38,2136
39,1685
40,2017
41,621
42,100
43,2390
44,522
45,320
46,275
47,1584
48,1460
49,593
50,162
51,1852
52,1318
53,2044
54,2223
55,1804
56,1306
57,2155
58,46
59,123
60,300
61,624
62,792
63,462
64,577
65,646
66,971
67,2213
68,8
69,150
70,793
71,111
72,2044
73,570
74,513
75,1116
76,321
77,666
78,2067
79,928
80,239
81,1855
82,255
83,465
84,2292
85,190
86,26
87,2147
88,71
89,649
90,341
91,1286
92,2286
93,2125
94,1463
95,1506
96,2314
97,1250
98,2179
99,2155
100,1976
101,1227
102,1607
103,2107
104,2217
105,1954
106,1743
107,15
108,800
109,635
110,1641
111,16
112,1645
113,2217
114,901
115,2005
116,607
117,128
118,571
119,1091
120,454
121,437
122,1405
123,347
124,1693
125,2382
126,1298
127,2065
128,937
129,910
130,316
131,2288
132,294
133,535
134,1938
135,430
136,2287
137,1342
138,571
139,835
140,613
141,2234
142,2263
143,393
144,904
145,25
146,2102
147,1036
148,1513
149,2177
150,69
151,1176
152,70
153,684
154,1481
155,561
156,1488
157,1624
158,732
159,354
160,1296
161,1617
162,756
163,1693
164,1308
165,1249
166,2204
167,884
168,1044
169,78
170,1198
171,1831
172,241
173,227
174,1722
175,1607
176,1724
177,1766
178,1913
179,1201
180,1297
181,2082
182,242
183,2311
184,2032
185,1755
186,2311
187,182
188,1768
189,982
190,2258
191,668
192,1663
193,513
194,210
195,77
196,2230
197,2218
198,680
199,1702
200,51
201,1151
202,1467
203,511
204,1935
205,1413
206,1409
207,126
208,2250
209,15
210,925
211,285
212,686
213,548
214,1877
215,388
216,2395
217,38
218,1
219,2120
220,1806
221,779
222,380
223,1500
224,31
225,1138
226,79
227,950
228,959
229,1663
230,2290
231,1320
232,2396
233,125
234,1127
235,536
236,2288
237,1485
238,19
239,2337
240,1244
241,76
242,2317
243,1557
244,2312
245,985
246,132
247,2249
248,605
249,936
250,2352
251,1472
252,36
253,108
254,2119
255,994
256,80
257,1221
258,1389
259,219
260,1421
261,624
262,1046
263,1933
264,1300
265,1796
266,225
267,789
268,65
269,951
270,481
271,1463
272,621
273,693
274,2148
275,806
276,1656
277,1031
278,781
279,1636
280,913
281,1016
282,1692
283,95
284,2226
285,2176
286,850
287,1136
288,161
289,1023
290,1141
291,786
292,652
293,389
294,1598
295,351
296,382
297,1103
298,1664
299,2215
300,948
301,1549
302,2373
303,2067
304,758
305,1330
306,1313
307,1869
308,814
309,1942
310,1143
311,2335
312,1048
313,317
314,10
315,1995
316,1485
317,336
318,491
319,1136
320,521
321,240
322,884
323,490
324,571
325,708
326,54
327,2037
328,1543
329,59
330,811
331,128
332,2144
333,1808
334,536
335,220
336,446
337,350
338,1821
339,52
340,1661
341,2291
342,1993
343,1279
344,174
345,510
346,1010
347,2311
348,1147
349,1054
350,2200
351,1422
352,70
353,804
354,1514
355,2117
356,880
357,923
358,835
359,1267
360,584
361,2171
362,2319
363,516
364,1765
365,859
366,105
367,2230
368,2211
369,279
370,1804
371,785
372,1659
373,1521
374,2101
375,2074
376,1807
377,1234
378,831
379,2371
380,275
381,2275
382,1060
383,88
384,2237
385,2004
386,506
387,2308
388,697
389,934
390,233
391,1308
392,1375
393,1245
394,469
395,208
396,32
397,525
398,1265
399,1909
400,1139
401,819
402,263
403,900
404,451
405,610
406,1659
407,2056
408,1141
409,1912
410,2057
411,1159
412,1943
413,2251
414,1372
415,841
416,138
417,585
418,794
419,2047
420,1205
421,1567
422,1054
423,986
424,2076
425,1146
426,3
427,1731
428,1378
429,1948
430,90
431,1153
432,562
433,386
434,1273
435,13
436,2004
437,2209
438,1096
439,549
440,2286
441,1777
442,813
443,1522
444,846
445,2282
446,758
447,863
448,1855
449,1791
450,2149
451,667
452,2352
453,762
454,2227
455,267
456,832
457,428
458,820
459,951
460,1268
461,693
462,1406
463,1952
464,1690
465,571
466,916
467,515
468,853
469,722
470,1707
471,1876
472,907
473,401
474,633
475,1026
476,1442
477,1678
478,1461
479,373
480,1351
481,1871
482,2257
483,738
484,1633
485,1418
486,695
487,1603
488,1327
489,1189
490,992
491,1971
492,2326
493,1627
494,1783
495,1454
496,938
497,192
498,705
499,2210
500,2164
501,993
502,694
503,1904
504,529
505,204
506,1343
507,1456
508,2063
509,831
510,993
511,1868
512,957
513,1472
514,371
515,1684
516,1213
517,2370
518,2335
519,965
520,1124
521,2045
522,1507
523,1684
524,974
525,1669
526,703
527,1213
528,2172
529,526
530,1625
531,1762
532,1269
533,1502
534,2302
535,412
536,5
537,2330
538,211
539,1205
540,492
