trialnum,imagenum
1,5029
2,630
3,1559
4,1501
5,2634
6,5137
7,5039
8,264
9,1072
10,5013
11,1072
12,2344
13,5125
14,1072
15,32
16,5004
17,51
18,5099
19,5033
20,5012
21,650
22,5137
23,2129
24,5033
25,5123
26,1879
27,2478
28,5048
29,5119
30,5046
31,5138
32,5127
33,901
34,5139
35,5091
36,1990
37,2258
38,1891
39,5068
40,447
41,2071
42,5058
43,2743
44,5024
45,630
46,5128
47,5037
48,914
49,816
50,1526
51,5001
52,259
53,5150
54,5109
55,2321
56,2020
57,2258
58,1977
59,1191
60,5074
61,845
62,2693
63,5091
64,2561
65,5075
66,5129
67,5107
68,2702
69,2793
70,5102
71,5097
72,5033
73,895
74,5060
75,2219
76,5092
77,392
78,5046
79,2782
80,51
81,650
82,5011
83,5039
84,749
85,5118
86,1820
87,259
88,5047
89,2546
90,2091
91,83
92,1661
93,5128
94,797
95,5134
96,1032
97,2091
98,5093
99,2115
100,5046
101,5008
102,5123
103,2393
104,1915
105,5011
106,5089
107,5144
108,5124
109,1327
110,683
111,5073
112,5135
113,5006
114,1632
115,699
116,1866
117,5103
118,5081
119,5074
120,1538
121,1331
122,5081
123,5017
124,1943
125,514
126,2383
127,1176
128,5099
129,5145
130,2071
131,1072
132,1442
133,2634
134,1866
135,5026
136,5150
137,2206
138,1558
139,435
140,5143
141,5133
142,1538
143,2380
144,5074
145,2206
146,729
147,5043
148,5119
149,5030
150,32
151,5129
152,2524
153,1032
154,2583
155,5068
156,1710
157,1599
158,2230
159,5004
160,5013
161,5047
162,5103
163,5075
164,5077
165,5102
166,5055
167,1526
168,5112
169,2743
170,5124
171,5027
172,5059
173,5080
174,2239
175,5148
176,5072
177,2379
178,2413
179,5014
180,5028
181,5128
182,5054
183,1514
184,2130
185,5110
186,2796
187,1990
188,1977
189,1331
190,2071
191,5064
192,1507
193,5094
194,5136
195,5145
196,5072
197,5139
198,5108
199,1651
200,307
201,749
202,1327
203,1538
204,5149
205,647
206,5027
207,2220
208,630
209,5011
210,944
211,5074
212,5033
213,1507
214,5083
215,2321
216,5094
217,5082
218,5110
219,137
220,84
221,2297
222,1353
223,1813
224,1823
225,5015
226,5017
227,1501
228,2379
229,5145
230,5032
231,524
232,1897
233,1651
234,1879
235,705
236,142
237,5141
238,682
239,5038
240,2260
241,833
242,435
243,5135
244,5066
245,5050
246,1094
247,5093
248,2003
249,118
250,2751
251,2091
252,2413
253,1972
254,5041
255,938
256,5127
257,2372
258,5131
259,560
260,5095
261,166
262,693
263,5150
264,1185
265,2751
266,5016
267,5058
268,1559
269,1238
270,664
271,5063
272,2597
273,5136
274,1892
275,5063
276,901
277,2379
278,2546
279,832
280,1849
281,2693
282,5007
283,792
284,2686
285,5118
286,999
287,2230
288,2687
289,617
290,922
291,663
292,5076
293,5089
294,2720
295,1094
296,1185
297,5037
298,5080
299,2206
300,5123
301,5031
302,5049
303,5003
304,5088
305,5054
306,142
307,5150
308,5049
309,2383
310,1891
311,5103
312,5041
313,5095
314,5031
315,5068
316,2344
317,5120
318,5037
319,5006
320,1109
321,2033
322,2796
323,797
324,5021
325,5143
326,5097
327,5090
328,2372
329,5016
330,5034
331,922
332,5112
333,5035
334,2723
335,999
336,2634
337,2693
338,5010
339,2159
340,176
341,5125
342,1613
343,5083
344,489
345,5080
346,5079
347,5026
348,1514
349,5074
350,5150
351,5086
352,5129
353,5095
354,566
355,649
356,603
357,1894
358,2004
359,1357
360,5050
361,1832
362,5128
363,5088
364,2033
365,5013
366,1101
367,1844
368,5038
369,259
370,5113
371,999
372,649
373,5110
374,1813
375,1094
376,1358
377,538
378,5085
379,649
380,1472
381,5015
382,1729
383,5044
384,5079
385,5032
386,5138
387,5078
388,5064
389,5125
390,5001
391,2763
392,5069
393,454
394,1183
395,84
396,224
397,2793
398,2702
