trialnum,imagenum
1,2837
2,1233
3,2892
4,1271
5,2838
6,2928
7,2917
8,1178
9,2075
10,2514
11,2935
12,2584
13,2947
14,2849
15,281
16,1841
17,1928
18,119
19,1368
20,2854
21,2923
22,2927
23,2914
24,756
25,1449
26,1759
27,609
28,2894
29,643
30,762
31,2903
32,2845
33,983
34,1848
35,2833
36,2877
37,2580
38,1996
39,2902
40,2807
41,1187
42,2887
43,1271
44,1054
45,2840
46,396
47,1723
48,2210
49,871
50,2928
51,1792
52,2833
53,2887
54,2888
55,2827
56,2138
57,2820
58,2941
59,2845
60,705
61,2821
62,2879
63,119
64,2807
65,2934
66,2887
67,2916
68,304
69,2942
70,460
71,2937
72,2888
73,2894
74,1534
75,2563
76,99
77,2906
78,2864
79,2484
80,1704
81,91
82,744
83,1347
84,1140
85,2850
86,2844
87,2471
88,2948
89,2935
90,2876
91,2211
92,2925
93,1829
94,2871
95,2832
96,2913
97,2850
98,2883
99,2850
100,2901
101,1611
102,1643
103,2896
104,2934
105,1560
106,2809
107,2899
108,2917
109,2900
110,2820
111,2869
112,2901
113,2806
114,2879
115,2947
116,865
117,2807
118,2815
119,2391
120,2807
121,1009
122,1233
123,2874
124,1216
125,2549
126,1974
127,2395
128,2168
129,797
130,2850
131,2834
132,2842
133,2848
134,2009
135,2937
136,2942
137,409
138,2935
139,2945
140,2841
141,2844
142,1996
143,2808
144,2878
145,1242
146,2914
147,2190
148,999
149,2881
150,1435
151,1849
152,2858
153,1023
154,2928
155,2825
156,545
157,2219
158,2819
159,520
160,2945
161,971
162,2873
163,1440
164,2848
165,2868
166,2827
167,2816
168,2210
169,2885
170,2414
171,2810
172,2849
173,2879
174,2942
175,2893
176,2828
177,2834
178,2870
179,2631
180,2818
181,2811
182,2804
183,2948
184,423
185,742
186,2826
187,2811
188,2287
189,1560
190,2406
191,2879
192,2311
193,2854
194,2907
195,2287
196,2824
197,2130
198,1285
199,1847
200,2811
201,2897
202,2892
203,119
204,2287
205,2853
206,2678
207,871
208,2930
209,2939
210,2817
211,2908
212,2834
213,2861
214,1373
215,2889
216,746
217,2210
218,2913
219,40
220,2865
221,871
222,2915
223,2817
224,2910
225,1178
226,2130
227,2779
228,999
229,2836
230,1047
231,2840
232,2897
233,2844
234,2850
235,1271
236,2918
237,2941
238,40
239,2821
240,2921
241,2899
242,2901
243,2923
244,2898
245,2806
246,2931
247,2871
248,2897
249,2842
250,2872
251,2855
252,2828
253,2889
254,2930
255,2900
256,2855
257,92
258,532
259,2867
260,2576
261,1967
262,1967
263,2919
264,2836
265,2847
266,2813
267,2808
268,2643
269,1649
270,1369
271,1230
272,2877
273,2949
274,1513
275,1829
276,2860
277,2598
278,2878
279,2846
280,281
281,2869
282,170
283,2875
284,2854
285,2914
286,1375
287,2906
288,152
289,2414
290,2816
291,762
292,325
293,2810
294,1054
295,1841
296,2168
297,2678
298,170
299,2369
300,2849
301,2769
302,343
303,2906
304,91
305,723
306,2846
307,1675
308,319
309,2842
310,175
311,960
312,2921
313,838
314,1910
315,1064
316,2852
317,396
318,2874
319,2835
320,699
321,2914
322,2869
323,762
324,2848
325,2919
326,2907
327,2903
328,2859
329,2874
330,2850
331,2845
332,2867
333,2925
334,1463
335,2929
336,2853
337,2769
338,2888
339,2810
340,2939
341,2897
342,2943
343,2829
344,2904
345,2820
346,2866
347,1448
348,2277
349,2929
350,2873
351,1052
352,2802
353,2406
354,1605
355,2867
356,2854
357,2902
358,2295
359,1792
360,2844
361,2805
362,2901
363,2027
364,2835
365,2333
366,2811
367,2854
368,1088
369,905
370,2903
371,797
372,343
373,127
374,1047
375,2942
376,2815
377,2873
378,1534
379,1088
380,2263
381,2820
382,2471
383,1534
384,2822
385,2863
386,304
387,2933
388,2596
389,2703
390,1675
391,1052
392,2860
393,2881
394,2192
395,2893
396,742
397,2848
398,2936
399,190
400,2892
401,333
402,2563
403,2847
404,2822
405,2819
406,1723
407,865
408,763
409,2333
410,2867
411,692
412,2849
413,2877
414,2947
415,2584
416,2514
417,2190
418,2769
419,2584
420,672
421,2920
422,2781
423,2837
424,2936
425,2858
426,2075
427,2832
428,2866
429,2824
430,2917
431,2825
432,2901
433,2853
434,2888
435,2886
436,2703
437,2535
438,2514
439,1049
440,796
441,2855
442,174
443,2808
444,2920
445,343
446,635
447,2623
448,2471
449,2863
450,1641
451,2825
452,2793
453,2918
454,2831
455,2391
456,2817
457,2855
458,2920
459,2946
460,2831
461,2945
462,2831
463,1892
464,2890
465,2950
466,2858
467,261
468,2823
469,2909
470,2946
471,2922
472,798
473,2891
474,2833
475,2935
476,2584
477,2573
478,2668
479,1925
480,1375
481,2851
482,2818
483,1837
484,1892
485,635
486,545
487,1463
488,1517
489,1128
490,2947
491,2395
492,2913
493,2767
494,1448
495,2857
496,34
497,2856
498,2184
499,2819
500,2841
501,2824
502,2414
503,2935
504,2821
505,2822
506,744
507,1539
508,99
509,1503
510,2888
511,1178
512,2828
513,1128
514,1841
515,2922
516,2922
517,2913
518,361
519,2826
