trialnum,Orientation,TF,SF,Contrast,Phase
1,112.5,1,0.04,0.8,0
2,45,1,0.04,0.8,0
3,337.5,1,0.04,0.8,0
4,225,1,0.04,0.8,0
5,135,1,0.04,0.8,0
6,292.5,1,0.04,0.8,0
7,157.5,1,0.04,0.8,0
8,90,1,0.04,0.8,0
9,315,1,0.04,0.8,0
10,0,1,0.04,0.8,0
11,22.5,1,0.04,0.8,0
12,67.5,1,0.04,0.8,0
13,270,1,0.04,0.8,0
14,180,1,0.04,0.8,0
15,202.5,1,0.04,0.8,0
16,247.5,1,0.04,0.8,0
17,337.5,1,0.04,0.8,0
18,112.5,1,0.04,0.8,0
19,292.5,1,0.04,0.8,0
20,247.5,1,0.04,0.8,0
21,0,1,0.04,0.8,0
22,270,1,0.04,0.8,0
23,90,1,0.04,0.8,0
24,180,1,0.04,0.8,0
25,315,1,0.04,0.8,0
26,225,1,0.04,0.8,0
27,202.5,1,0.04,0.8,0
28,45,1,0.04,0.8,0
29,135,1,0.04,0.8,0
30,22.5,1,0.04,0.8,0
31,157.5,1,0.04,0.8,0
32,67.5,1,0.04,0.8,0
33,157.5,1,0.04,0.8,0
34,22.5,1,0.04,0.8,0
35,45,1,0.04,0.8,0
36,270,1,0.04,0.8,0
37,0,1,0.04,0.8,0
38,112.5,1,0.04,0.8,0
39,202.5,1,0.04,0.8,0
40,180,1,0.04,0.8,0
41,315,1,0.04,0.8,0
42,292.5,1,0.04,0.8,0
43,337.5,1,0.04,0.8,0
44,90,1,0.04,0.8,0
45,225,1,0.04,0.8,0
46,247.5,1,0.04,0.8,0
47,67.5,1,0.04,0.8,0
48,135,1,0.04,0.8,0
49,135,1,0.04,0.8,0
50,112.5,1,0.04,0.8,0
51,247.5,1,0.04,0.8,0
52,292.5,1,0.04,0.8,0
53,45,1,0.04,0.8,0
54,202.5,1,0.04,0.8,0
55,157.5,1,0.04,0.8,0
56,315,1,0.04,0.8,0
57,225,1,0.04,0.8,0
58,90,1,0.04,0.8,0
59,67.5,1,0.04,0.8,0
60,337.5,1,0.04,0.8,0
61,0,1,0.04,0.8,0
62,270,1,0.04,0.8,0
63,22.5,1,0.04,0.8,0
64,180,1,0.04,0.8,0
65,67.5,1,0.04,0.8,0
66,90,1,0.04,0.8,0
67,270,1,0.04,0.8,0
68,202.5,1,0.04,0.8,0
69,292.5,1,0.04,0.8,0
70,157.5,1,0.04,0.8,0
71,112.5,1,0.04,0.8,0
72,247.5,1,0.04,0.8,0
73,337.5,1,0.04,0.8,0
74,45,1,0.04,0.8,0
75,315,1,0.04,0.8,0
76,180,1,0.04,0.8,0
77,135,1,0.04,0.8,0
78,0,1,0.04,0.8,0
79,225,1,0.04,0.8,0
80,22.5,1,0.04,0.8,0
81,247.5,1,0.04,0.8,0
82,225,1,0.04,0.8,0
83,337.5,1,0.04,0.8,0
84,112.5,1,0.04,0.8,0
85,0,1,0.04,0.8,0
86,180,1,0.04,0.8,0
87,270,1,0.04,0.8,0
88,67.5,1,0.04,0.8,0
89,202.5,1,0.04,0.8,0
90,45,1,0.04,0.8,0
91,157.5,1,0.04,0.8,0
92,135,1,0.04,0.8,0
93,292.5,1,0.04,0.8,0
94,22.5,1,0.04,0.8,0
95,90,1,0.04,0.8,0
96,315,1,0.04,0.8,0
97,45,1,0.04,0.8,0
98,337.5,1,0.04,0.8,0
99,90,1,0.04,0.8,0
100,180,1,0.04,0.8,0
101,225,1,0.04,0.8,0
102,135,1,0.04,0.8,0
103,67.5,1,0.04,0.8,0
104,315,1,0.04,0.8,0
105,22.5,1,0.04,0.8,0
106,157.5,1,0.04,0.8,0
107,0,1,0.04,0.8,0
108,202.5,1,0.04,0.8,0
109,247.5,1,0.04,0.8,0
110,270,1,0.04,0.8,0
111,292.5,1,0.04,0.8,0
112,112.5,1,0.04,0.8,0
113,225,1,0.04,0.8,0
114,135,1,0.04,0.8,0
115,315,1,0.04,0.8,0
116,180,1,0.04,0.8,0
117,45,1,0.04,0.8,0
118,0,1,0.04,0.8,0
119,337.5,1,0.04,0.8,0
120,157.5,1,0.04,0.8,0
121,90,1,0.04,0.8,0
122,247.5,1,0.04,0.8,0
123,270,1,0.04,0.8,0
124,67.5,1,0.04,0.8,0
125,292.5,1,0.04,0.8,0
126,22.5,1,0.04,0.8,0
127,202.5,1,0.04,0.8,0
128,112.5,1,0.04,0.8,0
129,157.5,1,0.04,0.8,0
130,247.5,1,0.04,0.8,0
131,135,1,0.04,0.8,0
132,90,1,0.04,0.8,0
133,0,1,0.04,0.8,0
134,112.5,1,0.04,0.8,0
135,315,1,0.04,0.8,0
136,45,1,0.04,0.8,0
137,337.5,1,0.04,0.8,0
138,225,1,0.04,0.8,0
139,202.5,1,0.04,0.8,0
140,292.5,1,0.04,0.8,0
141,22.5,1,0.04,0.8,0
142,270,1,0.04,0.8,0
143,180,1,0.04,0.8,0
144,67.5,1,0.04,0.8,0
145,157.5,1,0.04,0.8,0
146,22.5,1,0.04,0.8,0
147,337.5,1,0.04,0.8,0
148,67.5,1,0.04,0.8,0
149,90,1,0.04,0.8,0
150,45,1,0.04,0.8,0
151,112.5,1,0.04,0.8,0
152,270,1,0.04,0.8,0
153,315,1,0.04,0.8,0
154,0,1,0.04,0.8,0
155,135,1,0.04,0.8,0
156,247.5,1,0.04,0.8,0
157,225,1,0.04,0.8,0
158,292.5,1,0.04,0.8,0
159,180,1,0.04,0.8,0
160,202.5,1,0.04,0.8,0
161,292.5,1,0.04,0.8,0
162,315,1,0.04,0.8,0
163,202.5,1,0.04,0.8,0
164,90,1,0.04,0.8,0
165,112.5,1,0.04,0.8,0
166,337.5,1,0.04,0.8,0
167,225,1,0.04,0.8,0
168,45,1,0.04,0.8,0
169,247.5,1,0.04,0.8,0
170,22.5,1,0.04,0.8,0
171,67.5,1,0.04,0.8,0
172,180,1,0.04,0.8,0
173,0,1,0.04,0.8,0
174,270,1,0.04,0.8,0
175,135,1,0.04,0.8,0
176,157.5,1,0.04,0.8,0
177,292.5,1,0.04,0.8,0
178,202.5,1,0.04,0.8,0
179,157.5,1,0.04,0.8,0
180,112.5,1,0.04,0.8,0
181,225,1,0.04,0.8,0
182,67.5,1,0.04,0.8,0
183,90,1,0.04,0.8,0
184,247.5,1,0.04,0.8,0
185,45,1,0.04,0.8,0
186,0,1,0.04,0.8,0
187,180,1,0.04,0.8,0
188,22.5,1,0.04,0.8,0
189,135,1,0.04,0.8,0
190,337.5,1,0.04,0.8,0
191,270,1,0.04,0.8,0
192,315,1,0.04,0.8,0
193,67.5,1,0.04,0.8,0
194,270,1,0.04,0.8,0
195,202.5,1,0.04,0.8,0
196,22.5,1,0.04,0.8,0
197,45,1,0.04,0.8,0
198,0,1,0.04,0.8,0
199,90,1,0.04,0.8,0
200,112.5,1,0.04,0.8,0
201,247.5,1,0.04,0.8,0
202,337.5,1,0.04,0.8,0
203,180,1,0.04,0.8,0
204,157.5,1,0.04,0.8,0
205,225,1,0.04,0.8,0
206,135,1,0.04,0.8,0
207,315,1,0.04,0.8,0
208,292.5,1,0.04,0.8,0
209,202.5,1,0.04,0.8,0
210,337.5,1,0.04,0.8,0
211,157.5,1,0.04,0.8,0
212,45,1,0.04,0.8,0
213,180,1,0.04,0.8,0
214,225,1,0.04,0.8,0
215,112.5,1,0.04,0.8,0
216,67.5,1,0.04,0.8,0
217,270,1,0.04,0.8,0
218,315,1,0.04,0.8,0
219,247.5,1,0.04,0.8,0
220,90,1,0.04,0.8,0
221,22.5,1,0.04,0.8,0
222,0,1,0.04,0.8,0
223,135,1,0.04,0.8,0
224,292.5,1,0.04,0.8,0
225,67.5,1,0.04,0.8,0
226,247.5,1,0.04,0.8,0
227,225,1,0.04,0.8,0
228,90,1,0.04,0.8,0
229,157.5,1,0.04,0.8,0
230,270,1,0.04,0.8,0
231,292.5,1,0.04,0.8,0
232,112.5,1,0.04,0.8,0
233,315,1,0.04,0.8,0
234,45,1,0.04,0.8,0
235,337.5,1,0.04,0.8,0
236,135,1,0.04,0.8,0
237,180,1,0.04,0.8,0
238,202.5,1,0.04,0.8,0
239,0,1,0.04,0.8,0
240,22.5,1,0.04,0.8,0
241,67.5,1,0.04,0.8,0
242,0,1,0.04,0.8,0
243,292.5,1,0.04,0.8,0
244,180,1,0.04,0.8,0
245,22.5,1,0.04,0.8,0
246,202.5,1,0.04,0.8,0
247,135,1,0.04,0.8,0
248,315,1,0.04,0.8,0
249,270,1,0.04,0.8,0
250,247.5,1,0.04,0.8,0
251,157.5,1,0.04,0.8,0
252,337.5,1,0.04,0.8,0
253,112.5,1,0.04,0.8,0
254,45,1,0.04,0.8,0
255,90,1,0.04,0.8,0
256,225,1,0.04,0.8,0
257,90,1,0.04,0.8,0
258,180,1,0.04,0.8,0
259,315,1,0.04,0.8,0
260,270,1,0.04,0.8,0
261,202.5,1,0.04,0.8,0
262,225,1,0.04,0.8,0
263,45,1,0.04,0.8,0
264,22.5,1,0.04,0.8,0
265,337.5,1,0.04,0.8,0
266,0,1,0.04,0.8,0
267,247.5,1,0.04,0.8,0
268,292.5,1,0.04,0.8,0
269,157.5,1,0.04,0.8,0
270,112.5,1,0.04,0.8,0
271,135,1,0.04,0.8,0
272,67.5,1,0.04,0.8,0
273,180,1,0.04,0.8,0
274,157.5,1,0.04,0.8,0
275,112.5,1,0.04,0.8,0
276,247.5,1,0.04,0.8,0
277,0,1,0.04,0.8,0
278,225,1,0.04,0.8,0
279,292.5,1,0.04,0.8,0
280,315,1,0.04,0.8,0
281,135,1,0.04,0.8,0
282,45,1,0.04,0.8,0
283,202.5,1,0.04,0.8,0
284,22.5,1,0.04,0.8,0
285,337.5,1,0.04,0.8,0
286,90,1,0.04,0.8,0
287,67.5,1,0.04,0.8,0
288,270,1,0.04,0.8,0
289,112.5,1,0.04,0.8,0
290,315,1,0.04,0.8,0
291,270,1,0.04,0.8,0
292,337.5,1,0.04,0.8,0
293,157.5,1,0.04,0.8,0
294,45,1,0.04,0.8,0
295,67.5,1,0.04,0.8,0
296,247.5,1,0.04,0.8,0
297,135,1,0.04,0.8,0
298,225,1,0.04,0.8,0
299,22.5,1,0.04,0.8,0
300,292.5,1,0.04,0.8,0
301,202.5,1,0.04,0.8,0
302,0,1,0.04,0.8,0
303,90,1,0.04,0.8,0
304,180,1,0.04,0.8,0
305,315,1,0.04,0.8,0
306,22.5,1,0.04,0.8,0
307,337.5,1,0.04,0.8,0
308,112.5,1,0.04,0.8,0
309,270,1,0.04,0.8,0
310,247.5,1,0.04,0.8,0
311,157.5,1,0.04,0.8,0
312,0,1,0.04,0.8,0
313,202.5,1,0.04,0.8,0
314,135,1,0.04,0.8,0
315,90,1,0.04,0.8,0
316,225,1,0.04,0.8,0
317,67.5,1,0.04,0.8,0
318,45,1,0.04,0.8,0
319,292.5,1,0.04,0.8,0
320,180,1,0.04,0.8,0
