trialnum,Orientation,TF,SF,Contrast
1,180,1,0.04,0.8
2,0,1,0.04,0.8
3,45,1,0.04,0.8
4,90,1,0.04,0.8
5,270,1,0.04,0.8
6,135,1,0.04,0.8
7,315,1,0.04,0.8
8,225,1,0.04,0.8
9,45,1,0.04,0.8
10,225,1,0.04,0.8
11,180,1,0.04,0.8
12,0,1,0.04,0.8
13,270,1,0.04,0.8
14,90,1,0.04,0.8
15,135,1,0.04,0.8
16,315,1,0.04,0.8
17,225,1,0.04,0.8
18,45,1,0.04,0.8
19,270,1,0.04,0.8
20,180,1,0.04,0.8
21,90,1,0.04,0.8
22,315,1,0.04,0.8
23,0,1,0.04,0.8
24,135,1,0.04,0.8
25,0,1,0.04,0.8
26,315,1,0.04,0.8
27,225,1,0.04,0.8
28,180,1,0.04,0.8
29,45,1,0.04,0.8
30,90,1,0.04,0.8
31,270,1,0.04,0.8
32,135,1,0.04,0.8
33,45,1,0.04,0.8
34,225,1,0.04,0.8
35,90,1,0.04,0.8
36,270,1,0.04,0.8
37,135,1,0.04,0.8
38,180,1,0.04,0.8
39,315,1,0.04,0.8
40,0,1,0.04,0.8
41,180,1,0.04,0.8
42,45,1,0.04,0.8
43,270,1,0.04,0.8
44,90,1,0.04,0.8
45,315,1,0.04,0.8
46,225,1,0.04,0.8
47,135,1,0.04,0.8
48,0,1,0.04,0.8
49,45,1,0.04,0.8
50,0,1,0.04,0.8
51,225,1,0.04,0.8
52,90,1,0.04,0.8
53,180,1,0.04,0.8
54,270,1,0.04,0.8
55,315,1,0.04,0.8
56,135,1,0.04,0.8
57,0,1,0.04,0.8
58,315,1,0.04,0.8
59,225,1,0.04,0.8
60,135,1,0.04,0.8
61,180,1,0.04,0.8
62,90,1,0.04,0.8
63,45,1,0.04,0.8
64,270,1,0.04,0.8
65,270,1,0.04,0.8
66,0,1,0.04,0.8
67,225,1,0.04,0.8
68,90,1,0.04,0.8
69,135,1,0.04,0.8
70,45,1,0.04,0.8
71,315,1,0.04,0.8
72,180,1,0.04,0.8
73,135,1,0.04,0.8
74,180,1,0.04,0.8
75,90,1,0.04,0.8
76,270,1,0.04,0.8
77,0,1,0.04,0.8
78,315,1,0.04,0.8
79,45,1,0.04,0.8
80,225,1,0.04,0.8
81,270,1,0.04,0.8
82,180,1,0.04,0.8
83,315,1,0.04,0.8
84,135,1,0.04,0.8
85,225,1,0.04,0.8
86,0,1,0.04,0.8
87,90,1,0.04,0.8
88,45,1,0.04,0.8
89,180,1,0.04,0.8
90,270,1,0.04,0.8
91,90,1,0.04,0.8
92,315,1,0.04,0.8
93,45,1,0.04,0.8
94,0,1,0.04,0.8
95,225,1,0.04,0.8
96,135,1,0.04,0.8
97,90,1,0.04,0.8
98,225,1,0.04,0.8
99,180,1,0.04,0.8
100,45,1,0.04,0.8
101,315,1,0.04,0.8
102,135,1,0.04,0.8
103,270,1,0.04,0.8
