trialnum,Orientation,TF,SF,Contrast,Phase
1,0,1,0.04,0.8,0
2,225,1,0.04,0.8,0
3,45,1,0.04,0.8,0
4,90,1,0.04,0.8,0
5,315,1,0.04,0.8,0
6,135,1,0.04,0.8,0
7,180,1,0.04,0.8,0
8,270,1,0.04,0.8,0
9,90,1,0.04,0.8,0
10,135,1,0.04,0.8,0
11,0,1,0.04,0.8,0
12,315,1,0.04,0.8,0
13,225,1,0.04,0.8,0
14,45,1,0.04,0.8,0
15,180,1,0.04,0.8,0
16,270,1,0.04,0.8,0
17,0,1,0.04,0.8,0
18,270,1,0.04,0.8,0
19,315,1,0.04,0.8,0
20,135,1,0.04,0.8,0
21,225,1,0.04,0.8,0
22,180,1,0.04,0.8,0
23,45,1,0.04,0.8,0
24,90,1,0.04,0.8,0
25,90,1,0.04,0.8,0
26,180,1,0.04,0.8,0
27,225,1,0.04,0.8,0
28,0,1,0.04,0.8,0
29,135,1,0.04,0.8,0
30,315,1,0.04,0.8,0
31,45,1,0.04,0.8,0
32,270,1,0.04,0.8,0
33,90,1,0.04,0.8,0
34,315,1,0.04,0.8,0
35,0,1,0.04,0.8,0
36,180,1,0.04,0.8,0
37,135,1,0.04,0.8,0
38,225,1,0.04,0.8,0
39,270,1,0.04,0.8,0
40,45,1,0.04,0.8,0
41,225,1,0.04,0.8,0
42,45,1,0.04,0.8,0
43,0,1,0.04,0.8,0
44,90,1,0.04,0.8,0
45,315,1,0.04,0.8,0
46,270,1,0.04,0.8,0
47,135,1,0.04,0.8,0
48,180,1,0.04,0.8,0
49,45,1,0.04,0.8,0
50,0,1,0.04,0.8,0
51,270,1,0.04,0.8,0
52,180,1,0.04,0.8,0
53,90,1,0.04,0.8,0
54,225,1,0.04,0.8,0
55,315,1,0.04,0.8,0
56,135,1,0.04,0.8,0
57,270,1,0.04,0.8,0
58,315,1,0.04,0.8,0
59,0,1,0.04,0.8,0
60,45,1,0.04,0.8,0
61,225,1,0.04,0.8,0
62,90,1,0.04,0.8,0
63,135,1,0.04,0.8,0
64,180,1,0.04,0.8,0
65,315,1,0.04,0.8,0
66,180,1,0.04,0.8,0
67,90,1,0.04,0.8,0
68,0,1,0.04,0.8,0
69,270,1,0.04,0.8,0
70,135,1,0.04,0.8,0
71,45,1,0.04,0.8,0
72,225,1,0.04,0.8,0
73,0,1,0.04,0.8,0
74,135,1,0.04,0.8,0
75,90,1,0.04,0.8,0
76,270,1,0.04,0.8,0
77,225,1,0.04,0.8,0
78,45,1,0.04,0.8,0
79,180,1,0.04,0.8,0
80,315,1,0.04,0.8,0
81,270,1,0.04,0.8,0
82,225,1,0.04,0.8,0
83,0,1,0.04,0.8,0
84,135,1,0.04,0.8,0
85,315,1,0.04,0.8,0
86,180,1,0.04,0.8,0
87,90,1,0.04,0.8,0
88,45,1,0.04,0.8,0
89,225,1,0.04,0.8,0
90,90,1,0.04,0.8,0
91,315,1,0.04,0.8,0
92,270,1,0.04,0.8,0
93,180,1,0.04,0.8,0
94,135,1,0.04,0.8,0
95,0,1,0.04,0.8,0
96,45,1,0.04,0.8,0
97,135,1,0.04,0.8,0
98,225,1,0.04,0.8,0
99,45,1,0.04,0.8,0
100,90,1,0.04,0.8,0
101,180,1,0.04,0.8,0
102,270,1,0.04,0.8,0
103,315,1,0.04,0.8,0
104,0,1,0.04,0.8,0
105,90,1,0.04,0.8,0
106,225,1,0.04,0.8,0
107,135,1,0.04,0.8,0
108,45,1,0.04,0.8,0
109,315,1,0.04,0.8,0
110,0,1,0.04,0.8,0
111,270,1,0.04,0.8,0
112,180,1,0.04,0.8,0
113,225,1,0.04,0.8,0
114,45,1,0.04,0.8,0
115,135,1,0.04,0.8,0
116,90,1,0.04,0.8,0
117,270,1,0.04,0.8,0
118,315,1,0.04,0.8,0
119,180,1,0.04,0.8,0
120,0,1,0.04,0.8,0
121,45,1,0.04,0.8,0
122,315,1,0.04,0.8,0
123,135,1,0.04,0.8,0
124,90,1,0.04,0.8,0
