trialnum,signal,RewardTrial
1,100,1
2,5,1
3,100,1
4,0,0
5,25,1
6,5,1
7,0,0
8,12,1
9,25,1
10,12,1
11,100,1
12,100,1
13,0,0
14,12,1
15,25,1
16,5,1
17,5,1
18,0,0
19,12,1
20,25,1
21,25,1
22,25,1
23,12,1
24,0,0
25,0,0
26,12,1
27,100,1
28,100,1
29,5,1
30,5,1
31,0,0
32,25,1
33,12,1
34,0,0
35,5,1
36,5,1
37,12,1
38,100,1
39,25,1
40,100,1
41,100,1
42,12,1
43,100,1
44,0,0
45,5,1
46,12,1
47,5,1
48,25,1
49,25,1
50,0,0
51,100,1
52,5,1
53,100,1
54,12,1
55,12,1
56,25,1
57,0,0
58,25,1
59,5,1
60,0,0
61,0,0
62,0,0
63,12,1
64,12,1
65,5,1
66,25,1
67,25,1
68,100,1
69,100,1
70,5,1
71,12,1
72,25,1
73,5,1
74,25,1
75,5,1
76,0,0
77,100,1
78,12,1
79,0,0
80,100,1
81,100,1
82,5,1
83,25,1
84,0,0
85,12,1
86,25,1
87,0,0
88,100,1
89,12,1
90,5,1
91,100,1
92,12,1
93,25,1
94,12,1
95,25,1
96,5,1
97,5,1
98,0,0
99,0,0
100,100,1
101,5,1
102,0,0
103,5,1
104,12,1
105,12,1
106,25,1
107,100,1
108,0,0
109,25,1
110,100,1
111,0,0
112,0,0
113,5,1
114,5,1
115,25,1
116,12,1
117,12,1
118,100,1
119,100,1
120,25,1
121,0,0
122,12,1
123,0,0
124,25,1
125,12,1
126,5,1
127,100,1
128,5,1
129,25,1
130,100,1
131,0,0
132,25,1
133,100,1
134,5,1
135,12,1
136,12,1
137,0,0
138,25,1
139,5,1
140,100,1
141,5,1
142,0,0
143,0,0
144,100,1
145,5,1
146,100,1
147,12,1
148,12,1
149,25,1
150,25,1
151,5,1
152,25,1
153,12,1
154,100,1
155,5,1
156,12,1
157,25,1
158,0,0
159,100,1
160,0,0
161,0,0
162,0,0
163,12,1
164,12,1
165,25,1
166,25,1
167,100,1
168,100,1
169,5,1
170,5,1
171,100,1
172,12,1
173,100,1
174,25,1
175,12,1
176,5,1
177,5,1
178,0,0
179,0,0
180,25,1
181,25,1
182,100,1
183,0,0
184,100,1
185,5,1
186,5,1
187,12,1
188,12,1
189,0,0
190,25,1
191,25,1
192,100,1
193,100,1
194,12,1
195,5,1
196,5,1
197,12,1
198,25,1
199,0,0
200,0,0
201,25,1
202,0,0
203,12,1
204,100,1
205,12,1
206,0,0
207,25,1
208,5,1
209,100,1
210,5,1
211,12,1
212,5,1
213,25,1
214,12,1
215,0,0
216,0,0
217,100,1
218,5,1
219,100,1
220,25,1
221,25,1
222,5,1
223,12,1
224,5,1
225,0,0
226,100,1
227,0,0
228,100,1
229,25,1
230,12,1
231,12,1
232,5,1
233,5,1
234,100,1
235,100,1
236,25,1
237,12,1
238,0,0
239,25,1
240,0,0
241,5,1
242,5,1
243,25,1
244,0,0
245,0,0
246,100,1
247,25,1
248,12,1
249,12,1
250,100,1
251,12,1
252,12,1
253,25,1
254,100,1
255,100,1
256,0,0
257,5,1
258,5,1
259,25,1
260,0,0
261,25,1
262,5,1
263,5,1
264,25,1
265,0,0
266,100,1
267,12,1
268,12,1
269,100,1
270,0,0
271,100,1
272,5,1
273,0,0
274,12,1
275,0,0
276,25,1
277,100,1
278,5,1
279,12,1
280,25,1
281,12,1
282,100,1
283,25,1
284,12,1
