trialnum,signal,RewardTrial
1,100,1
2,100,1
3,100,1
4,100,1
5,100,1
6,100,1
7,100,1
8,100,1
9,100,1
10,100,1
11,100,1
12,100,1
13,100,1
14,100,1
15,100,1
16,12,1
17,0,0
18,100,1
19,12,1
20,25,1
21,100,1
22,5,1
23,5,1
24,0,0
25,12,1
26,25,1
27,100,1
28,0,0
29,25,1
30,12,1
31,12,1
32,25,1
33,5,1
34,5,1
35,25,1
36,100,1
37,12,1
38,100,1
39,0,0
40,0,0
41,5,1
42,5,1
43,25,1
44,0,0
45,12,1
46,100,1
47,12,1
48,0,0
49,25,1
50,100,1
51,100,1
52,12,1
53,0,0
54,25,1
55,100,1
56,0,0
57,25,1
58,12,1
59,5,1
60,5,1
61,12,1
62,100,1
63,25,1
64,0,0
65,100,1
66,5,1
67,0,0
68,12,1
69,25,1
70,5,1
71,12,1
72,5,1
73,25,1
74,100,1
75,0,0
76,12,1
77,5,1
78,0,0
79,25,1
80,100,1
81,5,1
82,25,1
83,100,1
84,0,0
85,5,1
86,12,1
87,100,1
88,12,1
89,0,0
90,25,1
91,0,0
92,100,1
93,12,1
94,0,0
95,12,1
96,5,1
97,25,1
98,5,1
99,100,1
100,25,1
101,100,1
102,25,1
103,5,1
104,0,0
105,0,0
106,12,1
107,5,1
108,100,1
109,25,1
110,12,1
111,100,1
112,0,0
113,12,1
114,25,1
115,5,1
116,25,1
117,12,1
118,5,1
119,0,0
120,100,1
121,12,1
122,0,0
123,25,1
124,100,1
125,5,1
126,0,0
127,12,1
128,25,1
129,100,1
130,5,1
131,0,0
132,100,1
133,25,1
134,100,1
135,25,1
136,12,1
137,5,1
138,0,0
139,12,1
140,5,1
141,25,1
142,12,1
143,12,1
144,5,1
145,100,1
146,25,1
147,0,0
148,5,1
149,0,0
150,100,1
151,12,1
152,100,1
153,100,1
154,5,1
155,5,1
156,0,0
157,25,1
158,12,1
159,0,0
160,25,1
161,0,0
162,5,1
163,12,1
164,100,1
165,5,1
166,12,1
167,25,1
168,25,1
169,0,0
170,100,1
171,25,1
172,5,1
173,100,1
174,100,1
175,0,0
176,25,1
177,12,1
178,0,0
179,5,1
180,12,1
181,0,0
182,100,1
183,12,1
184,0,0
185,5,1
186,12,1
187,5,1
188,100,1
189,25,1
190,25,1
191,0,0
192,5,1
193,25,1
194,0,0
195,12,1
196,100,1
197,25,1
198,100,1
199,12,1
200,5,1
201,5,1
202,100,1
203,25,1
204,0,0
205,25,1
206,5,1
207,100,1
208,0,0
209,12,1
210,12,1
211,12,1
212,5,1
213,5,1
214,0,0
215,100,1
216,12,1
217,0,0
218,100,1
219,25,1
220,25,1
221,0,0
222,12,1
223,25,1
224,5,1
225,25,1
226,100,1
227,100,1
228,12,1
229,0,0
230,5,1
231,25,1
232,5,1
233,25,1
234,0,0
235,12,1
236,100,1
237,0,0
238,5,1
239,12,1
240,100,1
241,0,0
242,0,0
243,5,1
244,5,1
245,25,1
246,25,1
247,100,1
248,100,1
249,12,1
250,12,1
251,25,1
252,0,0
253,5,1
254,0,0
255,12,1
256,100,1
257,12,1
258,5,1
259,25,1
260,100,1
261,25,1
262,0,0
263,12,1
264,12,1
265,100,1
266,0,0
267,5,1
268,5,1
269,25,1
270,100,1
271,0,0
272,0,0
273,100,1
274,100,1
275,25,1
276,5,1
277,5,1
278,12,1
279,25,1
280,12,1
281,0,0
282,0,0
283,100,1
284,25,1
285,5,1
286,12,1
287,5,1
288,12,1
289,100,1
290,25,1
291,100,1
292,12,1
293,0,0
294,12,1
295,25,1
296,25,1
297,0,0
298,100,1
299,5,1
300,5,1
301,12,1
302,5,1
303,100,1
304,0,0
305,5,1
306,25,1
307,100,1
308,25,1
309,0,0
310,12,1
311,5,1
312,12,1
313,100,1
314,5,1
315,0,0
316,0,0
317,25,1
318,12,1
319,100,1
320,25,1
321,0,0
322,100,1
323,100,1
324,5,1
325,25,1
326,5,1
327,12,1
328,0,0
329,25,1
330,12,1
331,12,1
332,100,1
333,0,0
334,25,1
335,5,1
336,12,1
337,0,0
338,5,1
339,100,1
340,25,1
341,100,1
342,0,0
343,0,0
344,100,1
345,5,1
346,12,1
347,12,1
348,25,1
349,5,1
350,25,1
351,12,1
352,25,1
353,12,1
354,25,1
355,100,1
356,100,1
357,5,1
358,0,0
359,5,1
360,0,0
361,0,0
362,100,1
363,12,1
364,5,1
365,0,0
366,100,1
367,25,1
368,5,1
369,25,1
370,12,1
371,100,1
372,5,1
373,0,0
374,0,0
375,5,1
376,12,1
377,25,1
378,12,1
379,100,1
380,25,1
381,25,1
382,5,1
383,12,1
384,12,1
385,5,1
386,0,0
387,100,1
388,25,1
389,100,1
390,0,0
391,25,1
392,25,1
393,100,1
394,12,1
395,12,1
396,100,1
397,5,1
398,0,0
399,0,0
400,5,1
401,12,1
402,0,0
403,100,1
404,25,1
405,0,0
406,25,1
407,5,1
408,100,1
409,5,1
410,12,1
411,5,1
412,100,1
413,0,0
414,5,1
415,100,1
416,25,1
417,0,0
418,12,1
419,25,1
420,12,1
421,25,1
422,12,1
423,0,0
424,5,1
425,0,0
426,12,1
427,100,1
428,100,1
429,25,1
430,5,1
431,0,0
432,25,1
433,100,1
434,0,0
435,5,1
436,12,1
437,100,1
438,12,1
439,5,1
440,25,1
441,25,1
442,0,0
443,100,1
444,100,1
445,25,1
446,12,1
447,5,1
448,5,1
449,0,0
450,12,1
451,25,1
452,12,1
453,12,1
454,0,0
455,25,1
456,100,1
457,5,1
458,100,1
459,0,0
460,5,1
461,12,1
462,100,1
463,100,1
464,25,1
465,5,1
466,12,1
467,0,0
468,5,1
469,0,0
470,25,1
471,5,1
472,12,1
473,5,1
474,100,1
475,25,1
476,100,1
477,25,1
478,0,0
479,12,1
480,0,0
481,100,1
482,5,1
483,100,1
484,25,1
485,12,1
486,25,1
487,0,0
488,12,1
489,0,0
490,5,1
491,12,1
492,100,1
493,0,0
494,5,1
495,0,0
496,5,1
497,100,1
498,25,1
499,25,1
500,12,1
501,100,1
502,12,1
503,0,0
504,12,1
505,25,1
506,5,1
507,0,0
508,100,1
509,5,1
510,25,1
511,100,1
512,100,1
513,0,0
514,25,1
515,0,0
516,5,1
517,12,1
518,12,1
519,5,1
520,25,1
521,5,1
522,0,0
523,0,0
524,5,1
525,100,1
526,25,1
527,100,1
528,12,1
529,25,1
530,12,1
531,12,1
532,100,1
533,5,1
534,25,1
535,5,1
536,12,1
537,25,1
538,0,0
539,100,1
540,0,0
541,5,1
542,100,1
543,25,1
544,0,0
545,12,1
546,100,1
547,25,1
548,12,1
549,0,0
550,5,1
551,5,1
552,100,1
553,100,1
554,25,1
555,5,1
556,0,0
557,0,0
558,12,1
559,25,1
560,12,1
561,25,1
562,12,1
563,12,1
564,25,1
565,0,0
566,100,1
567,0,0
568,100,1
569,5,1
570,5,1
571,25,1
572,5,1
573,100,1
574,0,0
575,12,1
576,0,0
577,25,1
578,5,1
579,12,1
580,100,1
581,0,0
582,5,1
583,25,1
584,25,1
585,100,1
586,12,1
587,0,0
588,100,1
589,5,1
590,12,1
591,5,1
592,100,1
593,0,0
594,0,0
595,12,1
596,100,1
597,25,1
598,25,1
599,12,1
600,5,1
601,0,0
602,25,1
603,12,1
604,0,0
605,100,1
606,25,1
607,12,1
608,100,1
609,5,1
610,5,1
611,12,1
612,100,1
613,0,0
614,5,1
615,25,1
616,0,0
617,25,1
618,12,1
619,100,1
620,5,1
621,100,1
622,0,0
623,5,1
624,25,1
625,25,1
626,12,1
627,0,0
628,5,1
629,12,1
630,100,1
631,100,1
632,0,0
633,5,1
634,12,1
635,5,1
636,0,0
637,100,1
638,25,1
639,12,1
640,25,1
641,100,1
642,100,1
643,25,1
644,0,0
645,12,1
646,5,1
647,0,0
648,25,1
649,5,1
650,12,1
651,0,0
652,12,1
653,5,1
654,100,1
655,25,1
656,5,1
657,0,0
658,100,1
659,25,1
660,12,1
661,0,0
662,12,1
663,12,1
664,5,1
665,25,1
666,100,1
667,25,1
668,5,1
669,0,0
670,100,1
671,12,1
672,0,0
673,25,1
674,5,1
675,100,1
676,25,1
677,5,1
678,12,1
679,100,1
