trialnum,signal,RewardTrial
1,100,1
2,100,1
3,100,1
4,100,1
5,100,1
6,100,1
7,100,1
8,100,1
9,100,1
10,100,1
11,100,1
12,100,1
13,100,1
14,100,1
15,100,1
16,6,1
17,6,1
18,100,1
19,100,1
20,0,0
21,0,0
22,10,1
23,3,1
24,100,1
25,6,1
26,6,1
27,0,0
28,100,1
29,10,1
30,3,1
31,6,1
32,3,1
33,100,1
34,3,1
35,0,0
36,100,1
37,10,1
38,0,0
39,6,1
40,10,1
41,10,1
42,0,0
43,100,1
44,10,1
45,0,0
46,6,1
47,100,1
48,3,1
49,3,1
50,6,1
51,10,1
52,0,0
53,100,1
54,3,1
55,6,1
56,100,1
57,6,1
58,10,1
59,3,1
60,0,0
61,6,1
62,3,1
63,0,0
64,3,1
65,100,1
66,0,0
67,10,1
68,6,1
69,100,1
70,10,1
71,3,1
72,0,0
73,6,1
74,0,0
75,10,1
76,10,1
77,3,1
78,6,1
79,100,1
80,100,1
81,100,1
82,6,1
83,6,1
84,3,1
85,3,1
86,10,1
87,10,1
88,0,0
89,100,1
90,0,0
91,0,0
92,6,1
93,0,0
94,6,1
95,3,1
96,10,1
97,100,1
98,100,1
99,10,1
100,3,1
101,6,1
102,10,1
103,10,1
104,0,0
105,0,0
106,3,1
107,6,1
108,100,1
109,3,1
110,100,1
111,3,1
112,6,1
113,10,1
114,10,1
115,3,1
116,100,1
117,0,0
118,100,1
119,0,0
120,6,1
121,6,1
122,10,1
123,100,1
124,0,0
125,3,1
126,3,1
127,6,1
128,100,1
129,10,1
130,0,0
131,6,1
132,3,1
133,6,1
134,0,0
135,10,1
136,100,1
137,100,1
138,10,1
139,3,1
140,0,0
141,100,1
142,100,1
143,0,0
144,10,1
145,0,0
146,6,1
147,6,1
148,3,1
149,3,1
150,10,1
151,3,1
152,10,1
153,100,1
154,6,1
155,6,1
156,10,1
157,0,0
158,0,0
159,100,1
160,3,1
161,10,1
162,10,1
163,100,1
164,6,1
165,3,1
166,0,0
167,0,0
168,3,1
169,6,1
170,100,1
171,6,1
172,10,1
173,6,1
174,0,0
175,100,1
176,3,1
177,10,1
178,0,0
179,3,1
180,100,1
181,3,1
182,10,1
183,100,1
184,3,1
185,0,0
186,100,1
187,0,0
188,10,1
189,6,1
190,6,1
191,3,1
192,6,1
193,100,1
194,10,1
195,10,1
196,100,1
197,6,1
198,3,1
199,0,0
200,0,0
201,6,1
202,6,1
203,3,1
204,0,0
205,10,1
206,100,1
207,0,0
208,10,1
209,100,1
210,3,1
211,3,1
212,6,1
213,0,0
214,3,1
215,10,1
216,0,0
217,10,1
218,100,1
219,100,1
220,6,1
221,100,1
222,6,1
223,3,1
224,0,0
225,6,1
226,10,1
227,0,0
228,10,1
229,100,1
230,3,1
231,6,1
232,100,1
233,3,1
234,3,1
235,100,1
236,6,1
237,0,0
238,10,1
239,10,1
240,0,0
241,6,1
242,100,1
243,3,1
244,10,1
245,100,1
246,3,1
247,10,1
248,0,0
249,6,1
250,0,0
251,6,1
252,3,1
253,100,1
254,100,1
255,10,1
256,3,1
257,10,1
258,0,0
259,6,1
260,0,0
261,100,1
262,3,1
263,10,1
264,0,0
265,0,0
266,3,1
267,6,1
268,100,1
269,6,1
270,10,1
271,6,1
272,100,1
273,6,1
274,3,1
275,0,0
276,10,1
277,100,1
278,3,1
279,10,1
280,0,0
281,10,1
282,6,1
283,100,1
284,0,0
285,6,1
286,3,1
287,3,1
288,0,0
289,100,1
290,10,1
291,6,1
292,100,1
293,0,0
294,0,0
295,6,1
296,10,1
297,3,1
298,3,1
299,10,1
300,100,1
301,100,1
302,3,1
303,10,1
304,0,0
305,10,1
306,6,1
307,3,1
308,6,1
309,0,0
310,100,1
311,0,0
312,10,1
313,0,0
314,6,1
315,3,1
316,100,1
317,10,1
318,100,1
319,3,1
320,6,1
321,100,1
322,10,1
323,100,1
324,10,1
325,3,1
326,3,1
327,6,1
328,6,1
329,0,0
330,0,0
331,0,0
332,6,1
333,6,1
334,10,1
335,100,1
336,10,1
337,3,1
338,0,0
339,100,1
340,3,1
341,6,1
342,0,0
343,10,1
344,3,1
345,100,1
346,0,0
347,6,1
348,10,1
349,100,1
350,3,1
351,100,1
352,6,1
353,3,1
354,10,1
355,100,1
356,3,1
357,6,1
358,10,1
359,0,0
360,0,0
361,3,1
362,6,1
363,6,1
364,10,1
365,0,0
366,100,1
367,100,1
368,3,1
369,10,1
370,0,0
371,100,1
372,6,1
373,0,0
374,10,1
375,3,1
376,100,1
377,10,1
378,0,0
379,6,1
380,3,1
381,0,0
382,3,1
383,3,1
384,100,1
385,10,1
386,6,1
387,10,1
388,0,0
389,6,1
390,100,1
391,6,1
392,3,1
393,0,0
394,6,1
395,0,0
396,10,1
397,10,1
398,100,1
399,100,1
400,3,1
401,10,1
402,6,1
403,10,1
404,0,0
405,0,0
406,100,1
407,3,1
408,6,1
409,100,1
410,3,1
411,3,1
412,3,1
413,10,1
414,6,1
415,100,1
416,10,1
417,100,1
418,6,1
419,0,0
420,0,0
421,10,1
422,10,1
423,6,1
424,0,0
425,0,0
426,100,1
427,3,1
428,100,1
429,3,1
430,6,1
431,100,1
432,6,1
433,100,1
434,0,0
435,6,1
436,3,1
437,10,1
438,10,1
439,3,1
440,0,0
441,6,1
442,100,1
443,0,0
444,10,1
445,3,1
446,100,1
447,10,1
448,0,0
449,6,1
450,3,1
451,0,0
452,100,1
453,10,1
454,100,1
455,6,1
456,3,1
457,10,1
458,0,0
459,6,1
460,3,1
461,3,1
462,10,1
463,100,1
464,10,1
465,3,1
466,6,1
467,0,0
468,100,1
469,6,1
470,0,0
471,100,1
472,10,1
473,3,1
474,100,1
475,0,0
476,3,1
477,0,0
478,6,1
479,6,1
480,10,1
481,3,1
482,6,1
483,10,1
484,100,1
485,100,1
486,6,1
487,0,0
488,10,1
489,0,0
490,3,1
491,100,1
492,6,1
493,10,1
494,100,1
495,0,0
496,3,1
497,0,0
498,3,1
499,10,1
500,6,1
501,0,0
502,0,0
503,6,1
504,3,1
505,10,1
506,100,1
507,100,1
508,10,1
509,6,1
510,3,1
511,6,1
512,100,1
513,100,1
514,3,1
515,0,0
516,10,1
517,3,1
518,6,1
519,0,0
520,10,1
521,100,1
522,3,1
523,10,1
524,0,0
525,0,0
526,10,1
527,6,1
528,3,1
529,100,1
530,6,1
531,3,1
532,3,1
533,100,1
534,6,1
535,0,0
536,6,1
537,0,0
538,100,1
539,10,1
540,10,1
541,0,0
542,10,1
543,100,1
544,6,1
545,3,1
546,10,1
547,100,1
548,3,1
549,6,1
550,0,0
551,100,1
552,10,1
553,6,1
554,3,1
555,10,1
556,3,1
557,6,1
558,0,0
559,0,0
560,100,1
561,0,0
562,6,1
563,3,1
564,100,1
565,0,0
566,10,1
567,3,1
568,10,1
569,6,1
570,100,1
571,0,0
572,0,0
573,3,1
574,10,1
575,6,1
576,100,1
577,10,1
578,6,1
579,3,1
580,100,1
581,100,1
582,10,1
583,6,1
584,0,0
585,0,0
586,100,1
587,6,1
588,3,1
589,3,1
590,10,1
591,3,1
592,3,1
593,0,0
594,100,1
595,10,1
596,6,1
597,10,1
598,6,1
599,100,1
600,0,0
601,3,1
602,0,0
603,6,1
604,10,1
605,10,1
606,0,0
607,100,1
608,3,1
609,6,1
610,100,1
611,6,1
612,100,1
613,10,1
614,3,1
615,0,0
616,0,0
617,10,1
618,100,1
619,6,1
620,3,1
621,0,0
622,6,1
623,10,1
624,10,1
625,0,0
626,6,1
627,3,1
628,100,1
629,3,1
630,100,1
631,3,1
632,6,1
633,6,1
634,100,1
635,0,0
636,100,1
637,3,1
638,0,0
639,10,1
640,10,1
641,3,1
642,0,0
643,100,1
644,10,1
645,6,1
646,0,0
647,6,1
648,3,1
649,10,1
650,100,1
651,0,0
652,3,1
653,100,1
654,10,1
655,0,0
656,3,1
657,6,1
658,10,1
659,100,1
660,6,1
661,0,0
662,100,1
663,10,1
664,3,1
665,0,0
666,6,1
667,3,1
668,6,1
669,10,1
670,100,1
671,3,1
672,10,1
673,100,1
674,6,1
675,6,1
676,100,1
677,10,1
678,0,0
679,3,1
