trialnum,signal,RewardTrial
1,100,1
2,100,1
3,100,1
4,100,1
5,100,1
6,100,1
7,100,1
8,100,1
9,100,1
10,100,1
11,100,1
12,100,1
13,100,1
14,100,1
15,100,1
16,0,0
17,50,1
18,100,1
19,50,1
20,0,0
21,25,1
22,25,1
23,50,1
24,0,0
25,12,1
26,50,1
27,100,1
28,0,0
29,100,1
30,12,1
31,50,1
32,50,1
33,100,1
34,25,1
35,100,1
36,0,0
37,0,0
38,25,1
39,12,1
40,12,1
41,50,1
42,12,1
43,100,1
44,0,0
45,12,1
46,25,1
47,0,0
48,100,1
49,25,1
50,50,1
51,100,1
52,0,0
53,25,1
54,0,0
55,50,1
56,100,1
57,50,1
58,12,1
59,12,1
60,25,1
61,100,1
62,100,1
63,50,1
64,0,0
65,12,1
66,0,0
67,25,1
68,12,1
69,50,1
70,25,1
71,50,1
72,25,1
73,12,1
74,12,1
75,50,1
76,0,0
77,100,1
78,25,1
79,0,0
80,100,1
81,12,1
82,50,1
83,100,1
84,0,0
85,25,1
86,50,1
87,25,1
88,0,0
89,100,1
90,12,1
91,0,0
92,25,1
93,25,1
94,50,1
95,50,1
96,0,0
97,12,1
98,12,1
99,100,1
100,100,1
101,100,1
102,25,1
103,25,1
104,100,1
105,0,0
106,12,1
107,50,1
108,12,1
109,50,1
110,0,0
111,0,0
112,100,1
113,25,1
114,0,0
115,12,1
116,12,1
117,100,1
118,50,1
119,25,1
120,50,1
121,50,1
122,0,0
123,12,1
124,25,1
125,12,1
126,25,1
127,0,0
128,100,1
129,100,1
130,50,1
131,25,1
132,12,1
133,100,1
134,100,1
135,50,1
136,50,1
137,0,0
138,12,1
139,25,1
140,0,0
141,25,1
142,25,1
143,50,1
144,50,1
145,0,0
146,0,0
147,100,1
148,12,1
149,100,1
150,12,1
151,12,1
152,25,1
153,100,1
154,0,0
155,12,1
156,50,1
157,50,1
158,100,1
159,25,1
160,0,0
161,100,1
162,100,1
163,50,1
164,25,1
165,0,0
166,12,1
167,0,0
168,25,1
169,50,1
170,12,1
171,100,1
172,50,1
173,12,1
174,50,1
175,0,0
176,0,0
177,25,1
178,25,1
179,100,1
180,12,1
181,25,1
182,100,1
183,12,1
184,12,1
185,0,0
186,50,1
187,25,1
188,50,1
189,0,0
190,100,1
191,0,0
192,50,1
193,50,1
194,25,1
195,100,1
196,25,1
197,12,1
198,100,1
199,12,1
200,0,0
201,25,1
202,50,1
203,100,1
204,100,1
205,50,1
206,0,0
207,0,0
208,12,1
209,25,1
210,12,1
211,12,1
212,0,0
213,100,1
214,100,1
215,25,1
216,12,1
217,50,1
218,0,0
219,25,1
220,50,1
221,25,1
222,0,0
223,12,1
224,25,1
225,12,1
226,0,0
227,100,1
228,50,1
229,50,1
230,100,1
231,0,0
232,12,1
233,100,1
234,25,1
235,100,1
236,12,1
237,50,1
238,25,1
239,0,0
240,50,1
241,25,1
242,50,1
243,100,1
244,50,1
245,0,0
246,25,1
247,0,0
248,12,1
249,100,1
250,12,1
251,100,1
252,100,1
253,12,1
254,12,1
255,0,0
256,25,1
257,50,1
258,0,0
259,50,1
260,25,1
261,50,1
262,100,1
263,12,1
264,0,0
265,0,0
266,100,1
267,25,1
268,12,1
269,25,1
270,50,1
271,50,1
272,12,1
273,0,0
274,25,1
275,12,1
276,0,0
277,50,1
278,100,1
279,25,1
280,100,1
281,12,1
282,100,1
283,25,1
284,50,1
285,100,1
286,0,0
287,25,1
288,12,1
289,0,0
290,50,1
291,12,1
292,100,1
293,25,1
294,12,1
295,50,1
296,50,1
297,0,0
298,0,0
299,100,1
300,25,1
301,12,1
302,50,1
303,100,1
304,25,1
305,0,0
306,25,1
307,0,0
308,100,1
309,50,1
310,12,1
311,50,1
312,0,0
313,25,1
314,0,0
315,50,1
316,25,1
317,12,1
318,12,1
319,100,1
320,100,1
321,12,1
322,0,0
323,100,1
324,0,0
325,50,1
326,25,1
327,12,1
328,100,1
329,25,1
330,50,1
331,0,0
332,25,1
333,100,1
334,50,1
335,12,1
336,50,1
337,25,1
338,0,0
339,12,1
340,100,1
341,25,1
342,50,1
343,0,0
344,100,1
345,25,1
346,12,1
347,0,0
348,50,1
349,100,1
350,12,1
351,12,1
352,25,1
353,0,0
354,50,1
355,0,0
356,12,1
357,100,1
358,50,1
359,100,1
360,25,1
361,50,1
362,25,1
363,12,1
364,100,1
365,25,1
366,12,1
367,100,1
368,50,1
369,0,0
370,0,0
371,0,0
372,50,1
373,50,1
374,12,1
375,25,1
376,100,1
377,25,1
378,12,1
379,0,0
380,100,1
381,25,1
382,0,0
383,12,1
384,12,1
385,100,1
386,100,1
387,25,1
388,50,1
389,0,0
390,50,1
391,50,1
392,25,1
393,12,1
394,25,1
395,50,1
396,100,1
397,12,1
398,0,0
399,100,1
400,0,0
401,12,1
402,0,0
403,0,0
404,100,1
405,50,1
406,12,1
407,25,1
408,25,1
409,50,1
410,100,1
411,50,1
412,100,1
413,12,1
414,25,1
415,0,0
416,25,1
417,50,1
418,100,1
419,12,1
420,0,0
421,50,1
422,12,1
423,25,1
424,100,1
425,0,0
426,50,1
427,12,1
428,100,1
429,0,0
430,25,1
431,100,1
432,25,1
433,50,1
434,25,1
435,50,1
436,0,0
437,12,1
438,100,1
439,0,0
440,12,1
441,12,1
442,50,1
443,25,1
444,0,0
445,100,1
446,0,0
447,12,1
448,50,1
449,25,1
450,100,1
451,25,1
452,0,0
453,50,1
454,25,1
455,0,0
456,100,1
457,100,1
458,50,1
459,12,1
460,12,1
461,50,1
462,50,1
463,0,0
464,100,1
465,25,1
466,12,1
467,100,1
468,25,1
469,0,0
470,12,1
471,0,0
472,50,1
473,0,0
474,12,1
475,50,1
476,25,1
477,12,1
478,100,1
479,100,1
480,25,1
481,50,1
482,12,1
483,25,1
484,100,1
485,0,0
486,50,1
487,12,1
488,0,0
489,100,1
490,25,1
491,0,0
492,50,1
493,100,1
494,0,0
495,25,1
496,100,1
497,25,1
498,50,1
499,12,1
500,12,1
501,12,1
502,100,1
503,25,1
504,50,1
505,25,1
506,0,0
507,0,0
508,50,1
509,12,1
510,100,1
511,25,1
512,0,0
513,12,1
514,12,1
515,25,1
516,100,1
517,50,1
518,0,0
519,50,1
520,100,1
521,100,1
522,12,1
523,100,1
524,0,0
525,50,1
526,0,0
527,12,1
528,25,1
529,25,1
530,50,1
531,50,1
532,100,1
533,12,1
534,0,0
535,25,1
536,25,1
537,100,1
538,12,1
539,50,1
540,0,0
541,25,1
542,12,1
543,25,1
544,0,0
545,12,1
546,0,0
547,50,1
548,100,1
549,50,1
550,100,1
551,12,1
552,12,1
553,0,0
554,100,1
555,25,1
556,100,1
557,0,0
558,50,1
559,50,1
560,25,1
561,50,1
562,12,1
563,12,1
564,0,0
565,25,1
566,25,1
567,50,1
568,100,1
569,0,0
570,100,1
571,100,1
572,25,1
573,25,1
574,50,1
575,50,1
576,0,0
577,12,1
578,12,1
579,0,0
580,100,1
581,100,1
582,25,1
583,50,1
584,50,1
585,12,1
586,12,1
587,0,0
588,0,0
589,25,1
590,100,1
591,0,0
592,100,1
593,50,1
594,12,1
595,50,1
596,0,0
597,12,1
598,25,1
599,100,1
600,25,1
601,100,1
602,12,1
603,0,0
604,12,1
605,25,1
606,50,1
607,50,1
608,25,1
609,0,0
610,100,1
611,25,1
612,25,1
613,12,1
614,100,1
615,0,0
616,0,0
617,100,1
618,12,1
619,50,1
620,50,1
621,0,0
622,50,1
623,25,1
624,50,1
625,12,1
626,12,1
627,100,1
628,100,1
629,25,1
630,0,0
631,0,0
632,0,0
633,12,1
634,12,1
635,100,1
636,25,1
637,50,1
638,50,1
639,100,1
640,25,1
641,12,1
642,12,1
643,25,1
644,100,1
645,0,0
646,50,1
647,50,1
648,0,0
649,100,1
650,25,1
651,50,1
652,100,1
653,12,1
654,0,0
655,25,1
656,0,0
657,25,1
658,12,1
659,100,1
660,50,1
661,100,1
662,50,1
663,25,1
664,25,1
665,50,1
666,12,1
667,12,1
668,0,0
669,0,0
670,100,1
671,0,0
672,12,1
673,50,1
674,12,1
675,25,1
676,25,1
677,100,1
678,0,0
679,50,1
