trialnum,signal,RewardTrial
1,100,1
2,100,1
3,100,1
4,100,1
5,100,1
6,100,1
7,100,1
8,100,1
9,100,1
10,100,1
11,13,1
12,0,0
13,12,1
14,0,0
15,12,1
16,7,1
17,10,1
18,14,1
19,100,1
20,7,1
21,100,1
22,0,0
23,7,1
24,8,1
25,13,1
26,8,1
27,11,1
28,7,1
29,0,0
30,6,1
31,8,1
32,7,1
33,0,0
34,14,1
35,100,1
36,14,1
37,5,1
38,0,0
39,11,1
40,5,1
41,0,0
42,9,1
43,0,0
44,100,1
45,10,1
46,13,1
47,11,1
48,8,1
49,14,1
50,13,1
51,11,1
52,0,0
53,14,1
54,9,1
55,8,1
56,11,1
57,100,1
58,6,1
59,9,1
60,0,0
61,7,1
62,13,1
63,100,1
64,0,0
65,12,1
66,12,1
67,14,1
68,0,0
69,13,1
70,10,1
71,5,1
72,6,1
73,100,1
74,10,1
75,15,1
76,0,0
77,0,0
78,13,1
79,14,1
80,15,1
81,9,1
82,100,1
83,8,1
84,0,0
85,13,1
86,7,1
87,15,1
88,14,1
89,9,1
90,0,0
91,8,1
92,12,1
93,12,1
94,0,0
95,13,1
96,100,1
97,11,1
98,6,1
99,0,0
100,11,1
101,5,1
102,0,0
103,13,1
104,12,1
105,100,1
106,11,1
107,7,1
108,12,1
109,0,0
110,12,1
111,8,1
112,5,1
113,13,1
114,13,1
115,0,0
116,0,0
117,10,1
118,12,1
119,100,1
120,13,1
121,8,1
122,0,0
123,14,1
124,11,1
125,100,1
126,8,1
127,8,1
128,14,1
129,9,1
130,0,0
131,100,1
132,7,1
133,0,0
134,14,1
135,12,1
136,15,1
137,7,1
138,100,1
139,13,1
140,10,1
141,11,1
142,5,1
143,0,0
144,11,1
145,11,1
146,10,1
147,0,0
148,6,1
149,10,1
150,100,1
151,6,1
152,13,1
153,11,1
154,12,1
155,11,1
156,100,1
157,11,1
158,0,0
159,15,1
160,0,0
161,0,0
162,7,1
163,10,1
164,13,1
165,10,1
166,0,0
167,13,1
168,7,1
169,12,1
170,100,1
171,14,1
172,7,1
173,9,1
174,5,1
175,7,1
176,12,1
177,0,0
178,14,1
179,0,0
180,100,1
181,8,1
182,0,0
183,5,1
184,0,0
185,14,1
186,10,1
187,14,1
188,8,1
189,100,1
190,12,1
191,5,1
192,10,1
193,100,1
194,8,1
195,0,0
196,8,1
197,0,0
198,15,1
199,13,1
200,8,1
201,0,0
202,11,1
203,9,1
204,100,1
205,11,1
206,15,1
207,11,1
208,7,1
209,13,1
210,100,1
211,100,1
212,12,1
213,6,1
214,100,1
215,7,1
216,8,1
217,0,0
218,9,1
219,10,1
220,8,1
221,0,0
222,0,0
223,100,1
224,13,1
225,13,1
226,8,1
227,11,1
228,6,1
229,12,1
230,8,1
231,12,1
232,8,1
233,100,1
234,12,1
235,100,1
236,0,0
237,9,1
238,9,1
239,7,1
240,12,1
241,13,1
242,14,1
243,10,1
244,7,1
245,11,1
246,7,1
247,0,0
248,100,1
249,9,1
250,0,0
251,0,0
252,14,1
253,0,0
254,9,1
255,100,1
256,14,1
257,9,1
258,12,1
259,11,1
260,6,1
261,9,1
262,14,1
263,6,1
264,0,0
265,100,1
266,9,1
267,100,1
268,7,1
269,7,1
270,9,1
271,14,1
272,10,1
273,13,1
274,9,1
275,10,1
276,0,0
277,100,1
278,15,1
279,6,1
280,0,0
281,6,1
282,12,1
283,100,1
284,14,1
285,6,1
286,0,0
287,12,1
288,100,1
289,6,1
290,12,1
291,0,0
292,11,1
293,5,1
294,13,1
295,15,1
296,9,1
297,100,1
298,8,1
299,0,0
300,5,1
301,7,1
302,11,1
303,0,0
304,100,1
305,11,1
306,8,1
307,12,1
308,6,1
309,14,1
310,100,1
311,6,1
312,100,1
313,8,1
314,12,1
315,10,1
316,100,1
317,10,1
318,9,1
319,0,0
320,13,1
321,8,1
322,11,1
323,0,0
324,14,1
325,100,1
326,8,1
327,13,1
328,100,1
329,13,1
330,6,1
331,0,0
332,7,1
333,9,1
334,100,1
335,12,1
336,0,0
337,12,1
338,12,1
339,5,1
340,6,1
341,13,1
342,13,1
343,12,1
344,100,1
345,100,1
346,0,0
347,14,1
348,14,1
349,7,1
350,10,1
351,13,1
352,10,1
353,0,0
354,11,1
355,11,1
356,0,0
357,12,1
358,100,1
359,6,1
360,10,1
361,7,1
362,8,1
363,11,1
364,0,0
365,12,1
366,9,1
367,0,0
368,10,1
369,6,1
370,100,1
371,100,1
372,7,1
373,8,1
374,9,1
375,7,1
376,0,0
377,8,1
378,14,1
379,100,1
380,11,1
381,100,1
382,14,1
383,11,1
384,0,0
385,8,1
386,6,1
387,10,1
388,0,0
389,9,1
390,12,1
391,13,1
392,9,1
393,11,1
394,7,1
395,14,1
396,100,1
397,10,1
398,100,1
399,0,0
400,8,1
401,7,1
402,15,1
403,12,1
404,100,1
405,12,1
406,0,0
407,12,1
408,0,0
409,13,1
410,11,1
411,10,1
412,14,1
413,9,1
414,7,1
415,8,1
416,100,1
417,14,1
418,12,1
419,0,0
420,0,0
421,14,1
422,0,0
423,100,1
424,100,1
425,9,1
426,11,1
427,5,1
428,14,1
429,10,1
430,10,1
431,13,1
432,0,0
433,8,1
434,100,1
435,11,1
436,8,1
437,8,1
438,11,1
439,9,1
440,100,1
441,100,1
442,6,1
443,7,1
444,15,1
445,12,1
446,0,0
447,12,1
448,8,1
449,0,0
450,5,1
451,11,1
452,5,1
453,8,1
454,7,1
455,9,1
456,100,1
457,100,1
458,0,0
459,13,1
460,11,1
461,0,0
462,8,1
463,0,0
464,100,1
465,8,1
466,6,1
467,7,1
468,12,1
469,6,1
470,14,1
471,0,0
472,9,1
473,6,1
474,11,1
475,13,1
476,0,0
477,8,1
478,100,1
479,13,1
480,12,1
481,11,1
482,0,0
483,9,1
484,0,0
485,9,1
486,9,1
487,9,1
488,7,1
489,100,1
490,10,1
491,5,1
492,11,1
493,0,0
494,5,1
495,14,1
496,100,1
497,14,1
498,0,0
499,8,1
500,15,1
501,15,1
502,15,1
503,7,1
504,5,1
505,100,1
506,7,1
507,8,1
508,7,1
509,0,0
510,0,0
511,13,1
512,7,1
513,0,0
514,9,1
515,8,1
516,8,1
517,14,1
518,5,1
519,0,0
520,100,1
521,0,0
522,6,1
523,9,1
524,0,0
525,13,1
526,7,1
527,14,1
528,15,1
529,9,1
530,100,1
531,15,1
532,6,1
533,13,1
534,0,0
535,0,0
536,11,1
537,11,1
538,10,1
539,7,1
540,100,1
541,100,1
542,100,1
543,6,1
544,11,1
545,13,1
546,12,1
547,0,0
548,10,1
549,14,1
550,11,1
551,7,1
552,12,1
553,8,1
554,100,1
555,0,0
556,100,1
557,12,1
558,15,1
559,8,1
560,14,1
561,12,1
562,6,1
563,0,0
564,0,0
565,7,1
566,14,1
567,10,1
568,100,1
569,14,1
570,13,1
571,5,1
572,100,1
573,13,1
574,0,0
575,12,1
576,14,1
577,100,1
578,11,1
579,11,1
580,6,1
581,100,1
582,7,1
583,5,1
584,9,1
585,0,0
586,0,0
587,8,1
588,8,1
589,10,1
590,7,1
591,14,1
592,14,1
593,11,1
594,5,1
595,0,0
596,0,0
597,100,1
598,14,1
599,12,1
600,6,1
601,15,1
602,0,0
603,100,1
604,0,0
605,8,1
606,13,1
607,10,1
608,11,1
609,10,1
610,11,1
611,100,1
612,0,0
613,7,1
614,11,1
615,7,1
616,9,1
617,100,1
618,10,1
619,10,1
620,13,1
621,15,1
622,15,1
623,0,0
624,12,1
625,7,1
626,0,0
627,5,1
628,100,1
629,7,1
630,11,1
631,11,1
632,9,1
633,11,1
634,0,0
635,100,1
636,100,1
637,14,1
638,8,1
639,8,1
640,6,1
641,10,1
642,100,1
643,13,1
644,8,1
645,13,1
646,9,1
647,11,1
648,0,0
649,0,0
650,15,1
651,12,1
652,15,1
653,100,1
654,6,1
655,14,1
656,0,0
657,6,1
658,6,1
659,11,1
660,100,1
661,9,1
662,8,1
663,13,1
664,8,1
665,100,1
666,0,0
667,0,0
668,11,1
669,10,1
670,8,1
671,0,0
672,0,0
673,13,1
674,11,1
675,6,1
676,8,1
677,7,1
678,11,1
679,100,1
