trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,B,stim_parametric_1_5,stim_parametric_1_5,245,0
2,A,stim_parametric_1_1,stim_parametric_1_1,106,1
3,B,stim_parametric_1_5,stim_parametric_1_5,246,0
4,B,stim_parametric_1_5,stim_parametric_1_5,128,0
5,A,stim_parametric_1_1,stim_parametric_1_1,200,1
6,B,stim_parametric_1_5,stim_parametric_1_5,188,0
7,B,stim_parametric_1_5,stim_parametric_1_5,201,0
8,A,stim_parametric_1_1,stim_parametric_1_1,154,1
9,A,stim_parametric_1_1,stim_parametric_1_1,193,1
10,A,stim_parametric_1_1,stim_parametric_1_1,222,1
11,A,stim_parametric_1_1,stim_parametric_1_1,102,1
12,B,stim_parametric_1_5,stim_parametric_1_5,112,0
13,B,stim_parametric_1_5,stim_parametric_1_5,247,0
14,A,stim_parametric_1_1,stim_parametric_1_1,198,1
15,B,stim_parametric_1_5,stim_parametric_1_5,134,0
16,B,stim_parametric_1_5,stim_parametric_1_5,160,0
17,B,stim_parametric_1_5,stim_parametric_1_5,118,0
18,A,stim_parametric_1_1,stim_parametric_1_1,140,1
19,A,stim_parametric_1_1,stim_parametric_1_1,138,1
20,A,stim_parametric_1_1,stim_parametric_1_1,150,1
21,A,stim_parametric_1_1,stim_parametric_1_1,122,1
22,B,stim_parametric_1_5,stim_parametric_1_5,152,0
23,A,stim_parametric_1_1,stim_parametric_1_1,118,1
24,A,stim_parametric_1_1,stim_parametric_1_1,233,1
25,A,stim_parametric_1_1,stim_parametric_1_1,114,1
26,B,stim_parametric_1_5,stim_parametric_1_5,240,0
27,B,stim_parametric_1_5,stim_parametric_1_5,160,0
28,B,stim_parametric_1_5,stim_parametric_1_5,107,0
29,A,stim_parametric_1_1,stim_parametric_1_1,151,1
30,B,stim_parametric_1_5,stim_parametric_1_5,211,0
31,A,stim_parametric_1_1,stim_parametric_1_1,219,1
32,B,stim_parametric_1_5,stim_parametric_1_5,182,0
33,A,stim_parametric_1_1,stim_parametric_1_1,203,1
34,A,stim_parametric_1_1,stim_parametric_1_1,234,1
35,A,stim_parametric_1_1,stim_parametric_1_1,108,1
36,B,stim_parametric_1_5,stim_parametric_1_5,145,0
37,B,stim_parametric_1_5,stim_parametric_1_5,106,0
38,B,stim_parametric_1_5,stim_parametric_1_5,129,0
39,B,stim_parametric_1_5,stim_parametric_1_5,208,0
40,A,stim_parametric_1_1,stim_parametric_1_1,208,1
41,A,stim_parametric_1_1,stim_parametric_1_1,232,1
42,B,stim_parametric_1_5,stim_parametric_1_5,187,0
43,A,stim_parametric_1_1,stim_parametric_1_1,110,1
44,A,stim_parametric_1_1,stim_parametric_1_1,239,1
45,B,stim_parametric_1_5,stim_parametric_1_5,220,0
46,A,stim_parametric_1_1,stim_parametric_1_1,143,1
47,B,stim_parametric_1_5,stim_parametric_1_5,182,0
48,B,stim_parametric_1_5,stim_parametric_1_5,248,0
49,B,stim_parametric_1_5,stim_parametric_1_5,208,0
