trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,B,stim_5_5_100,stim_parametric_1_5,232,0
2,B,stim_5_1_100,stim_parametric_1_5,249,0
3,A,stim_5_1_100,stim_parametric_1_1,187,1
4,B,stim_5_1_100,stim_parametric_1_5,162,0
5,A,stim_5_1_100,stim_parametric_1_1,221,1
6,A,stim_5_5_100,stim_parametric_1_1,173,1
7,A,stim_5_1_100,stim_parametric_1_1,217,1
8,A,stim_5_1_100,stim_parametric_1_1,175,1
9,B,stim_5_5_100,stim_parametric_1_5,247,0
10,B,stim_5_5_100,stim_parametric_1_5,169,0
11,B,stim_5_1_100,stim_parametric_1_5,234,0
12,A,stim_5_1_100,stim_parametric_1_1,158,1
13,A,stim_5_5_100,stim_parametric_1_1,155,1
14,B,stim_5_5_100,stim_parametric_1_5,219,0
15,B,stim_5_1_100,stim_parametric_1_5,191,0
16,A,stim_5_1_100,stim_parametric_1_1,229,1
17,A,stim_5_1_100,stim_parametric_1_1,241,1
18,B,stim_5_5_100,stim_parametric_1_5,246,0
19,B,stim_5_1_100,stim_parametric_1_5,197,0
20,A,stim_5_1_100,stim_parametric_1_1,179,1
21,A,stim_5_5_100,stim_parametric_1_1,150,1
22,A,stim_5_5_100,stim_parametric_1_1,203,1
23,B,stim_5_1_100,stim_parametric_1_5,193,0
24,B,stim_5_1_100,stim_parametric_1_5,163,0
25,B,stim_5_1_100,stim_parametric_1_5,248,0
26,A,stim_5_5_100,stim_parametric_1_1,238,1
27,B,stim_5_1_100,stim_parametric_1_5,250,0
28,A,stim_5_1_100,stim_parametric_1_1,229,1
29,B,stim_5_5_100,stim_parametric_1_5,180,0
30,A,stim_5_1_100,stim_parametric_1_1,176,1
31,B,stim_5_5_100,stim_parametric_1_5,173,0
32,B,stim_5_5_100,stim_parametric_1_5,151,0
33,A,stim_5_1_100,stim_parametric_1_1,213,1
34,A,stim_5_1_100,stim_parametric_1_1,240,1
35,B,stim_5_1_100,stim_parametric_1_5,248,0
36,A,stim_5_1_100,stim_parametric_1_1,153,1
37,A,stim_5_1_100,stim_parametric_1_1,156,1
38,B,stim_5_5_100,stim_parametric_1_5,191,0
39,B,stim_5_5_100,stim_parametric_1_5,197,0
40,A,stim_5_5_100,stim_parametric_1_1,181,1
41,A,stim_5_5_100,stim_parametric_1_1,179,1
42,B,stim_5_5_100,stim_parametric_1_5,224,0
43,B,stim_5_1_100,stim_parametric_1_5,182,0
44,A,stim_5_1_100,stim_parametric_1_1,160,1
45,B,stim_5_5_100,stim_parametric_1_5,200,0
46,A,stim_5_5_100,stim_parametric_1_1,188,1
47,B,stim_5_1_100,stim_parametric_1_5,201,0
48,B,stim_5_1_100,stim_parametric_1_5,201,0
49,A,stim_5_1_100,stim_parametric_1_1,188,1
50,A,stim_5_5_100,stim_parametric_1_1,250,1
51,B,stim_parametric_1_5,stim_5_5_100,195,0
52,A,stim_parametric_1_1,stim_5_1_100,238,1
53,A,stim_parametric_1_1,stim_5_1_100,180,1
54,A,stim_parametric_1_1,stim_5_5_100,248,1
55,A,stim_parametric_1_1,stim_5_1_100,188,1
56,B,stim_parametric_1_5,stim_5_1_100,246,0
57,B,stim_parametric_1_5,stim_5_1_100,217,0
58,B,stim_parametric_1_5,stim_5_1_100,183,0
59,A,stim_parametric_1_1,stim_5_5_100,201,1
60,B,stim_parametric_1_5,stim_5_5_100,165,0
61,B,stim_parametric_1_5,stim_5_5_100,209,0
62,B,stim_parametric_1_5,stim_5_5_100,191,0
63,B,stim_parametric_1_5,stim_5_5_100,173,0
64,A,stim_parametric_1_1,stim_5_1_100,174,1
65,B,stim_parametric_1_5,stim_5_1_100,218,0
66,A,stim_parametric_1_1,stim_5_5_100,185,1
67,A,stim_parametric_1_1,stim_5_5_100,206,1
68,A,stim_parametric_1_1,stim_5_5_100,163,1
69,A,stim_parametric_1_1,stim_5_1_100,202,1
70,B,stim_parametric_1_5,stim_5_1_100,164,0
71,B,stim_parametric_1_5,stim_5_1_100,245,0
72,A,stim_parametric_1_1,stim_5_5_100,199,1
73,B,stim_parametric_1_5,stim_5_5_100,234,0
74,A,stim_parametric_1_1,stim_5_1_100,244,1
75,B,stim_parametric_1_5,stim_5_1_100,246,0
