trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,A,stim_parametric_1_1,stim_parametric_5_5,230,1
2,B,stim_parametric_1_5,stim_parametric_5_5,239,0
3,B,stim_parametric_1_5,stim_parametric_5_1,128,0
4,B,stim_parametric_1_5,stim_parametric_5_5,107,0
5,A,stim_parametric_1_1,stim_parametric_5_5,182,1
6,B,stim_parametric_1_5,stim_parametric_5_5,101,0
7,A,stim_parametric_1_1,stim_parametric_5_1,225,1
8,B,stim_parametric_1_5,stim_parametric_5_5,237,0
9,A,stim_parametric_1_1,stim_parametric_5_1,206,1
10,A,stim_parametric_1_1,stim_parametric_5_5,136,1
11,B,stim_parametric_1_5,stim_parametric_5_5,188,0
12,B,stim_parametric_1_5,stim_parametric_5_5,241,0
13,A,stim_parametric_1_1,stim_parametric_5_5,235,1
14,A,stim_parametric_1_1,stim_parametric_5_1,191,1
15,B,stim_parametric_1_5,stim_parametric_5_1,219,0
16,A,stim_parametric_1_1,stim_parametric_5_5,226,1
17,B,stim_parametric_1_5,stim_parametric_5_1,184,0
18,B,stim_parametric_1_5,stim_parametric_5_5,100,0
19,A,stim_parametric_1_1,stim_parametric_5_5,137,1
20,A,stim_parametric_1_1,stim_parametric_5_1,165,1
21,B,stim_parametric_1_5,stim_parametric_5_1,165,0
22,B,stim_parametric_1_5,stim_parametric_5_1,232,0
23,B,stim_parametric_1_5,stim_parametric_5_5,110,0
24,A,stim_parametric_1_1,stim_parametric_5_1,151,1
25,A,stim_parametric_1_1,stim_parametric_5_1,126,1
26,A,stim_parametric_1_1,stim_parametric_5_1,137,1
27,A,stim_parametric_1_1,stim_parametric_5_1,209,1
28,B,stim_parametric_1_5,stim_parametric_5_5,143,0
29,B,stim_parametric_1_5,stim_parametric_5_5,135,0
30,A,stim_parametric_1_1,stim_parametric_5_1,121,1
31,A,stim_parametric_1_1,stim_parametric_5_5,133,1
32,A,stim_parametric_1_1,stim_parametric_5_5,223,1
33,B,stim_parametric_1_5,stim_parametric_5_5,157,0
34,B,stim_parametric_1_5,stim_parametric_5_1,200,0
35,B,stim_parametric_1_5,stim_parametric_5_1,241,0
36,B,stim_parametric_1_5,stim_parametric_5_1,164,0
37,A,stim_parametric_1_1,stim_parametric_5_1,191,1
38,A,stim_parametric_1_1,stim_parametric_5_1,246,1
39,A,stim_parametric_1_1,stim_parametric_5_1,155,1
40,B,stim_parametric_1_5,stim_parametric_5_5,200,0
41,B,stim_parametric_1_5,stim_parametric_5_5,147,0
42,B,stim_parametric_1_5,stim_parametric_5_1,233,0
43,B,stim_parametric_1_5,stim_parametric_5_1,144,0
44,B,stim_parametric_1_5,stim_parametric_5_1,144,0
45,A,stim_parametric_1_1,stim_parametric_5_1,236,1
46,A,stim_parametric_1_1,stim_parametric_5_1,174,1
47,A,stim_parametric_1_1,stim_parametric_5_5,131,1
48,A,stim_parametric_1_1,stim_parametric_5_5,103,1
49,B,stim_parametric_1_5,stim_parametric_5_1,125,0
50,A,stim_parametric_1_1,stim_parametric_5_5,145,1
51,B,stim_parametric_5_1,stim_parametric_1_5,245,0
52,B,stim_parametric_5_1,stim_parametric_1_5,218,0
53,B,stim_parametric_5_5,stim_parametric_1_5,201,0
54,A,stim_parametric_5_5,stim_parametric_1_1,226,1
55,B,stim_parametric_5_1,stim_parametric_1_5,163,0
56,B,stim_parametric_5_1,stim_parametric_1_5,206,0
57,A,stim_parametric_5_1,stim_parametric_1_1,172,1
58,A,stim_parametric_5_1,stim_parametric_1_1,223,1
59,A,stim_parametric_5_5,stim_parametric_1_1,166,1
60,A,stim_parametric_5_1,stim_parametric_1_1,229,1
61,A,stim_parametric_5_5,stim_parametric_1_1,101,1
62,B,stim_parametric_5_1,stim_parametric_1_5,250,0
63,B,stim_parametric_5_1,stim_parametric_1_5,141,0
64,B,stim_parametric_5_1,stim_parametric_1_5,105,0
65,B,stim_parametric_5_5,stim_parametric_1_5,122,0
