trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,A,stim_parametric_1_1,stim_parametric_1_1,136,1
2,A,stim_parametric_1_1,stim_parametric_1_1,106,1
3,A,stim_parametric_1_1,stim_parametric_1_1,122,1
4,A,stim_parametric_1_1,stim_parametric_1_1,125,1
5,A,stim_parametric_1_1,stim_parametric_1_1,127,1
6,A,stim_parametric_1_1,stim_parametric_1_1,143,1
7,A,stim_parametric_1_1,stim_parametric_1_1,134,1
8,A,stim_parametric_1_1,stim_parametric_1_1,141,1
9,A,stim_parametric_1_1,stim_parametric_1_1,127,1
10,A,stim_parametric_1_1,stim_parametric_1_1,148,1
11,A,stim_parametric_1_1,stim_parametric_1_1,103,1
12,A,stim_parametric_1_1,stim_parametric_1_1,127,1
13,A,stim_parametric_1_1,stim_parametric_1_1,114,1
14,A,stim_parametric_1_1,stim_parametric_1_1,124,1
15,A,stim_parametric_1_1,stim_parametric_1_1,134,1
16,A,stim_parametric_1_1,stim_parametric_1_1,110,1
17,A,stim_parametric_1_1,stim_parametric_1_1,131,1
18,A,stim_parametric_1_1,stim_parametric_1_1,116,1
19,A,stim_parametric_1_1,stim_parametric_1_1,144,1
20,A,stim_parametric_1_1,stim_parametric_1_1,106,1
21,A,stim_parametric_1_1,stim_parametric_1_1,105,1
22,A,stim_parametric_1_1,stim_parametric_1_1,148,1
23,A,stim_parametric_1_1,stim_parametric_1_1,107,1
24,A,stim_parametric_1_1,stim_parametric_1_1,107,1
25,A,stim_parametric_1_1,stim_parametric_1_1,107,1
26,A,stim_parametric_1_1,stim_parametric_1_1,104,1
27,A,stim_parametric_1_1,stim_parametric_1_1,123,1
28,A,stim_parametric_1_1,stim_parametric_1_1,134,1
29,A,stim_parametric_1_1,stim_parametric_1_1,142,1
30,A,stim_parametric_1_1,stim_parametric_1_1,140,1
31,A,stim_parametric_1_1,stim_parametric_1_1,136,1
32,A,stim_parametric_1_1,stim_parametric_1_1,124,1
33,A,stim_parametric_1_1,stim_parametric_1_1,136,1
34,A,stim_parametric_1_1,stim_parametric_1_1,148,1
35,A,stim_parametric_1_1,stim_parametric_1_1,125,1
36,A,stim_parametric_1_1,stim_parametric_1_1,115,1
37,A,stim_parametric_1_1,stim_parametric_1_1,140,1
38,A,stim_parametric_1_1,stim_parametric_1_1,112,1
39,A,stim_parametric_1_1,stim_parametric_1_1,111,1
40,A,stim_parametric_1_1,stim_parametric_1_1,123,1
41,A,stim_parametric_1_1,stim_parametric_1_1,131,1
42,A,stim_parametric_1_1,stim_parametric_1_1,131,1
43,A,stim_parametric_1_1,stim_parametric_1_1,106,1
44,A,stim_parametric_1_1,stim_parametric_1_1,106,1
45,A,stim_parametric_1_1,stim_parametric_1_1,114,1
46,A,stim_parametric_1_1,stim_parametric_1_1,137,1
47,A,stim_parametric_1_1,stim_parametric_1_1,120,1
48,A,stim_parametric_1_1,stim_parametric_1_1,142,1
49,A,stim_parametric_1_1,stim_parametric_1_1,147,1
50,A,stim_parametric_1_1,stim_parametric_1_1,120,1
51,A,stim_parametric_1_1,stim_parametric_1_1,102,1
52,A,stim_parametric_1_1,stim_parametric_1_1,129,1
53,A,stim_parametric_1_1,stim_parametric_1_1,138,1
54,A,stim_parametric_1_1,stim_parametric_1_1,116,1
55,A,stim_parametric_1_1,stim_parametric_1_1,125,1
56,A,stim_parametric_1_1,stim_parametric_1_1,111,1
57,A,stim_parametric_1_1,stim_parametric_1_1,147,1
58,A,stim_parametric_1_1,stim_parametric_1_1,124,1
59,A,stim_parametric_1_1,stim_parametric_1_1,127,1
60,A,stim_parametric_1_1,stim_parametric_1_1,111,1
61,A,stim_parametric_1_1,stim_parametric_1_1,104,1
62,A,stim_parametric_1_1,stim_parametric_1_1,103,1
63,A,stim_parametric_1_1,stim_parametric_1_1,141,1
64,A,stim_parametric_1_1,stim_parametric_1_1,139,1
65,A,stim_parametric_1_1,stim_parametric_1_1,109,1
66,A,stim_parametric_1_1,stim_parametric_1_1,145,1
67,A,stim_parametric_1_1,stim_parametric_1_1,134,1
68,A,stim_parametric_1_1,stim_parametric_1_1,133,1
69,A,stim_parametric_1_1,stim_parametric_1_1,150,1
70,A,stim_parametric_1_1,stim_parametric_1_1,101,1
71,A,stim_parametric_1_1,stim_parametric_1_1,121,1
72,A,stim_parametric_1_1,stim_parametric_1_1,124,1
73,A,stim_parametric_1_1,stim_parametric_1_1,129,1
74,A,stim_parametric_1_1,stim_parametric_1_1,104,1
75,A,stim_parametric_1_1,stim_parametric_1_1,133,1
76,A,stim_parametric_1_1,stim_parametric_1_1,102,1
77,A,stim_parametric_1_1,stim_parametric_1_1,128,1
78,A,stim_parametric_1_1,stim_parametric_1_1,136,1
79,A,stim_parametric_1_1,stim_parametric_1_1,124,1
