trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimD,fwn1_25,158,0
2,N,stimD,fwn1_25,177,0
3,N,stimD,fwn1_25,181,0
4,N,stimD,fwn1_25,182,0
5,G,stimC,fwn1_25,202,1
6,N,stimD,fwn1_25,191,0
7,N,stimD,fwn1_25,199,0
8,G,stimC,fwn1_25,182,1
9,N,stimD,fwn1_25,208,0
10,N,stimD,fwn1_25,154,0
11,N,stimD,fwn1_25,183,0
12,N,stimD,fwn1_25,167,0
13,N,stimD,fwn1_25,179,0
14,G,stimC,fwn1_25,191,1
15,N,stimD,fwn1_25,162,0
16,N,stimD,fwn1_25,187,0
17,N,stimD,fwn1_25,169,0
18,N,stimD,fwn1_25,203,0
19,G,stimC,fwn1_25,158,1
20,N,stimD,fwn1_25,156,0
21,N,stimD,fwn1_25,208,0
22,G,stimC,fwn1_25,159,1
23,N,stimD,fwn1_25,159,0
24,N,stimD,fwn1_25,159,0
25,N,stimD,fwn1_25,155,0
26,N,stimD,fwn1_25,177,0
27,N,stimD,fwn1_25,190,0
28,G,stimC,fwn1_25,200,1
29,N,stimD,fwn1_25,198,0
30,N,stimD,fwn1_25,193,0
31,N,stimD,fwn1_25,178,0
32,N,stimD,fwn1_25,193,0
33,N,stimD,fwn1_25,208,0
34,G,stimC,fwn1_25,180,1
35,G,stimC,fwn1_25,168,1
36,N,stimD,fwn1_25,198,0
37,N,stimD,fwn1_25,164,0
38,N,stimD,fwn1_25,164,0
39,N,stimD,fwn1_25,178,0
40,N,stimD,fwn1_25,187,0
41,N,stimD,fwn1_25,187,0
42,G,stimC,fwn1_25,157,1
43,N,stimD,fwn1_25,157,0
44,N,stimD,fwn1_25,167,0
45,G,stimC,fwn1_25,194,1
46,N,stimD,fwn1_25,175,0
47,N,stimD,fwn1_25,200,0
48,N,stimD,fwn1_25,207,0
49,N,stimD,fwn1_25,174,0
50,N,stimD,fwn1_25,153,0
51,G,fwn1_25,stimC,184,1
52,N,fwn1_25,stimD,195,0
53,N,fwn1_25,stimD,169,0
54,N,fwn1_25,stimD,180,0
55,G,fwn1_25,stimC,163,1
