trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,fwn1_25,stimD,163,1
2,G,fwn1_25,stimD,181,1
3,N,fwn1_25,stimA,176,0
4,N,fwn1_25,stimA,195,0
5,N,fwn1_25,stimA,154,0
6,N,fwn1_25,stimA,201,0
7,N,fwn1_25,stimA,191,0
8,N,fwn1_25,stimA,158,0
9,N,fwn1_25,stimA,202,0
10,N,fwn1_25,stimA,162,0
11,N,fwn1_25,stimA,187,0
12,G,fwn1_25,stimD,183,1
13,N,fwn1_25,stimA,159,0
14,G,fwn1_25,stimD,150,1
15,N,fwn1_25,stimA,197,0
16,N,fwn1_25,stimA,196,0
17,N,fwn1_25,stimA,175,0
18,N,fwn1_25,stimA,153,0
19,N,fwn1_25,stimA,185,0
20,N,fwn1_25,stimA,160,0
21,N,fwn1_25,stimA,194,0
22,G,fwn1_25,stimD,182,1
23,N,fwn1_25,stimA,165,0
24,N,fwn1_25,stimA,205,0
25,N,fwn1_25,stimA,196,0
26,N,fwn1_25,stimA,204,0
27,G,fwn1_25,stimD,154,1
28,N,fwn1_25,stimA,161,0
29,N,fwn1_25,stimA,194,0
30,N,fwn1_25,stimA,192,0
31,N,fwn1_25,stimA,197,0
32,G,fwn1_25,stimD,180,1
33,N,fwn1_25,stimA,175,0
34,N,fwn1_25,stimA,187,0
35,N,fwn1_25,stimA,202,0
36,G,fwn1_25,stimD,190,1
37,N,fwn1_25,stimA,181,0
38,N,fwn1_25,stimA,168,0
39,N,fwn1_25,stimA,192,0
40,N,fwn1_25,stimA,173,0
41,N,fwn1_25,stimA,184,0
42,N,fwn1_25,stimA,204,0
43,N,fwn1_25,stimA,201,0
44,N,fwn1_25,stimA,204,0
45,G,fwn1_25,stimD,207,1
46,N,fwn1_25,stimA,199,0
47,N,fwn1_25,stimA,150,0
48,G,fwn1_25,stimD,150,1
49,N,fwn1_25,stimA,155,0
50,N,fwn1_25,stimA,165,0
51,N,stimA,fwn1_25,151,0
52,N,stimA,fwn1_25,175,0
53,N,stimA,fwn1_25,170,0
54,G,stimD,fwn1_25,183,1
55,N,stimA,fwn1_25,206,0
56,G,stimD,fwn1_25,168,1
57,N,stimA,fwn1_25,170,0
58,N,stimA,fwn1_25,202,0
59,N,stimA,fwn1_25,170,0
60,N,stimA,fwn1_25,158,0
61,N,stimA,fwn1_25,180,0
62,N,stimA,fwn1_25,202,0
63,G,stimD,fwn1_25,173,1
64,N,stimA,fwn1_25,192,0
65,N,stimA,fwn1_25,188,0
66,N,stimA,fwn1_25,177,0
67,N,stimA,fwn1_25,178,0
68,N,stimA,fwn1_25,207,0
69,N,stimA,fwn1_25,155,0
70,G,stimD,fwn1_25,167,1
71,G,stimD,fwn1_25,177,1
72,N,stimA,fwn1_25,185,0
73,N,stimA,fwn1_25,203,0
74,N,stimA,fwn1_25,178,0
75,N,stimA,fwn1_25,176,0
76,N,stimA,fwn1_25,195,0
77,N,stimA,fwn1_25,178,0
78,N,stimA,fwn1_25,202,0
79,G,stimD,fwn1_25,178,1
80,N,stimA,fwn1_25,180,0
81,N,stimA,fwn1_25,179,0
82,G,stimD,fwn1_25,163,1
83,N,stimA,fwn1_25,155,0
84,N,stimA,fwn1_25,154,0
85,N,stimA,fwn1_25,204,0
86,G,stimD,fwn1_25,164,1
87,N,stimA,fwn1_25,202,0
88,N,stimA,fwn1_25,193,0
89,N,stimA,fwn1_25,203,0
90,N,stimA,fwn1_25,207,0
91,G,stimD,fwn1_25,158,1
92,N,stimA,fwn1_25,174,0
93,N,stimA,fwn1_25,209,0
94,N,stimA,fwn1_25,189,0
95,N,stimA,fwn1_25,204,0
96,N,stimA,fwn1_25,179,0
97,G,stimD,fwn1_25,150,1
98,N,stimA,fwn1_25,187,0
99,N,stimA,fwn1_25,164,0
100,N,stimA,fwn1_25,182,0
101,N,fwn1_25,stimA,194,0
102,N,fwn1_25,stimA,187,0
103,N,fwn1_25,stimA,185,0
104,N,fwn1_25,stimA,176,0
105,N,fwn1_25,stimA,164,0
106,N,fwn1_25,stimA,176,0
107,G,fwn1_25,stimD,150,1
108,N,fwn1_25,stimA,187,0
109,G,fwn1_25,stimD,208,1
110,N,fwn1_25,stimA,155,0
111,N,fwn1_25,stimA,152,0
112,N,fwn1_25,stimA,204,0
113,N,fwn1_25,stimA,165,0
114,N,fwn1_25,stimA,150,0
115,N,fwn1_25,stimA,199,0
116,G,fwn1_25,stimD,158,1
117,G,fwn1_25,stimD,203,1
118,N,fwn1_25,stimA,155,0
119,N,fwn1_25,stimA,171,0
120,N,fwn1_25,stimA,186,0
121,N,fwn1_25,stimA,185,0
122,N,fwn1_25,stimA,190,0
123,N,fwn1_25,stimA,189,0
124,N,fwn1_25,stimA,176,0
125,N,fwn1_25,stimA,158,0
126,G,fwn1_25,stimD,195,1
127,N,fwn1_25,stimA,164,0
128,N,fwn1_25,stimA,189,0
129,G,fwn1_25,stimD,202,1
130,N,fwn1_25,stimA,155,0
131,N,fwn1_25,stimA,209,0
132,G,fwn1_25,stimD,151,1
133,N,fwn1_25,stimA,200,0
134,N,fwn1_25,stimA,200,0
135,N,fwn1_25,stimA,153,0
136,N,fwn1_25,stimA,183,0
137,N,fwn1_25,stimA,207,0
138,N,fwn1_25,stimA,169,0
139,G,fwn1_25,stimD,199,1
140,N,fwn1_25,stimA,186,0
141,N,fwn1_25,stimA,198,0
142,N,fwn1_25,stimA,198,0
143,G,fwn1_25,stimD,153,1
144,N,fwn1_25,stimA,167,0
145,G,fwn1_25,stimD,189,1
146,N,fwn1_25,stimA,179,0
147,N,fwn1_25,stimA,209,0
148,N,fwn1_25,stimA,195,0
149,N,fwn1_25,stimA,184,0
150,N,fwn1_25,stimA,168,0
151,N,stimA,fwn1_25,165,0
152,G,stimD,fwn1_25,204,1
153,N,stimA,fwn1_25,177,0
154,N,stimA,fwn1_25,199,0
155,N,stimA,fwn1_25,155,0
156,N,stimA,fwn1_25,202,0
157,G,stimD,fwn1_25,151,1
158,N,stimA,fwn1_25,204,0
159,N,stimA,fwn1_25,204,0
160,N,stimA,fwn1_25,181,0
161,G,stimD,fwn1_25,157,1
162,N,stimA,fwn1_25,160,0
163,N,stimA,fwn1_25,193,0
164,N,stimA,fwn1_25,200,0
165,N,stimA,fwn1_25,152,0
166,N,stimA,fwn1_25,196,0
167,N,stimA,fwn1_25,208,0
168,N,stimA,fwn1_25,170,0
169,N,stimA,fwn1_25,188,0
170,G,stimD,fwn1_25,170,1
171,N,stimA,fwn1_25,163,0
172,N,stimA,fwn1_25,197,0
173,N,stimA,fwn1_25,194,0
174,G,stimD,fwn1_25,167,1
175,G,stimD,fwn1_25,185,1
176,N,stimA,fwn1_25,175,0
177,N,stimA,fwn1_25,155,0
178,N,stimA,fwn1_25,151,0
179,N,stimA,fwn1_25,179,0
180,N,stimA,fwn1_25,166,0
181,N,stimA,fwn1_25,170,0
182,N,stimA,fwn1_25,167,0
183,G,stimD,fwn1_25,160,1
184,N,stimA,fwn1_25,174,0
185,N,stimA,fwn1_25,192,0
186,N,stimA,fwn1_25,162,0
187,N,stimA,fwn1_25,190,0
188,N,stimA,fwn1_25,177,0
189,N,stimA,fwn1_25,176,0
190,G,stimD,fwn1_25,160,1
191,N,stimA,fwn1_25,161,0
192,N,stimA,fwn1_25,187,0
193,N,stimA,fwn1_25,166,0
194,G,stimD,fwn1_25,184,1
195,N,stimA,fwn1_25,207,0
196,N,stimA,fwn1_25,193,0
197,N,stimA,fwn1_25,191,0
198,N,stimA,fwn1_25,208,0
199,N,stimA,fwn1_25,197,0
200,G,stimD,fwn1_25,187,1
201,N,fwn1_25,stimA,207,0
202,N,fwn1_25,stimA,153,0
203,N,fwn1_25,stimA,166,0
204,N,fwn1_25,stimA,210,0
205,N,fwn1_25,stimA,197,0
206,N,fwn1_25,stimA,178,0
207,G,fwn1_25,stimD,191,1
208,N,fwn1_25,stimA,175,0
209,G,fwn1_25,stimD,173,1
210,N,fwn1_25,stimA,163,0
211,N,fwn1_25,stimA,173,0
212,G,fwn1_25,stimD,151,1
213,G,fwn1_25,stimD,178,1
214,N,fwn1_25,stimA,170,0
215,N,fwn1_25,stimA,209,0
216,N,fwn1_25,stimA,183,0
217,N,fwn1_25,stimA,201,0
218,N,fwn1_25,stimA,174,0
219,N,fwn1_25,stimA,178,0
220,N,fwn1_25,stimA,200,0
221,G,fwn1_25,stimD,210,1
222,N,fwn1_25,stimA,181,0
223,N,fwn1_25,stimA,206,0
224,N,fwn1_25,stimA,195,0
225,N,fwn1_25,stimA,184,0
226,N,fwn1_25,stimA,209,0
227,G,fwn1_25,stimD,200,1
228,N,fwn1_25,stimA,208,0
229,N,fwn1_25,stimA,189,0
230,N,fwn1_25,stimA,173,0
231,G,fwn1_25,stimD,179,1
232,N,fwn1_25,stimA,205,0
233,N,fwn1_25,stimA,150,0
234,N,fwn1_25,stimA,159,0
235,N,fwn1_25,stimA,178,0
236,N,fwn1_25,stimA,183,0
237,N,fwn1_25,stimA,153,0
238,G,fwn1_25,stimD,190,1
239,N,fwn1_25,stimA,204,0
240,N,fwn1_25,stimA,156,0
241,N,fwn1_25,stimA,176,0
242,N,fwn1_25,stimA,167,0
243,N,fwn1_25,stimA,210,0
244,G,fwn1_25,stimD,187,1
245,N,fwn1_25,stimA,165,0
246,N,fwn1_25,stimA,158,0
247,G,fwn1_25,stimD,183,1
248,N,fwn1_25,stimA,200,0
249,N,fwn1_25,stimA,201,0
250,N,fwn1_25,stimA,200,0
251,N,stimA,fwn1_25,162,0
252,G,stimD,fwn1_25,183,1
253,N,stimA,fwn1_25,203,0
