trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimB,fwn1_25,152,0
2,G,stimA,fwn1_25,209,1
3,N,stimB,fwn1_25,161,0
4,N,stimB,fwn1_25,190,0
5,G,stimA,fwn1_25,185,1
6,N,stimB,fwn1_25,191,0
7,N,stimB,fwn1_25,172,0
8,G,stimA,fwn1_25,187,1
9,G,stimA,fwn1_25,199,1
10,G,stimA,fwn1_25,151,1
11,G,stimA,fwn1_25,155,1
12,N,stimB,fwn1_25,209,0
13,N,stimB,fwn1_25,189,0
14,G,stimA,fwn1_25,164,1
15,N,stimB,fwn1_25,174,0
16,N,stimB,fwn1_25,157,0
17,N,stimB,fwn1_25,166,0
18,G,stimA,fwn1_25,165,1
19,G,stimA,fwn1_25,170,1
20,G,stimA,fwn1_25,159,1
21,G,stimA,fwn1_25,171,1
22,N,stimB,fwn1_25,157,0
23,G,stimA,fwn1_25,203,1
24,G,stimA,fwn1_25,155,1
25,G,stimA,fwn1_25,206,1
26,N,stimB,fwn1_25,174,0
27,N,stimB,fwn1_25,152,0
28,N,stimB,fwn1_25,170,0
29,G,stimA,fwn1_25,194,1
30,N,stimB,fwn1_25,198,0
31,G,stimA,fwn1_25,183,1
32,N,stimB,fwn1_25,191,0
33,G,stimA,fwn1_25,204,1
34,G,stimA,fwn1_25,153,1
35,G,stimA,fwn1_25,168,1
36,N,stimB,fwn1_25,152,0
37,N,stimB,fwn1_25,161,0
38,N,stimB,fwn1_25,193,0
39,N,stimB,fwn1_25,194,0
40,G,stimA,fwn1_25,203,1
41,G,stimA,fwn1_25,185,1
42,N,stimB,fwn1_25,154,0
43,G,stimA,fwn1_25,206,1
44,G,stimA,fwn1_25,198,1
45,N,stimB,fwn1_25,167,0
46,G,stimA,fwn1_25,183,1
47,N,stimB,fwn1_25,210,0
48,N,stimB,fwn1_25,193,0
49,N,stimB,fwn1_25,201,0
50,G,stimA,fwn1_25,176,1
51,G,fwn1_25,stimA,178,1
52,G,fwn1_25,stimA,184,1
53,N,fwn1_25,stimB,166,0
54,N,fwn1_25,stimB,195,0
55,G,fwn1_25,stimA,180,1
56,G,fwn1_25,stimA,189,1
57,N,fwn1_25,stimB,168,0
58,N,fwn1_25,stimB,158,0
59,G,fwn1_25,stimA,179,1
60,N,fwn1_25,stimB,172,0
61,N,fwn1_25,stimB,198,0
62,G,fwn1_25,stimA,197,1
63,N,fwn1_25,stimB,190,0
64,G,fwn1_25,stimA,158,1
65,G,fwn1_25,stimA,151,1
66,G,fwn1_25,stimA,184,1
67,N,fwn1_25,stimB,168,0
68,N,fwn1_25,stimB,207,0
69,G,fwn1_25,stimA,209,1
70,N,fwn1_25,stimB,167,0
71,N,fwn1_25,stimB,198,0
72,G,fwn1_25,stimA,204,1
73,G,fwn1_25,stimA,186,1
74,N,fwn1_25,stimB,203,0
75,N,fwn1_25,stimB,207,0
76,N,fwn1_25,stimB,183,0
77,G,fwn1_25,stimA,194,1
78,N,fwn1_25,stimB,185,0
79,G,fwn1_25,stimA,151,1
80,G,fwn1_25,stimA,177,1
81,N,fwn1_25,stimB,189,0
82,G,fwn1_25,stimA,181,1
83,N,fwn1_25,stimB,172,0
84,G,fwn1_25,stimA,207,1
85,N,fwn1_25,stimB,200,0
86,G,fwn1_25,stimA,201,1
87,G,fwn1_25,stimA,172,1
88,G,fwn1_25,stimA,186,1
89,N,fwn1_25,stimB,203,0
90,N,fwn1_25,stimB,206,0
