trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation
1,G,stimC,fwn1_25,157
2,N,stimD,fwn1_25,247
3,G,stimC,fwn1_25,177
4,N,stimD,fwn1_25,172
5,N,stimD,fwn1_25,172
6,N,stimD,fwn1_25,190
7,N,stimD,fwn1_25,176
8,G,stimC,fwn1_25,151
9,G,stimC,fwn1_25,152
10,G,stimC,fwn1_25,191
11,N,stimD,fwn1_25,163
12,G,stimC,fwn1_25,150
13,G,stimC,fwn1_25,234
14,G,stimC,fwn1_25,203
15,G,stimC,fwn1_25,160
16,G,stimC,fwn1_25,218
17,N,stimD,fwn1_25,245
18,N,stimD,fwn1_25,190
19,N,stimD,fwn1_25,171
20,N,stimD,fwn1_25,202
21,N,stimD,fwn1_25,224
22,N,stimD,fwn1_25,182
23,N,stimD,fwn1_25,167
24,G,stimC,fwn1_25,156
25,N,stimD,fwn1_25,243
26,G,stimC,fwn1_25,248
27,N,stimD,fwn1_25,242
28,G,stimC,fwn1_25,230
29,G,stimC,fwn1_25,235
30,G,stimC,fwn1_25,227
31,G,stimC,fwn1_25,243
32,N,stimD,fwn1_25,215
33,N,stimD,fwn1_25,233
34,N,stimD,fwn1_25,182
35,G,stimC,fwn1_25,202
36,G,stimC,fwn1_25,150
37,G,stimC,fwn1_25,208
38,N,stimD,fwn1_25,250
39,G,stimC,fwn1_25,157
40,N,stimD,fwn1_25,237
41,N,stimD,fwn1_25,170
42,N,stimD,fwn1_25,237
43,N,stimD,fwn1_25,238
44,G,stimC,fwn1_25,203
45,G,stimC,fwn1_25,203
46,G,stimC,fwn1_25,212
47,G,stimC,fwn1_25,213
48,N,stimD,fwn1_25,212
49,N,stimD,fwn1_25,217
50,G,stimC,fwn1_25,172
51,G,fwn1_25,stimC,250
52,N,fwn1_25,stimD,158
53,N,fwn1_25,stimD,178
54,G,fwn1_25,stimC,152
55,G,fwn1_25,stimC,241
56,N,fwn1_25,stimD,235
57,N,fwn1_25,stimD,223
58,G,fwn1_25,stimC,184
59,G,fwn1_25,stimC,233
60,N,fwn1_25,stimD,212
61,N,fwn1_25,stimD,210
62,N,fwn1_25,stimD,151
63,G,fwn1_25,stimC,242
64,N,fwn1_25,stimD,176
65,N,fwn1_25,stimD,230
66,G,fwn1_25,stimC,218
67,N,fwn1_25,stimD,159
68,G,fwn1_25,stimC,211
69,G,fwn1_25,stimC,225
70,G,fwn1_25,stimC,230
71,N,fwn1_25,stimD,154
72,N,fwn1_25,stimD,197
73,N,fwn1_25,stimD,244
74,N,fwn1_25,stimD,245
75,G,fwn1_25,stimC,164
76,G,fwn1_25,stimC,225
77,G,fwn1_25,stimC,163
78,N,fwn1_25,stimD,176
79,G,fwn1_25,stimC,244
80,G,fwn1_25,stimC,229
81,G,fwn1_25,stimC,198
82,G,fwn1_25,stimC,154
