trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimB,stimB,180,0
2,G,stimA,stimA,179,1
3,N,stimB,stimB,203,0
4,N,stimB,stimB,171,0
5,N,stimB,stimB,177,0
6,N,stimB,stimB,208,0
7,G,stimA,stimA,152,1
8,N,stimB,stimB,209,0
9,N,stimB,stimB,161,0
10,N,stimB,stimB,190,0
11,N,stimB,stimB,185,0
12,G,stimA,stimA,191,1
13,N,stimB,stimB,172,0
14,N,stimB,stimB,187,0
15,N,stimB,stimB,199,0
16,G,stimA,stimA,151,1
17,N,stimB,stimB,155,0
18,N,stimB,stimB,209,0
19,N,stimB,stimB,189,0
20,N,stimB,stimB,164,0
21,N,stimB,stimB,174,0
22,N,stimB,stimB,157,0
23,N,stimB,stimB,166,0
24,N,stimB,stimB,165,0
25,N,stimB,stimB,170,0
26,G,stimA,stimA,159,1
27,N,stimB,stimB,171,0
28,N,stimB,stimB,157,0
29,G,stimA,stimA,203,1
30,N,stimB,stimB,155,0
31,G,stimA,stimA,206,1
32,N,stimB,stimB,174,0
33,N,stimB,stimB,152,0
34,N,stimB,stimB,170,0
35,N,stimB,stimB,194,0
36,N,stimB,stimB,198,0
37,N,stimB,stimB,183,0
38,N,stimB,stimB,191,0
39,N,stimB,stimB,204,0
40,G,stimA,stimA,153,1
41,N,stimB,stimB,168,0
42,N,stimB,stimB,152,0
43,N,stimB,stimB,161,0
44,G,stimA,stimA,193,1
45,N,stimB,stimB,194,0
46,N,stimB,stimB,203,0
47,N,stimB,stimB,185,0
48,N,stimB,stimB,154,0
49,G,stimA,stimA,206,1
50,N,stimB,stimB,198,0
51,N,stimB,stimB,167,0
52,N,stimB,stimB,183,0
53,N,stimB,stimB,210,0
54,N,stimB,stimB,193,0
55,G,stimA,stimA,201,1
56,N,stimB,stimB,176,0
57,G,stimA,stimA,178,1
58,N,stimB,stimB,184,0
59,N,stimB,stimB,166,0
60,N,stimB,stimB,195,0
61,N,stimB,stimB,180,0
62,N,stimB,stimB,189,0
63,G,stimA,stimA,168,1
64,N,stimB,stimB,158,0
65,N,stimB,stimB,179,0
66,N,stimB,stimB,172,0
67,N,stimB,stimB,198,0
68,N,stimB,stimB,197,0
69,N,stimB,stimB,190,0
70,G,stimA,stimA,158,1
71,N,stimB,stimB,151,0
72,N,stimB,stimB,184,0
73,N,stimB,stimB,168,0
74,N,stimB,stimB,207,0
75,N,stimB,stimB,209,0
76,N,stimB,stimB,167,0
77,G,stimA,stimA,198,1
78,G,stimA,stimA,204,1
79,N,stimB,stimB,186,0
80,N,stimB,stimB,203,0
81,G,stimA,stimA,207,1
82,N,stimB,stimB,183,0
83,N,stimB,stimB,194,0
84,N,stimB,stimB,185,0
85,N,stimB,stimB,151,0
86,G,stimA,stimA,177,1
87,N,stimB,stimB,189,0
88,N,stimB,stimB,181,0
89,N,stimB,stimB,172,0
90,N,stimB,stimB,207,0
91,N,stimB,stimB,200,0
92,G,stimA,stimA,201,1
93,N,stimB,stimB,172,0
94,N,stimB,stimB,186,0
95,N,stimB,stimB,203,0
96,G,stimA,stimA,206,1
97,N,stimB,stimB,190,0
98,N,stimB,stimB,162,0
99,N,stimB,stimB,189,0
100,N,stimB,stimB,154,0
101,G,stimA,stimA,174,1
102,N,stimB,stimB,190,0
103,N,stimB,stimB,206,0
104,N,stimB,stimB,199,0
105,N,stimB,stimB,179,0
106,G,stimA,stimA,196,1
107,N,stimB,stimB,175,0
108,N,stimB,stimB,209,0
109,N,stimB,stimB,210,0
110,N,stimB,stimB,202,0
111,G,stimA,stimA,173,1
112,N,stimB,stimB,177,0
113,G,stimA,stimA,165,1
114,N,stimB,stimB,197,0
115,N,stimB,stimB,203,0
116,N,stimB,stimB,205,0
117,N,stimB,stimB,184,0
118,N,stimB,stimB,186,0
119,N,stimB,stimB,159,0
120,N,stimB,stimB,204,0
121,N,stimB,stimB,177,0
122,G,stimA,stimA,162,1
123,N,stimB,stimB,204,0
124,G,stimA,stimA,196,1
125,N,stimB,stimB,203,0
126,N,stimB,stimB,167,0
127,N,stimB,stimB,191,0
128,N,stimB,stimB,190,0
129,N,stimB,stimB,157,0
130,N,stimB,stimB,174,0
131,N,stimB,stimB,166,0
132,G,stimA,stimA,193,1
133,N,stimB,stimB,167,0
134,N,stimB,stimB,204,0
135,G,stimA,stimA,200,1
136,N,stimB,stimB,173,0
137,N,stimB,stimB,180,0
138,N,stimB,stimB,192,0
139,N,stimB,stimB,200,0
140,N,stimB,stimB,187,0
141,N,stimB,stimB,185,0
142,N,stimB,stimB,169,0
143,N,stimB,stimB,177,0
144,G,stimA,stimA,193,1
145,G,stimA,stimA,203,1
146,N,stimB,stimB,193,0
147,N,stimB,stimB,151,0
148,N,stimB,stimB,191,0
149,N,stimB,stimB,176,0
150,N,stimB,stimB,176,0
151,N,stimB,stimB,157,0
152,N,stimB,stimB,199,0
153,G,stimA,stimA,169,1
154,N,stimB,stimB,165,0
155,N,stimB,stimB,170,0
156,N,stimB,stimB,172,0
157,G,stimA,stimA,183,1
158,N,stimB,stimB,184,0
159,N,stimB,stimB,174,0
160,N,stimB,stimB,174,0
161,G,stimA,stimA,181,1
162,N,stimB,stimB,190,0
163,G,stimA,stimA,208,1
164,N,stimB,stimB,194,0
165,N,stimB,stimB,174,0
166,N,stimB,stimB,200,0
167,N,stimB,stimB,158,0
168,N,stimB,stimB,153,0
169,N,stimB,stimB,155,0
170,N,stimB,stimB,159,0
171,N,stimB,stimB,169,0
172,N,stimB,stimB,168,0
173,N,stimB,stimB,150,0
174,N,stimB,stimB,182,0
175,N,stimB,stimB,155,0
176,G,stimA,stimA,158,1
177,N,stimB,stimB,188,0
178,N,stimB,stimB,202,0
179,N,stimB,stimB,209,0
180,G,stimA,stimA,184,1
181,N,stimB,stimB,210,0
182,N,stimB,stimB,183,0
183,G,stimA,stimA,181,1
184,N,stimB,stimB,170,0
185,N,stimB,stimB,176,0
186,G,stimA,stimA,180,1
187,N,stimB,stimB,154,0
188,N,stimB,stimB,204,0
189,N,stimB,stimB,153,0
190,N,stimB,stimB,176,0
191,N,stimB,stimB,200,0
192,N,stimB,stimB,174,0
193,G,stimA,stimA,187,1
194,N,stimB,stimB,199,0
195,N,stimB,stimB,204,0
196,N,stimB,stimB,206,0
197,N,stimB,stimB,161,0
198,G,stimA,stimA,165,1
199,N,stimB,stimB,204,0
200,N,stimB,stimB,186,0
201,G,stimA,stimA,180,1
202,N,stimB,stimB,187,0
203,N,stimB,stimB,199,0
204,N,stimB,stimB,182,0
205,N,stimB,stimB,162,0
206,N,stimB,stimB,177,0
207,N,stimB,stimB,176,0
208,G,stimA,stimA,208,1
209,N,stimB,stimB,187,0
210,N,stimB,stimB,192,0
211,N,stimB,stimB,193,0
212,N,stimB,stimB,171,0
213,N,stimB,stimB,181,0
214,G,stimA,stimA,183,1
215,G,stimA,stimA,159,1
216,N,stimB,stimB,184,0
217,N,stimB,stimB,192,0
218,N,stimB,stimB,176,0
219,N,stimB,stimB,201,0
220,N,stimB,stimB,194,0
221,N,stimB,stimB,171,0
222,N,stimB,stimB,177,0
223,G,stimA,stimA,173,1
224,N,stimB,stimB,197,0
225,N,stimB,stimB,194,0
226,G,stimA,stimA,176,1
227,N,stimB,stimB,192,0
228,N,stimB,stimB,207,0
229,N,stimB,stimB,197,0
230,N,stimB,stimB,193,0
231,N,stimB,stimB,156,0
