trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimC,stimC,180,0
2,G,stimB,stimB,179,1
3,N,stimC,stimC,203,0
4,N,stimC,stimC,171,0
5,N,stimC,stimC,177,0
6,N,stimC,stimC,208,0
7,G,stimB,stimB,152,1
8,N,stimC,stimC,209,0
9,N,stimC,stimC,161,0
10,N,stimC,stimC,190,0
11,N,stimC,stimC,185,0
12,G,stimB,stimB,191,1
13,N,stimC,stimC,172,0
14,N,stimC,stimC,187,0
15,N,stimC,stimC,199,0
16,G,stimB,stimB,151,1
17,N,stimC,stimC,155,0
18,N,stimC,stimC,209,0
19,N,stimC,stimC,189,0
20,N,stimC,stimC,164,0
21,N,stimC,stimC,174,0
22,N,stimC,stimC,157,0
23,N,stimC,stimC,166,0
24,N,stimC,stimC,165,0
25,N,stimC,stimC,170,0
26,G,stimB,stimB,159,1
27,N,stimC,stimC,171,0
28,N,stimC,stimC,157,0
29,G,stimB,stimB,203,1
30,N,stimC,stimC,155,0
31,G,stimB,stimB,206,1
32,N,stimC,stimC,174,0
33,N,stimC,stimC,152,0
34,N,stimC,stimC,170,0
35,N,stimC,stimC,194,0
36,N,stimC,stimC,198,0
37,N,stimC,stimC,183,0
38,N,stimC,stimC,191,0
39,N,stimC,stimC,204,0
40,G,stimB,stimB,153,1
41,N,stimC,stimC,168,0
42,N,stimC,stimC,152,0
43,N,stimC,stimC,161,0
44,G,stimB,stimB,193,1
45,N,stimC,stimC,194,0
46,N,stimC,stimC,203,0
47,N,stimC,stimC,185,0
48,N,stimC,stimC,154,0
49,G,stimB,stimB,206,1
50,N,stimC,stimC,198,0
51,N,stimC,stimC,167,0
52,N,stimC,stimC,183,0
53,N,stimC,stimC,210,0
54,N,stimC,stimC,193,0
55,G,stimB,stimB,201,1
56,N,stimC,stimC,176,0
57,G,stimB,stimB,178,1
58,N,stimC,stimC,184,0
59,N,stimC,stimC,166,0
60,N,stimC,stimC,195,0
61,N,stimC,stimC,180,0
62,N,stimC,stimC,189,0
63,G,stimB,stimB,168,1
64,N,stimC,stimC,158,0
65,N,stimC,stimC,179,0
66,N,stimC,stimC,172,0
67,N,stimC,stimC,198,0
68,N,stimC,stimC,197,0
69,N,stimC,stimC,190,0
70,G,stimB,stimB,158,1
71,N,stimC,stimC,151,0
72,N,stimC,stimC,184,0
73,N,stimC,stimC,168,0
74,N,stimC,stimC,207,0
75,N,stimC,stimC,209,0
76,N,stimC,stimC,167,0
77,G,stimB,stimB,198,1
78,G,stimB,stimB,204,1
79,N,stimC,stimC,186,0
80,N,stimC,stimC,203,0
81,G,stimB,stimB,207,1
82,N,stimC,stimC,183,0
83,N,stimC,stimC,194,0
84,N,stimC,stimC,185,0
85,N,stimC,stimC,151,0
86,G,stimB,stimB,177,1
87,N,stimC,stimC,189,0
88,N,stimC,stimC,181,0
89,N,stimC,stimC,172,0
90,N,stimC,stimC,207,0
91,N,stimC,stimC,200,0
92,G,stimB,stimB,201,1
93,N,stimC,stimC,172,0
94,N,stimC,stimC,186,0
95,N,stimC,stimC,203,0
96,G,stimB,stimB,206,1
97,N,stimC,stimC,190,0
98,N,stimC,stimC,162,0
99,N,stimC,stimC,189,0
100,N,stimC,stimC,154,0
101,G,stimB,stimB,174,1
102,N,stimC,stimC,190,0
103,N,stimC,stimC,206,0
104,N,stimC,stimC,199,0
105,N,stimC,stimC,179,0
106,G,stimB,stimB,196,1
107,N,stimC,stimC,175,0
108,N,stimC,stimC,209,0
109,N,stimC,stimC,210,0
110,N,stimC,stimC,202,0
111,G,stimB,stimB,173,1
112,N,stimC,stimC,177,0
113,G,stimB,stimB,165,1
114,N,stimC,stimC,197,0
115,N,stimC,stimC,203,0
116,N,stimC,stimC,205,0
117,N,stimC,stimC,184,0
118,N,stimC,stimC,186,0
119,N,stimC,stimC,159,0
120,N,stimC,stimC,204,0
121,N,stimC,stimC,177,0
122,G,stimB,stimB,162,1
123,N,stimC,stimC,204,0
124,G,stimB,stimB,196,1
125,N,stimC,stimC,203,0
126,N,stimC,stimC,167,0
127,N,stimC,stimC,191,0
128,N,stimC,stimC,190,0
129,N,stimC,stimC,157,0
130,N,stimC,stimC,174,0
131,N,stimC,stimC,166,0
132,G,stimB,stimB,193,1
133,N,stimC,stimC,167,0
134,N,stimC,stimC,204,0
135,G,stimB,stimB,200,1
136,N,stimC,stimC,173,0
137,N,stimC,stimC,180,0
138,N,stimC,stimC,192,0
139,N,stimC,stimC,200,0
140,N,stimC,stimC,187,0
141,N,stimC,stimC,185,0
142,N,stimC,stimC,169,0
143,N,stimC,stimC,177,0
144,G,stimB,stimB,193,1
145,G,stimB,stimB,203,1
146,N,stimC,stimC,193,0
147,N,stimC,stimC,151,0
148,N,stimC,stimC,191,0
149,N,stimC,stimC,176,0
150,N,stimC,stimC,176,0
151,N,stimC,stimC,157,0
152,N,stimC,stimC,199,0
153,G,stimB,stimB,169,1
154,N,stimC,stimC,165,0
155,N,stimC,stimC,170,0
156,N,stimC,stimC,172,0
157,G,stimB,stimB,183,1
158,N,stimC,stimC,184,0
159,N,stimC,stimC,174,0
160,N,stimC,stimC,174,0
161,G,stimB,stimB,181,1
162,N,stimC,stimC,190,0
163,G,stimB,stimB,208,1
164,N,stimC,stimC,194,0
165,N,stimC,stimC,174,0
166,N,stimC,stimC,200,0
167,N,stimC,stimC,158,0
168,N,stimC,stimC,153,0
169,N,stimC,stimC,155,0
170,N,stimC,stimC,159,0
171,N,stimC,stimC,169,0
172,N,stimC,stimC,168,0
173,N,stimC,stimC,150,0
174,N,stimC,stimC,182,0
175,N,stimC,stimC,155,0
176,G,stimB,stimB,158,1
177,N,stimC,stimC,188,0
178,N,stimC,stimC,202,0
179,N,stimC,stimC,209,0
180,G,stimB,stimB,184,1
181,N,stimC,stimC,210,0
182,N,stimC,stimC,183,0
183,G,stimB,stimB,181,1
184,N,stimC,stimC,170,0
185,N,stimC,stimC,176,0
186,G,stimB,stimB,180,1
187,N,stimC,stimC,154,0
188,N,stimC,stimC,204,0
189,N,stimC,stimC,153,0
190,N,stimC,stimC,176,0
191,N,stimC,stimC,200,0
192,N,stimC,stimC,174,0
193,G,stimB,stimB,187,1
194,N,stimC,stimC,199,0
195,N,stimC,stimC,204,0
196,N,stimC,stimC,206,0
197,N,stimC,stimC,161,0
198,G,stimB,stimB,165,1
199,N,stimC,stimC,204,0
200,N,stimC,stimC,186,0
201,G,stimB,stimB,180,1
202,N,stimC,stimC,187,0
203,N,stimC,stimC,199,0
204,N,stimC,stimC,182,0
205,N,stimC,stimC,162,0
206,N,stimC,stimC,177,0
207,N,stimC,stimC,176,0
208,G,stimB,stimB,208,1
209,N,stimC,stimC,187,0
210,N,stimC,stimC,192,0
211,N,stimC,stimC,193,0
212,N,stimC,stimC,171,0
213,N,stimC,stimC,181,0
214,G,stimB,stimB,183,1
215,G,stimB,stimB,159,1
216,N,stimC,stimC,184,0
217,N,stimC,stimC,192,0
218,N,stimC,stimC,176,0
219,N,stimC,stimC,201,0
220,N,stimC,stimC,194,0
221,N,stimC,stimC,171,0
222,N,stimC,stimC,177,0
223,G,stimB,stimB,173,1
224,N,stimC,stimC,197,0
225,N,stimC,stimC,194,0
226,G,stimB,stimB,176,1
227,N,stimC,stimC,192,0
228,N,stimC,stimC,207,0
229,N,stimC,stimC,197,0
230,N,stimC,stimC,193,0
231,N,stimC,stimC,156,0
232,G,stimB,stimB,173,1
233,N,stimC,stimC,186,0
234,N,stimC,stimC,178,0
235,N,stimC,stimC,153,0
236,N,stimC,stimC,163,0
237,G,stimB,stimB,200,1
238,N,stimC,stimC,150,0
239,N,stimC,stimC,202,0
240,N,stimC,stimC,154,0
241,N,stimC,stimC,190,0
242,N,stimC,stimC,180,0
243,G,stimB,stimB,163,1
244,G,stimB,stimB,184,1
245,N,stimC,stimC,157,0
246,N,stimC,stimC,190,0
247,N,stimC,stimC,186,0
248,N,stimC,stimC,153,0
249,N,stimC,stimC,153,0
250,N,stimC,stimC,159,0
251,G,stimB,stimB,151,1
252,G,stimB,stimB,176,1
253,N,stimC,stimC,200,0
254,N,stimC,stimC,187,0
255,N,stimC,stimC,181,0
256,N,stimC,stimC,202,0
257,N,stimC,stimC,155,0
258,N,stimC,stimC,205,0
259,N,stimC,stimC,156,0
260,N,stimC,stimC,181,0
261,N,stimC,stimC,158,0
262,N,stimC,stimC,184,0
263,N,stimC,stimC,150,0
264,N,stimC,stimC,196,0
265,N,stimC,stimC,201,0
266,G,stimB,stimB,205,1
267,G,stimB,stimB,210,1
268,N,stimC,stimC,180,0
269,N,stimC,stimC,166,0
270,N,stimC,stimC,156,0
271,N,stimC,stimC,180,0
272,N,stimC,stimC,185,0
273,N,stimC,stimC,196,0
274,N,stimC,stimC,155,0
275,G,stimB,stimB,190,1
276,N,stimC,stimC,181,0
277,G,stimB,stimB,160,1
278,N,stimC,stimC,207,0
279,N,stimC,stimC,186,0
280,N,stimC,stimC,176,0
281,N,stimC,stimC,207,0
282,N,stimC,stimC,190,0
283,G,stimB,stimB,177,1
284,N,stimC,stimC,201,0
285,G,stimB,stimB,182,1
286,N,stimC,stimC,183,0
287,N,stimC,stimC,191,0
288,N,stimC,stimC,172,0
289,N,stimC,stimC,164,0
290,N,stimC,stimC,185,0
291,N,stimC,stimC,202,0
292,N,stimC,stimC,174,0
293,N,stimC,stimC,156,0
294,G,stimB,stimB,177,1
295,N,stimC,stimC,168,0
296,N,stimC,stimC,174,0
297,N,stimC,stimC,200,0
298,N,stimC,stimC,174,0
299,G,stimB,stimB,173,1
300,N,stimC,stimC,171,0
301,N,stimC,stimC,158,0
302,N,stimC,stimC,165,0
303,N,stimC,stimC,155,0
304,N,stimC,stimC,176,0
305,N,stimC,stimC,165,0
306,N,stimC,stimC,168,0
307,G,stimB,stimB,175,1
308,N,stimC,stimC,157,0
309,G,stimB,stimB,180,1
310,N,stimC,stimC,193,0
311,G,stimB,stimB,164,1
312,N,stimC,stimC,197,0
313,N,stimC,stimC,154,0
314,N,stimC,stimC,174,0
315,N,stimC,stimC,150,0
316,N,stimC,stimC,163,0
317,G,stimB,stimB,150,1
318,N,stimC,stimC,161,0
319,N,stimC,stimC,158,0
320,N,stimC,stimC,166,0
321,N,stimC,stimC,160,0
322,N,stimC,stimC,158,0
323,N,stimC,stimC,186,0
324,G,stimB,stimB,204,1
325,N,stimC,stimC,207,0
326,N,stimC,stimC,163,0
327,G,stimB,stimB,179,1
328,N,stimC,stimC,172,0
329,N,stimC,stimC,181,0
330,N,stimC,stimC,166,0
331,N,stimC,stimC,154,0
332,N,stimC,stimC,176,0
333,G,stimB,stimB,160,1
334,G,stimB,stimB,151,1
335,N,stimC,stimC,208,0
336,N,stimC,stimC,176,0
337,N,stimC,stimC,208,0
338,N,stimC,stimC,196,0
339,N,stimC,stimC,150,0
340,N,stimC,stimC,191,0
341,N,stimC,stimC,193,0
342,N,stimC,stimC,189,0
343,N,stimC,stimC,183,0
344,G,stimB,stimB,163,1
345,N,stimC,stimC,197,0
346,N,stimC,stimC,163,0
347,G,stimB,stimB,172,1
348,N,stimC,stimC,204,0
349,N,stimC,stimC,202,0
350,N,stimC,stimC,174,0
351,G,stimB,stimB,169,1
352,N,stimC,stimC,187,0
353,G,stimB,stimB,205,1
354,N,stimC,stimC,205,0
355,N,stimC,stimC,186,0
356,N,stimC,stimC,170,0
357,N,stimC,stimC,202,0
358,N,stimC,stimC,176,0
359,N,stimC,stimC,205,0
