trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimB,stimB,199,1
2,G,stimB,stimB,184,1
3,N,stimC,stimC,204,0
4,G,stimB,stimB,181,1
5,N,stimC,stimC,207,0
6,N,stimC,stimC,202,0
7,G,stimB,stimB,158,1
8,N,stimC,stimC,195,0
9,G,stimB,stimB,178,1
10,N,stimC,stimC,192,0
11,N,stimC,stimC,188,0
12,G,stimB,stimB,177,1
13,G,stimB,stimB,166,1
14,N,stimC,stimC,208,0
15,G,stimB,stimB,181,1
16,N,stimC,stimC,208,0
17,N,stimC,stimC,172,0
18,N,stimC,stimC,200,0
19,G,stimB,stimB,174,1
20,G,stimB,stimB,178,1
21,G,stimB,stimB,175,1
22,N,stimC,stimC,178,0
23,N,stimC,stimC,202,0
24,G,stimB,stimB,171,1
25,N,stimC,stimC,194,0
26,G,stimB,stimB,186,1
27,G,stimB,stimB,172,1
28,N,stimC,stimC,191,0
29,G,stimB,stimB,172,1
30,N,stimC,stimC,179,0
31,N,stimC,stimC,167,0
32,N,stimC,stimC,164,0
33,N,stimC,stimC,177,0
34,N,stimC,stimC,193,0
35,G,stimB,stimB,204,1
36,G,stimB,stimB,179,1
37,G,stimB,stimB,207,1
38,N,stimC,stimC,204,0
39,G,stimB,stimB,158,1
40,G,stimB,stimB,156,1
41,N,stimC,stimC,166,0
42,N,stimC,stimC,201,0
43,G,stimB,stimB,150,1
44,G,stimB,stimB,172,1
45,N,stimC,stimC,207,0
46,G,stimB,stimB,158,1
47,N,stimC,stimC,163,0
48,G,stimB,stimB,153,1
49,N,stimC,stimC,182,0
50,G,stimB,stimB,170,1
51,N,stimC,stimC,161,0
52,N,stimC,stimC,188,0
53,N,stimC,stimC,186,0
54,G,stimB,stimB,206,1
55,N,stimC,stimC,158,0
56,N,stimC,stimC,197,0
57,G,stimB,stimB,158,1
58,G,stimB,stimB,176,1
59,G,stimB,stimB,209,1
60,G,stimB,stimB,207,1
61,N,stimC,stimC,208,0
62,G,stimB,stimB,151,1
63,G,stimB,stimB,162,1
64,G,stimB,stimB,160,1
65,N,stimC,stimC,173,0
66,N,stimC,stimC,155,0
67,G,stimB,stimB,203,1
68,G,stimB,stimB,171,1
69,N,stimC,stimC,176,0
70,N,stimC,stimC,167,0
71,G,stimB,stimB,158,1
72,N,stimC,stimC,168,0
73,G,stimB,stimB,167,1
74,N,stimC,stimC,189,0
75,G,stimB,stimB,196,1
76,G,stimB,stimB,189,1
77,N,stimC,stimC,163,0
78,N,stimC,stimC,179,0
79,G,stimB,stimB,185,1
80,N,stimC,stimC,200,0
81,G,stimB,stimB,204,1
82,N,stimC,stimC,188,0
83,N,stimC,stimC,158,0
84,G,stimB,stimB,175,1
85,N,stimC,stimC,157,0
86,N,stimC,stimC,198,0
87,G,stimB,stimB,200,1
88,N,stimC,stimC,192,0
89,G,stimB,stimB,192,1
90,G,stimB,stimB,183,1
91,G,stimB,stimB,202,1
92,G,stimB,stimB,153,1
93,G,stimB,stimB,201,1
94,N,stimC,stimC,153,0
95,N,stimC,stimC,168,0
96,G,stimB,stimB,200,1
97,N,stimC,stimC,163,0
98,N,stimC,stimC,204,0
99,G,stimB,stimB,162,1
100,N,stimC,stimC,170,0
101,G,stimB,stimB,152,1
102,N,stimC,stimC,195,0
103,G,stimB,stimB,185,1
104,N,stimC,stimC,165,0
105,N,stimC,stimC,169,0
