trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimD,stimD,199,1
2,G,stimD,stimD,184,1
3,N,stimA,stimA,204,0
4,G,stimD,stimD,181,1
5,N,stimA,stimA,207,0
6,N,stimA,stimA,202,0
7,G,stimD,stimD,158,1
8,N,stimA,stimA,195,0
9,G,stimD,stimD,178,1
10,N,stimA,stimA,192,0
11,N,stimA,stimA,188,0
12,G,stimD,stimD,177,1
13,G,stimD,stimD,166,1
14,N,stimA,stimA,208,0
15,G,stimD,stimD,181,1
16,N,stimA,stimA,208,0
17,N,stimA,stimA,172,0
18,N,stimA,stimA,200,0
19,G,stimD,stimD,174,1
20,G,stimD,stimD,178,1
21,G,stimD,stimD,175,1
22,N,stimA,stimA,178,0
23,N,stimA,stimA,202,0
24,G,stimD,stimD,171,1
25,N,stimA,stimA,194,0
26,G,stimD,stimD,186,1
27,G,stimD,stimD,172,1
28,N,stimA,stimA,191,0
29,G,stimD,stimD,172,1
30,N,stimA,stimA,179,0
31,N,stimA,stimA,167,0
32,N,stimA,stimA,164,0
33,N,stimA,stimA,177,0
34,N,stimA,stimA,193,0
35,G,stimD,stimD,204,1
36,G,stimD,stimD,179,1
37,G,stimD,stimD,207,1
38,N,stimA,stimA,204,0
39,G,stimD,stimD,158,1
40,G,stimD,stimD,156,1
41,N,stimA,stimA,166,0
42,N,stimA,stimA,201,0
43,G,stimD,stimD,150,1
44,G,stimD,stimD,172,1
45,N,stimA,stimA,207,0
46,G,stimD,stimD,158,1
47,N,stimA,stimA,163,0
48,G,stimD,stimD,153,1
49,N,stimA,stimA,182,0
50,G,stimD,stimD,170,1
51,N,stimA,stimA,161,0
52,N,stimA,stimA,188,0
53,N,stimA,stimA,186,0
54,G,stimD,stimD,206,1
55,N,stimA,stimA,158,0
56,N,stimA,stimA,197,0
57,G,stimD,stimD,158,1
58,G,stimD,stimD,176,1
59,G,stimD,stimD,209,1
60,G,stimD,stimD,207,1
61,N,stimA,stimA,208,0
62,G,stimD,stimD,151,1
63,G,stimD,stimD,162,1
64,G,stimD,stimD,160,1
65,N,stimA,stimA,173,0
66,N,stimA,stimA,155,0
67,G,stimD,stimD,203,1
68,G,stimD,stimD,171,1
69,N,stimA,stimA,176,0
70,N,stimA,stimA,167,0
71,G,stimD,stimD,158,1
72,N,stimA,stimA,168,0
73,G,stimD,stimD,167,1
74,N,stimA,stimA,189,0
75,G,stimD,stimD,196,1
76,G,stimD,stimD,189,1
77,N,stimA,stimA,163,0
78,N,stimA,stimA,179,0
79,G,stimD,stimD,185,1
80,N,stimA,stimA,200,0
81,G,stimD,stimD,204,1
82,N,stimA,stimA,188,0
83,N,stimA,stimA,158,0
84,G,stimD,stimD,175,1
85,N,stimA,stimA,157,0
86,N,stimA,stimA,198,0
87,G,stimD,stimD,200,1
88,N,stimA,stimA,192,0
89,G,stimD,stimD,192,1
90,G,stimD,stimD,183,1
91,G,stimD,stimD,202,1
92,G,stimD,stimD,153,1
93,G,stimD,stimD,201,1
94,N,stimA,stimA,153,0
95,N,stimA,stimA,168,0
96,G,stimD,stimD,200,1
97,N,stimA,stimA,163,0
98,N,stimA,stimA,204,0
99,G,stimD,stimD,162,1
100,N,stimA,stimA,170,0
101,G,stimD,stimD,152,1
102,N,stimA,stimA,195,0
103,G,stimD,stimD,185,1
104,N,stimA,stimA,165,0
105,N,stimA,stimA,169,0
106,G,stimD,stimD,184,1
107,N,stimA,stimA,166,0
108,G,stimD,stimD,185,1
109,N,stimA,stimA,174,0
110,G,stimD,stimD,178,1
111,N,stimA,stimA,151,0
112,N,stimA,stimA,192,0
113,G,stimD,stimD,158,1
114,N,stimA,stimA,207,0
115,G,stimD,stimD,151,1
116,N,stimA,stimA,176,0
117,N,stimA,stimA,204,0
118,G,stimD,stimD,192,1
119,G,stimD,stimD,157,1
120,G,stimD,stimD,207,1
121,G,stimD,stimD,152,1
122,G,stimD,stimD,170,1
123,N,stimA,stimA,186,0
124,N,stimA,stimA,180,0
125,N,stimA,stimA,208,0
126,G,stimD,stimD,197,1
127,N,stimA,stimA,156,0
128,G,stimD,stimD,177,1
129,N,stimA,stimA,200,0
130,G,stimD,stimD,197,1
131,N,stimA,stimA,162,0
132,N,stimA,stimA,153,0
133,G,stimD,stimD,166,1
134,N,stimA,stimA,153,0
135,G,stimD,stimD,192,1
136,N,stimA,stimA,188,0
137,G,stimD,stimD,186,1
138,N,stimA,stimA,192,0
139,G,stimD,stimD,191,1
140,G,stimD,stimD,152,1
141,G,stimD,stimD,169,1
142,N,stimA,stimA,165,0
143,N,stimA,stimA,194,0
144,G,stimD,stimD,196,1
145,N,stimA,stimA,200,0
146,G,stimD,stimD,167,1
147,N,stimA,stimA,210,0
148,G,stimD,stimD,196,1
149,N,stimA,stimA,194,0
150,G,stimD,stimD,167,1
151,G,stimD,stimD,159,1
152,G,stimD,stimD,200,1
153,N,stimA,stimA,183,0
154,G,stimD,stimD,197,1
155,N,stimA,stimA,185,0
156,N,stimA,stimA,206,0
157,N,stimA,stimA,196,0
158,G,stimD,stimD,158,1
159,G,stimD,stimD,156,1
160,N,stimA,stimA,194,0
161,N,stimA,stimA,158,0
162,G,stimD,stimD,189,1
163,G,stimD,stimD,151,1
164,N,stimA,stimA,184,0
165,G,stimD,stimD,183,1
166,G,stimD,stimD,179,1
167,N,stimA,stimA,170,0
168,N,stimA,stimA,197,0
169,N,stimA,stimA,171,0
170,G,stimD,stimD,171,1
171,G,stimD,stimD,188,1
172,G,stimD,stimD,175,1
173,N,stimA,stimA,190,0
174,G,stimD,stimD,195,1
175,G,stimD,stimD,181,1
176,G,stimD,stimD,205,1
177,N,stimA,stimA,179,0
178,N,stimA,stimA,199,0
179,N,stimA,stimA,196,0
180,N,stimA,stimA,208,0
181,G,stimD,stimD,152,1
182,G,stimD,stimD,186,1
183,N,stimA,stimA,193,0
184,N,stimA,stimA,197,0
185,G,stimD,stimD,191,1
186,N,stimA,stimA,182,0
187,G,stimD,stimD,175,1
188,G,stimD,stimD,152,1
189,N,stimA,stimA,172,0
190,N,stimA,stimA,171,0
191,G,stimD,stimD,185,1
192,G,stimD,stimD,164,1
193,N,stimA,stimA,187,0
194,N,stimA,stimA,180,0
195,G,stimD,stimD,176,1
196,G,stimD,stimD,161,1
197,N,stimA,stimA,205,0
198,N,stimA,stimA,156,0
199,G,stimD,stimD,195,1
200,N,stimA,stimA,209,0
201,G,stimD,stimD,203,1
202,N,stimA,stimA,195,0
203,N,stimA,stimA,154,0
204,G,stimD,stimD,186,1
205,N,stimA,stimA,178,0
206,G,stimD,stimD,189,1
207,G,stimD,stimD,195,1
208,G,stimD,stimD,173,1
209,N,stimA,stimA,153,0
210,N,stimA,stimA,161,0
211,N,stimA,stimA,210,0
212,N,stimA,stimA,209,0
213,G,stimD,stimD,208,1
214,G,stimD,stimD,158,1
215,G,stimD,stimD,162,1
216,G,stimD,stimD,169,1
217,G,stimD,stimD,158,1
218,N,stimA,stimA,153,0
219,N,stimA,stimA,200,0
220,N,stimA,stimA,189,0
221,N,stimA,stimA,178,0
222,G,stimD,stimD,200,1
223,N,stimA,stimA,193,0
224,N,stimA,stimA,204,0
225,G,stimD,stimD,152,1
226,G,stimD,stimD,195,1
227,N,stimA,stimA,155,0
228,G,stimD,stimD,180,1
229,G,stimD,stimD,207,1
230,N,stimA,stimA,175,0
231,N,stimA,stimA,182,0
232,N,stimA,stimA,175,0
233,N,stimA,stimA,173,0
234,N,stimA,stimA,157,0
235,G,stimD,stimD,158,1
236,G,stimD,stimD,162,1
237,G,stimD,stimD,178,1
238,G,stimD,stimD,174,1
239,N,stimA,stimA,209,0
240,G,stimD,stimD,157,1
241,N,stimA,stimA,210,0
242,G,stimD,stimD,151,1
243,G,stimD,stimD,164,1
244,N,stimA,stimA,156,0
245,G,stimD,stimD,157,1
246,G,stimD,stimD,185,1
247,N,stimA,stimA,156,0
248,N,stimA,stimA,175,0
249,N,stimA,stimA,206,0
250,G,stimD,stimD,197,1
251,G,stimD,stimD,200,1
252,G,stimD,stimD,161,1
253,N,stimA,stimA,205,0
254,N,stimA,stimA,186,0
255,G,stimD,stimD,202,1
256,N,stimA,stimA,161,0
257,G,stimD,stimD,152,1
258,N,stimA,stimA,203,0
259,N,stimA,stimA,181,0
260,G,stimD,stimD,164,1
261,G,stimD,stimD,206,1
262,N,stimA,stimA,198,0
263,N,stimA,stimA,199,0
264,N,stimA,stimA,164,0
265,N,stimA,stimA,159,0
266,N,stimA,stimA,198,0
267,G,stimD,stimD,200,1
268,G,stimD,stimD,193,1
269,G,stimD,stimD,153,1
270,G,stimD,stimD,160,1
271,G,stimD,stimD,199,1
272,N,stimA,stimA,196,0
273,G,stimD,stimD,163,1
274,N,stimA,stimA,208,0
275,G,stimD,stimD,177,1
276,G,stimD,stimD,183,1
277,N,stimA,stimA,156,0
278,G,stimD,stimD,194,1
279,N,stimA,stimA,154,0
280,N,stimA,stimA,193,0
281,G,stimD,stimD,193,1
282,N,stimA,stimA,169,0
283,G,stimD,stimD,180,1
284,N,stimA,stimA,180,0
285,G,stimD,stimD,150,1
286,G,stimD,stimD,188,1
287,N,stimA,stimA,158,0
288,G,stimD,stimD,166,1
289,N,stimA,stimA,158,0
290,N,stimA,stimA,173,0
291,N,stimA,stimA,158,0
292,N,stimA,stimA,155,0
293,G,stimD,stimD,198,1
294,G,stimD,stimD,182,1
295,N,stimA,stimA,207,0
296,G,stimD,stimD,180,1
297,N,stimA,stimA,150,0
298,G,stimD,stimD,184,1
299,N,stimA,stimA,193,0
300,G,stimD,stimD,185,1
301,N,stimA,stimA,188,0
302,G,stimD,stimD,192,1
303,N,stimA,stimA,167,0
304,N,stimA,stimA,187,0
305,N,stimA,stimA,169,0
306,N,stimA,stimA,168,0
307,G,stimD,stimD,186,1
308,G,stimD,stimD,165,1
309,G,stimD,stimD,162,1
310,G,stimD,stimD,165,1
311,N,stimA,stimA,195,0
312,G,stimD,stimD,174,1
313,G,stimD,stimD,168,1
314,G,stimD,stimD,165,1
315,N,stimA,stimA,185,0
316,G,stimD,stimD,183,1
317,N,stimA,stimA,163,0
318,G,stimD,stimD,193,1
319,N,stimA,stimA,207,0
320,N,stimA,stimA,154,0
321,N,stimA,stimA,191,0
322,G,stimD,stimD,210,1
323,G,stimD,stimD,184,1
324,N,stimA,stimA,152,0
325,G,stimD,stimD,156,1
326,N,stimA,stimA,209,0
327,G,stimD,stimD,189,1
328,N,stimA,stimA,156,0
329,G,stimD,stimD,180,1
330,N,stimA,stimA,205,0
331,G,stimD,stimD,164,1
332,N,stimA,stimA,209,0
333,N,stimA,stimA,186,0
334,G,stimD,stimD,174,1
335,G,stimD,stimD,162,1
336,N,stimA,stimA,156,0
337,G,stimD,stimD,194,1
338,N,stimA,stimA,151,0
339,G,stimD,stimD,185,1
340,N,stimA,stimA,167,0
341,G,stimD,stimD,174,1
342,G,stimD,stimD,151,1
343,N,stimA,stimA,152,0
344,G,stimD,stimD,190,1
345,G,stimD,stimD,193,1
346,N,stimA,stimA,194,0
347,G,stimD,stimD,167,1
348,N,stimA,stimA,154,0
349,N,stimA,stimA,195,0
350,N,stimA,stimA,161,0
