trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimC,stimB_25,179,1
2,G,stimC,stimA_25,203,1
3,N,stimD,stimA_25,171,0
4,G,stimC,stimA_25,177,1
5,N,stimD,stimB_25,208,0
6,G,stimC,stimB_25,152,1
7,G,stimC,stimB_25,209,1
8,N,stimD,stimB_25,161,0
9,N,stimD,stimB_25,190,0
10,N,stimD,stimB_25,185,0
11,N,stimD,stimB_25,191,0
12,G,stimC,stimA_25,172,1
13,G,stimC,stimB_25,187,1
14,N,stimD,stimA_25,199,0
15,G,stimC,stimB_25,151,1
16,G,stimC,stimB_25,155,1
17,N,stimD,stimB_25,209,0
18,G,stimC,stimA_25,189,1
19,N,stimD,stimB_25,164,0
20,N,stimD,stimA_25,174,0
21,N,stimD,stimA_25,157,0
22,N,stimD,stimB_25,166,0
23,N,stimD,stimA_25,165,0
24,G,stimC,stimA_25,170,1
25,N,stimD,stimA_25,159,0
26,G,stimC,stimA_25,171,1
27,G,stimC,stimA_25,157,1
28,G,stimC,stimA_25,203,1
29,G,stimC,stimB_25,155,1
30,N,stimD,stimA_25,206,0
31,G,stimC,stimB_25,174,1
32,N,stimD,stimB_25,152,0
33,G,stimC,stimA_25,170,1
34,G,stimC,stimB_25,194,1
35,N,stimD,stimA_25,198,0
36,N,stimD,stimA_25,183,0
37,N,stimD,stimB_25,191,0
38,G,stimC,stimA_25,204,1
39,N,stimD,stimA_25,153,0
40,G,stimC,stimA_25,168,1
41,G,stimC,stimA_25,152,1
42,G,stimC,stimB_25,161,1
43,N,stimD,stimB_25,193,0
44,G,stimC,stimA_25,194,1
45,N,stimD,stimA_25,203,0
46,N,stimD,stimB_25,185,0
47,N,stimD,stimA_25,154,0
48,G,stimC,stimB_25,206,1
49,G,stimC,stimB_25,198,1
50,N,stimD,stimA_25,167,0
51,N,stimB_25,stimD,183,0
52,N,stimB_25,stimD,210,0
53,N,stimB_25,stimD,193,0
54,N,stimA_25,stimD,201,0
55,G,stimA_25,stimC,176,1
56,G,stimB_25,stimC,178,1
57,G,stimB_25,stimC,184,1
58,N,stimA_25,stimD,166,0
59,G,stimA_25,stimC,195,1
60,G,stimA_25,stimC,180,1
61,G,stimA_25,stimC,189,1
62,G,stimA_25,stimC,168,1
63,G,stimB_25,stimC,158,1
64,N,stimB_25,stimD,179,0
65,N,stimA_25,stimD,172,0
66,N,stimA_25,stimD,198,0
67,N,stimB_25,stimD,197,0
68,G,stimA_25,stimC,190,1
69,N,stimA_25,stimD,158,0
70,G,stimA_25,stimC,151,1
71,N,stimA_25,stimD,184,0
72,G,stimB_25,stimC,168,1
73,N,stimB_25,stimD,207,0
74,G,stimB_25,stimC,209,1
75,N,stimA_25,stimD,167,0
76,G,stimB_25,stimC,198,1
77,G,stimA_25,stimC,204,1
78,G,stimA_25,stimC,186,1
79,N,stimA_25,stimD,203,0
80,N,stimA_25,stimD,207,0
81,G,stimB_25,stimC,183,1
82,G,stimB_25,stimC,194,1
83,N,stimB_25,stimD,185,0
84,N,stimA_25,stimD,151,0
85,G,stimA_25,stimC,177,1
86,G,stimB_25,stimC,189,1
87,N,stimA_25,stimD,181,0
88,N,stimA_25,stimD,172,0
89,N,stimA_25,stimD,207,0
90,G,stimB_25,stimC,200,1
91,N,stimA_25,stimD,201,0
92,G,stimB_25,stimC,172,1
93,G,stimA_25,stimC,186,1
94,G,stimB_25,stimC,203,1
95,N,stimB_25,stimD,206,0
96,G,stimB_25,stimC,190,1
97,N,stimB_25,stimD,162,0
98,N,stimA_25,stimD,189,0
99,G,stimB_25,stimC,154,1
100,N,stimB_25,stimD,174,0
101,G,stimC,stimA_25,190,1
102,G,stimC,stimB_25,206,1
103,N,stimD,stimA_25,199,0
104,N,stimD,stimB_25,179,0
105,N,stimD,stimA_25,196,0
106,G,stimC,stimB_25,175,1
107,N,stimD,stimA_25,209,0
108,G,stimC,stimB_25,210,1
109,G,stimC,stimA_25,202,1
110,N,stimD,stimB_25,173,0
