trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimD,stimB_25,179,1
2,G,stimD,stimB_25,203,1
3,N,stimA,stimC_25,171,0
4,G,stimD,stimB_25,177,1
5,N,stimA,stimB_25,208,0
6,G,stimD,stimB_25,152,1
7,G,stimD,stimB_25,209,1
8,N,stimA,stimC_25,161,0
9,N,stimA,stimB_25,190,0
10,N,stimA,stimC_25,185,0
11,N,stimA,stimC_25,191,0
12,G,stimD,stimC_25,172,1
13,G,stimD,stimC_25,187,1
14,N,stimA,stimC_25,199,0
15,G,stimD,stimB_25,151,1
16,G,stimD,stimB_25,155,1
17,N,stimA,stimB_25,209,0
18,G,stimD,stimB_25,189,1
19,N,stimA,stimB_25,164,0
20,N,stimA,stimC_25,174,0
21,N,stimA,stimB_25,157,0
22,N,stimA,stimC_25,166,0
23,N,stimA,stimB_25,165,0
24,G,stimD,stimC_25,170,1
25,N,stimA,stimB_25,159,0
26,G,stimD,stimB_25,171,1
27,G,stimD,stimC_25,157,1
28,G,stimD,stimC_25,203,1
29,G,stimD,stimC_25,155,1
30,N,stimA,stimC_25,206,0
31,G,stimD,stimB_25,174,1
32,N,stimA,stimC_25,152,0
33,G,stimD,stimB_25,170,1
34,G,stimD,stimC_25,194,1
35,N,stimA,stimC_25,198,0
36,N,stimA,stimC_25,183,0
37,N,stimA,stimC_25,191,0
38,G,stimD,stimC_25,204,1
39,N,stimA,stimC_25,153,0
40,G,stimD,stimB_25,168,1
41,G,stimD,stimB_25,152,1
42,G,stimD,stimB_25,161,1
43,N,stimA,stimC_25,193,0
44,G,stimD,stimB_25,194,1
45,N,stimA,stimB_25,203,0
46,N,stimA,stimC_25,185,0
47,N,stimA,stimC_25,154,0
48,G,stimD,stimB_25,206,1
49,G,stimD,stimC_25,198,1
50,N,stimA,stimB_25,167,0
51,N,stimB_25,stimA,183,0
52,N,stimC_25,stimA,210,0
53,N,stimB_25,stimA,193,0
54,N,stimC_25,stimA,201,0
55,G,stimB_25,stimD,176,1
56,G,stimB_25,stimD,178,1
57,G,stimC_25,stimD,184,1
58,N,stimB_25,stimA,166,0
59,G,stimC_25,stimD,195,1
60,G,stimC_25,stimD,180,1
61,G,stimC_25,stimD,189,1
62,G,stimB_25,stimD,168,1
63,G,stimC_25,stimD,158,1
64,N,stimB_25,stimA,179,0
65,N,stimC_25,stimA,172,0
66,N,stimB_25,stimA,198,0
67,N,stimB_25,stimA,197,0
68,G,stimC_25,stimD,190,1
69,N,stimC_25,stimA,158,0
70,G,stimC_25,stimD,151,1
71,N,stimC_25,stimA,184,0
72,G,stimC_25,stimD,168,1
73,N,stimB_25,stimA,207,0
74,G,stimB_25,stimD,209,1
75,N,stimB_25,stimA,167,0
76,G,stimC_25,stimD,198,1
77,G,stimC_25,stimD,204,1
78,G,stimB_25,stimD,186,1
79,N,stimB_25,stimA,203,0
80,N,stimB_25,stimA,207,0
81,G,stimB_25,stimD,183,1
82,G,stimC_25,stimD,194,1
83,N,stimB_25,stimA,185,0
84,N,stimB_25,stimA,151,0
85,G,stimB_25,stimD,177,1
86,G,stimB_25,stimD,189,1
87,N,stimC_25,stimA,181,0
88,N,stimC_25,stimA,172,0
89,N,stimC_25,stimA,207,0
90,G,stimC_25,stimD,200,1
91,N,stimB_25,stimA,201,0
92,G,stimB_25,stimD,172,1
93,G,stimB_25,stimD,186,1
94,G,stimB_25,stimD,203,1
95,N,stimB_25,stimA,206,0
96,G,stimC_25,stimD,190,1
97,N,stimB_25,stimA,162,0
98,N,stimB_25,stimA,189,0
