trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimC_75,179,1
2,G,stimA,stimC_75,203,1
3,N,stimB,stimD_75,171,0
4,G,stimA,stimC_75,177,1
5,N,stimB,stimC_75,208,0
6,G,stimA,stimD_75,152,1
7,G,stimA,stimC_75,209,1
8,N,stimB,stimD_75,161,0
9,N,stimB,stimC_75,190,0
10,N,stimB,stimD_75,185,0
11,N,stimB,stimC_75,191,0
12,G,stimA,stimD_75,172,1
13,G,stimA,stimD_75,187,1
14,N,stimB,stimC_75,199,0
15,G,stimA,stimD_75,151,1
16,G,stimA,stimD_75,155,1
17,N,stimB,stimD_75,209,0
18,G,stimA,stimD_75,189,1
19,N,stimB,stimC_75,164,0
20,N,stimB,stimC_75,174,0
21,N,stimB,stimC_75,157,0
22,N,stimB,stimC_75,166,0
23,N,stimB,stimD_75,165,0
24,G,stimA,stimD_75,170,1
25,N,stimB,stimC_75,159,0
26,G,stimA,stimD_75,171,1
27,G,stimA,stimC_75,157,1
28,G,stimA,stimD_75,203,1
29,G,stimA,stimC_75,155,1
30,N,stimB,stimC_75,206,0
31,G,stimA,stimC_75,174,1
32,N,stimB,stimD_75,152,0
33,G,stimA,stimD_75,170,1
34,G,stimA,stimD_75,194,1
35,N,stimB,stimC_75,198,0
36,N,stimB,stimD_75,183,0
37,N,stimB,stimC_75,191,0
38,G,stimA,stimD_75,204,1
39,N,stimB,stimC_75,153,0
40,G,stimA,stimC_75,168,1
41,G,stimA,stimD_75,152,1
42,G,stimA,stimD_75,161,1
43,N,stimB,stimD_75,193,0
44,G,stimA,stimD_75,194,1
45,N,stimB,stimD_75,203,0
46,N,stimB,stimD_75,185,0
47,N,stimB,stimC_75,154,0
48,G,stimA,stimC_75,206,1
49,G,stimA,stimD_75,198,1
50,N,stimB,stimD_75,167,0
51,N,stimC_75,stimB,183,0
52,N,stimC_75,stimB,210,0
53,N,stimC_75,stimB,193,0
54,N,stimC_75,stimB,201,0
55,G,stimC_75,stimA,176,1
56,G,stimD_75,stimA,178,1
57,G,stimC_75,stimA,184,1
58,N,stimD_75,stimB,166,0
59,G,stimD_75,stimA,195,1
60,G,stimC_75,stimA,180,1
61,G,stimC_75,stimA,189,1
62,G,stimC_75,stimA,168,1
63,G,stimC_75,stimA,158,1
64,N,stimD_75,stimB,179,0
65,N,stimD_75,stimB,172,0
66,N,stimD_75,stimB,198,0
67,N,stimC_75,stimB,197,0
68,G,stimD_75,stimA,190,1
69,N,stimD_75,stimB,158,0
70,G,stimC_75,stimA,151,1
71,N,stimD_75,stimB,184,0
72,G,stimD_75,stimA,168,1
73,N,stimC_75,stimB,207,0
74,G,stimC_75,stimA,209,1
75,N,stimC_75,stimB,167,0
76,G,stimD_75,stimA,198,1
77,G,stimD_75,stimA,204,1
78,G,stimD_75,stimA,186,1
79,N,stimC_75,stimB,203,0
80,N,stimC_75,stimB,207,0
81,G,stimC_75,stimA,183,1
82,G,stimD_75,stimA,194,1
83,N,stimD_75,stimB,185,0
84,N,stimD_75,stimB,151,0
85,G,stimC_75,stimA,177,1
86,G,stimD_75,stimA,189,1
87,N,stimC_75,stimB,181,0
88,N,stimD_75,stimB,172,0
89,N,stimD_75,stimB,207,0
90,G,stimC_75,stimA,200,1
91,N,stimC_75,stimB,201,0
92,G,stimC_75,stimA,172,1
93,G,stimC_75,stimA,186,1
94,G,stimD_75,stimA,203,1
95,N,stimC_75,stimB,206,0
96,G,stimC_75,stimA,190,1
97,N,stimD_75,stimB,162,0
98,N,stimD_75,stimB,189,0
99,G,stimD_75,stimA,154,1
100,N,stimC_75,stimB,174,0
101,G,stimA,stimC_75,190,1
102,G,stimA,stimC_75,206,1
103,N,stimB,stimD_75,199,0
104,N,stimB,stimC_75,179,0
105,N,stimB,stimD_75,196,0
106,G,stimA,stimD_75,175,1
107,N,stimB,stimC_75,209,0
108,G,stimA,stimC_75,210,1
109,G,stimA,stimD_75,202,1
110,N,stimB,stimD_75,173,0
111,G,stimA,stimD_75,177,1
112,N,stimB,stimD_75,165,0
113,G,stimA,stimC_75,197,1
114,N,stimB,stimD_75,203,0
115,N,stimB,stimC_75,205,0
