trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimB,stimD_75,179,1
2,G,stimB,stimD_75,203,1
3,N,stimC,stimA_75,171,0
4,G,stimB,stimA_75,177,1
5,N,stimC,stimD_75,208,0
6,G,stimB,stimD_75,152,1
7,G,stimB,stimA_75,209,1
8,N,stimC,stimD_75,161,0
9,N,stimC,stimA_75,190,0
10,N,stimC,stimA_75,185,0
11,N,stimC,stimD_75,191,0
12,G,stimB,stimD_75,172,1
13,G,stimB,stimA_75,187,1
14,N,stimC,stimD_75,199,0
15,G,stimB,stimD_75,151,1
16,G,stimB,stimA_75,155,1
17,N,stimC,stimD_75,209,0
18,G,stimB,stimD_75,189,1
19,N,stimC,stimA_75,164,0
20,N,stimC,stimD_75,174,0
21,N,stimC,stimA_75,157,0
22,N,stimC,stimA_75,166,0
23,N,stimC,stimA_75,165,0
24,G,stimB,stimD_75,170,1
25,N,stimC,stimD_75,159,0
26,G,stimB,stimA_75,171,1
27,G,stimB,stimD_75,157,1
28,G,stimB,stimD_75,203,1
29,G,stimB,stimA_75,155,1
30,N,stimC,stimA_75,206,0
31,G,stimB,stimD_75,174,1
32,N,stimC,stimD_75,152,0
33,G,stimB,stimA_75,170,1
34,G,stimB,stimA_75,194,1
35,N,stimC,stimA_75,198,0
36,N,stimC,stimA_75,183,0
37,N,stimC,stimD_75,191,0
38,G,stimB,stimD_75,204,1
39,N,stimC,stimA_75,153,0
40,G,stimB,stimA_75,168,1
41,G,stimB,stimD_75,152,1
42,G,stimB,stimA_75,161,1
43,N,stimC,stimD_75,193,0
44,G,stimB,stimA_75,194,1
45,N,stimC,stimA_75,203,0
46,N,stimC,stimA_75,185,0
47,N,stimC,stimD_75,154,0
48,G,stimB,stimA_75,206,1
49,G,stimB,stimA_75,198,1
50,N,stimC,stimA_75,167,0
51,N,stimA_75,stimC,183,0
52,N,stimA_75,stimC,210,0
53,N,stimD_75,stimC,193,0
54,N,stimD_75,stimC,201,0
55,G,stimA_75,stimB,176,1
56,G,stimD_75,stimB,178,1
57,G,stimA_75,stimB,184,1
58,N,stimA_75,stimC,166,0
59,G,stimA_75,stimB,195,1
60,G,stimD_75,stimB,180,1
61,G,stimA_75,stimB,189,1
62,G,stimD_75,stimB,168,1
63,G,stimA_75,stimB,158,1
64,N,stimD_75,stimC,179,0
65,N,stimA_75,stimC,172,0
66,N,stimD_75,stimC,198,0
67,N,stimD_75,stimC,197,0
68,G,stimA_75,stimB,190,1
69,N,stimA_75,stimC,158,0
70,G,stimA_75,stimB,151,1
71,N,stimD_75,stimC,184,0
72,G,stimD_75,stimB,168,1
73,N,stimA_75,stimC,207,0
74,G,stimA_75,stimB,209,1
75,N,stimA_75,stimC,167,0
76,G,stimA_75,stimB,198,1
77,G,stimD_75,stimB,204,1
78,G,stimD_75,stimB,186,1
79,N,stimA_75,stimC,203,0
80,N,stimD_75,stimC,207,0
81,G,stimA_75,stimB,183,1
82,G,stimD_75,stimB,194,1
83,N,stimA_75,stimC,185,0
84,N,stimD_75,stimC,151,0
85,G,stimD_75,stimB,177,1
86,G,stimA_75,stimB,189,1
87,N,stimD_75,stimC,181,0
88,N,stimD_75,stimC,172,0
89,N,stimA_75,stimC,207,0
90,G,stimA_75,stimB,200,1
91,N,stimD_75,stimC,201,0
92,G,stimA_75,stimB,172,1
93,G,stimD_75,stimB,186,1
94,G,stimD_75,stimB,203,1
95,N,stimD_75,stimC,206,0
96,G,stimA_75,stimB,190,1
97,N,stimA_75,stimC,162,0
98,N,stimD_75,stimC,189,0
99,G,stimA_75,stimB,154,1
100,N,stimD_75,stimC,174,0
101,G,stimB,stimA_75,190,1
102,G,stimB,stimA_75,206,1
103,N,stimC,stimA_75,199,0
104,N,stimC,stimD_75,179,0
105,N,stimC,stimD_75,196,0
106,G,stimB,stimD_75,175,1
