trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimD,stimA,152,1
2,G,stimD,stimA,182,1
3,N,stimD,stimB,165,0
4,N,stimD,stimB,172,0
5,N,stimC,stimB,210,0
6,G,stimD,stimA,181,1
7,N,stimD,stimB,179,0
8,N,stimC,stimB,176,0
9,G,stimC,stimA,160,1
10,G,stimC,stimA,192,1
11,N,stimD,stimB,153,0
12,G,stimD,stimA,151,1
13,N,stimD,stimB,151,0
14,G,stimC,stimA,194,1
15,N,stimD,stimB,182,0
16,G,stimD,stimA,156,1
17,G,stimD,stimA,169,1
18,N,stimC,stimB,159,0
19,N,stimC,stimB,191,0
20,G,stimD,stimA,154,1
21,G,stimD,stimA,207,1
22,G,stimC,stimA,206,1
23,G,stimC,stimA,160,1
24,N,stimD,stimB,208,0
25,G,stimD,stimA,193,1
26,N,stimD,stimB,168,0
27,N,stimD,stimB,168,0
28,N,stimC,stimB,168,0
29,G,stimD,stimA,184,1
30,N,stimD,stimB,205,0
31,N,stimD,stimB,157,0
32,G,stimD,stimA,153,1
33,N,stimD,stimB,162,0
34,G,stimC,stimA,199,1
35,N,stimD,stimB,159,0
36,G,stimD,stimA,198,1
37,N,stimC,stimB,150,0
38,N,stimC,stimB,163,0
39,G,stimD,stimA,174,1
40,G,stimD,stimA,161,1
41,G,stimC,stimA,190,1
42,G,stimD,stimA,151,1
43,N,stimC,stimB,198,0
44,G,stimD,stimA,191,1
45,G,stimD,stimA,176,1
46,G,stimD,stimA,197,1
47,N,stimC,stimB,169,0
48,N,stimD,stimB,210,0
49,N,stimD,stimB,209,0
50,N,stimD,stimB,177,0
51,G,stimA,stimC,176,1
52,N,stimB,stimC,154,0
53,G,stimA,stimC,186,1
54,G,stimA,stimC,160,1
55,N,stimB,stimC,187,0
56,N,stimB,stimD,159,0
57,N,stimB,stimD,179,0
58,G,stimA,stimC,161,1
59,N,stimB,stimD,198,0
60,G,stimA,stimD,205,1
61,N,stimB,stimD,208,0
62,G,stimA,stimD,177,1
63,G,stimA,stimD,200,1
64,G,stimA,stimD,158,1
65,G,stimA,stimD,162,1
66,N,stimB,stimD,174,0
67,N,stimB,stimD,197,0
68,N,stimB,stimC,192,0
69,N,stimB,stimD,172,0
70,G,stimA,stimC,163,1
71,G,stimA,stimC,169,1
72,N,stimB,stimD,179,0
73,G,stimA,stimC,170,1
74,G,stimA,stimD,186,1
75,G,stimA,stimC,196,1
76,N,stimB,stimC,180,0
77,N,stimB,stimC,183,0
