trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimB,152,1
2,G,stimD,stimB,182,1
3,N,stimD,stimC,165,0
4,N,stimA,stimC,172,0
5,N,stimA,stimC,210,0
6,G,stimA,stimB,181,1
7,N,stimD,stimC,179,0
8,N,stimD,stimC,176,0
9,G,stimA,stimB,160,1
10,G,stimD,stimB,192,1
11,N,stimD,stimC,153,0
12,G,stimD,stimB,151,1
13,N,stimD,stimC,151,0
14,G,stimA,stimB,194,1
15,N,stimA,stimC,182,0
16,G,stimD,stimB,156,1
17,G,stimD,stimB,169,1
18,N,stimA,stimC,159,0
19,N,stimD,stimC,191,0
20,G,stimA,stimB,154,1
21,G,stimA,stimB,207,1
22,G,stimA,stimB,206,1
23,G,stimA,stimB,160,1
24,N,stimD,stimC,208,0
25,G,stimA,stimB,193,1
26,N,stimA,stimC,168,0
27,N,stimA,stimC,168,0
28,N,stimA,stimC,168,0
29,G,stimD,stimB,184,1
30,N,stimD,stimC,205,0
31,N,stimD,stimC,157,0
32,G,stimA,stimB,153,1
33,N,stimA,stimC,162,0
34,G,stimA,stimB,199,1
35,N,stimD,stimC,159,0
36,G,stimD,stimB,198,1
37,N,stimD,stimC,150,0
38,N,stimA,stimC,163,0
39,G,stimD,stimB,174,1
40,G,stimA,stimB,161,1
41,G,stimA,stimB,190,1
42,G,stimD,stimB,151,1
43,N,stimD,stimC,198,0
44,G,stimD,stimB,191,1
45,G,stimA,stimB,176,1
46,G,stimD,stimB,197,1
47,N,stimD,stimC,169,0
48,N,stimD,stimC,210,0
49,N,stimA,stimC,209,0
50,N,stimD,stimC,177,0
51,G,stimB,stimA,176,1
52,N,stimC,stimA,154,0
53,G,stimB,stimD,186,1
54,G,stimB,stimA,160,1
55,N,stimC,stimA,187,0
56,N,stimC,stimD,159,0
57,N,stimC,stimA,179,0
58,G,stimB,stimA,161,1
59,N,stimC,stimA,198,0
60,G,stimB,stimD,205,1
61,N,stimC,stimD,208,0
62,G,stimB,stimD,177,1
63,G,stimB,stimA,200,1
64,G,stimB,stimD,158,1
65,G,stimB,stimA,162,1
66,N,stimC,stimD,174,0
67,N,stimC,stimA,197,0
68,N,stimC,stimD,192,0
69,N,stimC,stimD,172,0
70,G,stimB,stimA,163,1
71,G,stimB,stimA,169,1
72,N,stimC,stimD,179,0
73,G,stimB,stimA,170,1
74,G,stimB,stimD,186,1
75,G,stimB,stimA,196,1
76,N,stimC,stimD,180,0
77,N,stimC,stimD,183,0
78,G,stimB,stimD,156,1
79,N,stimC,stimD,200,0
80,N,stimC,stimA,193,0
81,N,stimC,stimD,182,0
82,N,stimC,stimD,200,0
83,G,stimB,stimA,203,1
84,G,stimB,stimA,177,1
85,N,stimC,stimD,179,0
86,G,stimB,stimD,157,1
87,G,stimB,stimD,180,1
88,N,stimC,stimD,173,0
89,N,stimC,stimA,150,0
90,G,stimB,stimA,170,1
91,N,stimC,stimD,196,0
92,G,stimB,stimD,199,1
93,N,stimC,stimD,210,0
94,N,stimC,stimA,165,0
95,N,stimC,stimD,201,0
96,G,stimB,stimA,200,1
97,G,stimB,stimA,191,1
98,G,stimB,stimD,198,1
99,G,stimB,stimD,169,1
100,N,stimC,stimA,199,0
101,G,stimA,stimB,188,1
102,G,stimA,stimB,162,1
103,N,stimA,stimC,202,0
104,N,stimD,stimC,172,0
105,N,stimA,stimC,162,0
106,G,stimD,stimB,187,1
107,G,stimA,stimB,178,1
108,G,stimA,stimB,199,1
109,N,stimA,stimC,209,0
110,N,stimA,stimC,167,0
111,N,stimD,stimC,176,0
112,G,stimD,stimB,198,1
113,G,stimD,stimB,159,1
114,N,stimD,stimC,187,0
115,G,stimA,stimB,173,1
116,N,stimD,stimC,176,0
117,N,stimD,stimC,182,0
118,N,stimD,stimC,206,0
119,G,stimD,stimB,164,1
120,G,stimD,stimB,195,1
121,N,stimD,stimC,169,0
122,G,stimA,stimB,181,1
123,G,stimA,stimB,154,1
124,G,stimD,stimB,169,1
125,N,stimD,stimC,201,0
126,G,stimD,stimB,210,1
127,N,stimA,stimC,168,0
128,N,stimA,stimC,197,0
129,N,stimA,stimC,203,0
130,G,stimD,stimB,172,1
131,N,stimA,stimC,196,0
132,N,stimA,stimC,174,0
133,G,stimA,stimB,203,1
134,N,stimA,stimC,206,0
135,G,stimD,stimB,200,1
136,G,stimA,stimB,203,1
137,G,stimA,stimB,194,1
138,G,stimA,stimB,202,1
139,N,stimA,stimC,170,0
140,N,stimA,stimC,199,0
141,N,stimD,stimC,197,0
142,N,stimD,stimC,202,0
143,N,stimA,stimC,182,0
144,G,stimA,stimB,159,1
145,N,stimA,stimC,168,0
146,G,stimA,stimB,180,1
147,N,stimD,stimC,196,0
148,G,stimD,stimB,161,1
149,G,stimD,stimB,173,1
150,G,stimD,stimB,157,1
151,G,stimB,stimA,205,1
152,G,stimB,stimA,150,1
153,N,stimC,stimD,176,0
154,N,stimC,stimA,191,0
155,N,stimC,stimA,174,0
156,N,stimC,stimD,180,0
157,G,stimB,stimD,156,1
158,N,stimC,stimD,163,0
159,G,stimB,stimD,199,1
160,G,stimB,stimA,208,1
161,G,stimB,stimD,160,1
162,N,stimC,stimD,178,0
