trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimC,152,1
2,G,stimA,stimC,182,1
3,N,stimA,stimD,165,0
4,N,stimB,stimD,172,0
5,N,stimA,stimD,210,0
6,G,stimA,stimC,181,1
7,N,stimA,stimD,179,0
8,N,stimB,stimD,176,0
9,G,stimA,stimC,160,1
10,G,stimB,stimC,192,1
11,N,stimB,stimD,153,0
12,G,stimA,stimC,151,1
13,N,stimB,stimD,151,0
14,G,stimA,stimC,194,1
15,N,stimB,stimD,182,0
16,G,stimB,stimC,156,1
17,G,stimA,stimC,169,1
18,N,stimA,stimD,159,0
19,N,stimB,stimD,191,0
20,G,stimA,stimC,154,1
21,G,stimA,stimC,207,1
22,G,stimA,stimC,206,1
23,G,stimB,stimC,160,1
24,N,stimB,stimD,208,0
25,G,stimA,stimC,193,1
26,N,stimA,stimD,168,0
27,N,stimA,stimD,168,0
28,N,stimB,stimD,168,0
29,G,stimA,stimC,184,1
30,N,stimA,stimD,205,0
31,N,stimA,stimD,157,0
32,G,stimA,stimC,153,1
33,N,stimA,stimD,162,0
34,G,stimA,stimC,199,1
35,N,stimB,stimD,159,0
36,G,stimB,stimC,198,1
37,N,stimA,stimD,150,0
38,N,stimA,stimD,163,0
39,G,stimA,stimC,174,1
40,G,stimA,stimC,161,1
41,G,stimB,stimC,190,1
42,G,stimA,stimC,151,1
43,N,stimB,stimD,198,0
44,G,stimB,stimC,191,1
45,G,stimA,stimC,176,1
46,G,stimB,stimC,197,1
47,N,stimA,stimD,169,0
48,N,stimB,stimD,210,0
49,N,stimB,stimD,209,0
50,N,stimA,stimD,177,0
51,G,stimC,stimB,176,1
52,N,stimD,stimB,154,0
53,G,stimC,stimA,186,1
54,G,stimC,stimA,160,1
55,N,stimD,stimB,187,0
56,N,stimD,stimB,159,0
57,N,stimD,stimB,179,0
58,G,stimC,stimA,161,1
59,N,stimD,stimB,198,0
60,G,stimC,stimB,205,1
61,N,stimD,stimA,208,0
62,G,stimC,stimA,177,1
63,G,stimC,stimA,200,1
64,G,stimC,stimA,158,1
65,G,stimC,stimB,162,1
66,N,stimD,stimA,174,0
67,N,stimD,stimA,197,0
68,N,stimD,stimA,192,0
69,N,stimD,stimB,172,0
70,G,stimC,stimA,163,1
71,G,stimC,stimA,169,1
72,N,stimD,stimA,179,0
73,G,stimC,stimA,170,1
74,G,stimC,stimA,186,1
75,G,stimC,stimB,196,1
76,N,stimD,stimB,180,0
77,N,stimD,stimB,183,0
78,G,stimC,stimA,156,1
79,N,stimD,stimA,200,0
80,N,stimD,stimB,193,0
81,N,stimD,stimB,182,0
82,N,stimD,stimA,200,0
83,G,stimC,stimB,203,1
84,G,stimC,stimA,177,1
85,N,stimD,stimB,179,0
86,G,stimC,stimA,157,1
87,G,stimC,stimB,180,1
88,N,stimD,stimB,173,0
89,N,stimD,stimA,150,0
90,G,stimC,stimA,170,1
91,N,stimD,stimA,196,0
92,G,stimC,stimA,199,1
93,N,stimD,stimA,210,0
94,N,stimD,stimB,165,0
95,N,stimD,stimB,201,0
96,G,stimC,stimA,200,1
97,G,stimC,stimB,191,1
98,G,stimC,stimA,198,1
