trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimB,stimD,152,1
2,G,stimC,stimD,182,1
3,N,stimB,stimA,165,0
4,N,stimB,stimA,172,0
5,N,stimB,stimA,210,0
6,G,stimB,stimD,181,1
7,N,stimC,stimA,179,0
8,N,stimB,stimA,176,0
9,G,stimB,stimD,160,1
10,G,stimC,stimD,192,1
11,N,stimC,stimA,153,0
12,G,stimC,stimD,151,1
13,N,stimC,stimA,151,0
14,G,stimC,stimD,194,1
15,N,stimB,stimA,182,0
16,G,stimB,stimD,156,1
17,G,stimC,stimD,169,1
18,N,stimC,stimA,159,0
19,N,stimB,stimA,191,0
20,G,stimB,stimD,154,1
21,G,stimC,stimD,207,1
22,G,stimB,stimD,206,1
23,G,stimC,stimD,160,1
24,N,stimC,stimA,208,0
25,G,stimC,stimD,193,1
26,N,stimC,stimA,168,0
27,N,stimB,stimA,168,0
28,N,stimC,stimA,168,0
29,G,stimB,stimD,184,1
30,N,stimB,stimA,205,0
31,N,stimB,stimA,157,0
32,G,stimB,stimD,153,1
33,N,stimC,stimA,162,0
34,G,stimB,stimD,199,1
35,N,stimB,stimA,159,0
36,G,stimB,stimD,198,1
37,N,stimC,stimA,150,0
38,N,stimC,stimA,163,0
39,G,stimC,stimD,174,1
40,G,stimC,stimD,161,1
41,G,stimC,stimD,190,1
42,G,stimC,stimD,151,1
43,N,stimB,stimA,198,0
44,G,stimC,stimD,191,1
45,G,stimC,stimD,176,1
46,G,stimC,stimD,197,1
47,N,stimC,stimA,169,0
48,N,stimB,stimA,210,0
49,N,stimB,stimA,209,0
50,N,stimB,stimA,177,0
51,G,stimD,stimC,176,1
52,N,stimA,stimB,154,0
53,G,stimD,stimB,186,1
54,G,stimD,stimC,160,1
55,N,stimA,stimB,187,0
56,N,stimA,stimC,159,0
57,N,stimA,stimC,179,0
58,G,stimD,stimC,161,1
59,N,stimA,stimC,198,0
60,G,stimD,stimB,205,1
61,N,stimA,stimC,208,0
62,G,stimD,stimB,177,1
63,G,stimD,stimB,200,1
64,G,stimD,stimB,158,1
65,G,stimD,stimC,162,1
66,N,stimA,stimC,174,0
67,N,stimA,stimC,197,0
68,N,stimA,stimC,192,0
69,N,stimA,stimB,172,0
70,G,stimD,stimB,163,1
71,G,stimD,stimC,169,1
72,N,stimA,stimC,179,0
73,G,stimD,stimB,170,1
74,G,stimD,stimC,186,1
75,G,stimD,stimB,196,1
76,N,stimA,stimC,180,0
77,N,stimA,stimB,183,0
78,G,stimD,stimB,156,1
79,N,stimA,stimC,200,0
80,N,stimA,stimC,193,0
81,N,stimA,stimC,182,0
82,N,stimA,stimC,200,0
83,G,stimD,stimC,203,1
84,G,stimD,stimB,177,1
85,N,stimA,stimB,179,0
86,G,stimD,stimC,157,1
87,G,stimD,stimC,180,1
88,N,stimA,stimB,173,0
89,N,stimA,stimB,150,0
90,G,stimD,stimB,170,1
91,N,stimA,stimC,196,0
92,G,stimD,stimC,199,1
93,N,stimA,stimC,210,0
94,N,stimA,stimC,165,0
95,N,stimA,stimC,201,0
96,G,stimD,stimB,200,1
97,G,stimD,stimB,191,1
98,G,stimD,stimC,198,1
99,G,stimD,stimC,169,1
100,N,stimA,stimC,199,0
101,G,stimB,stimD,188,1
102,G,stimC,stimD,162,1
103,N,stimC,stimA,202,0
104,N,stimB,stimA,172,0
105,N,stimC,stimA,162,0
106,G,stimC,stimD,187,1
107,G,stimB,stimD,178,1
108,G,stimC,stimD,199,1
109,N,stimB,stimA,209,0
110,N,stimC,stimA,167,0
111,N,stimC,stimA,176,0
112,G,stimB,stimD,198,1
113,G,stimC,stimD,159,1
114,N,stimC,stimA,187,0
115,G,stimB,stimD,173,1
116,N,stimC,stimA,176,0
117,N,stimC,stimA,182,0
118,N,stimC,stimA,206,0
119,G,stimC,stimD,164,1
120,G,stimB,stimD,195,1
121,N,stimC,stimA,169,0
122,G,stimC,stimD,181,1
123,G,stimC,stimD,154,1
124,G,stimC,stimD,169,1
125,N,stimB,stimA,201,0
126,G,stimC,stimD,210,1
127,N,stimB,stimA,168,0
128,N,stimC,stimA,197,0
129,N,stimB,stimA,203,0
130,G,stimC,stimD,172,1
131,N,stimC,stimA,196,0
132,N,stimB,stimA,174,0
133,G,stimB,stimD,203,1
134,N,stimC,stimA,206,0
135,G,stimB,stimD,200,1
136,G,stimC,stimD,203,1
137,G,stimB,stimD,194,1
138,G,stimC,stimD,202,1
139,N,stimB,stimA,170,0
140,N,stimC,stimA,199,0
141,N,stimC,stimA,197,0
142,N,stimB,stimA,202,0
143,N,stimB,stimA,182,0
144,G,stimB,stimD,159,1
145,N,stimC,stimA,168,0
146,G,stimB,stimD,180,1
147,N,stimC,stimA,196,0
148,G,stimB,stimD,161,1
149,G,stimC,stimD,173,1
150,G,stimC,stimD,157,1
151,G,stimD,stimB,205,1
152,G,stimD,stimB,150,1
153,N,stimA,stimB,176,0
154,N,stimA,stimC,191,0
155,N,stimA,stimB,174,0
156,N,stimA,stimB,180,0
157,G,stimD,stimC,156,1
158,N,stimA,stimB,163,0
159,G,stimD,stimC,199,1
160,G,stimD,stimB,208,1
161,G,stimD,stimC,160,1
162,N,stimA,stimC,178,0
163,N,stimA,stimB,196,0
164,G,stimD,stimB,201,1
165,N,stimA,stimB,192,0
166,G,stimD,stimC,208,1
167,N,stimA,stimC,187,0
168,N,stimA,stimC,185,0
169,G,stimD,stimB,202,1
170,G,stimD,stimC,159,1
171,G,stimD,stimC,153,1
172,N,stimA,stimB,156,0
173,N,stimA,stimC,160,0
174,G,stimD,stimB,155,1
175,N,stimA,stimC,162,0
176,G,stimD,stimC,195,1
177,G,stimD,stimC,151,1
178,N,stimA,stimB,185,0
179,G,stimD,stimC,171,1
180,N,stimA,stimB,192,0
181,N,stimA,stimB,184,0
182,G,stimD,stimB,154,1
183,N,stimA,stimC,199,0
184,N,stimA,stimC,184,0
185,G,stimD,stimB,174,1
186,G,stimD,stimC,174,1
187,N,stimA,stimC,166,0
188,G,stimD,stimC,152,1
189,N,stimA,stimB,159,0
190,G,stimD,stimC,174,1
191,G,stimD,stimB,150,1
192,G,stimD,stimC,207,1
193,N,stimA,stimC,194,0
194,N,stimA,stimB,196,0
195,N,stimA,stimB,182,0
196,N,stimA,stimC,191,0
197,G,stimD,stimC,210,1
198,N,stimA,stimC,177,0
199,G,stimD,stimC,151,1
200,G,stimD,stimC,179,1
201,N,stimC,stimA,193,0
202,G,stimC,stimD,199,1
203,N,stimC,stimA,186,0
204,N,stimC,stimA,169,0
205,N,stimC,stimA,197,0
206,G,stimC,stimD,151,1
207,G,stimC,stimD,205,1
208,G,stimB,stimD,208,1
209,G,stimB,stimD,163,1
210,N,stimB,stimA,198,0
211,N,stimB,stimA,193,0
212,G,stimB,stimD,174,1
213,N,stimB,stimA,163,0
214,G,stimC,stimD,166,1
215,G,stimB,stimD,185,1
216,N,stimB,stimA,150,0
217,G,stimB,stimD,198,1
218,N,stimB,stimA,171,0
219,G,stimB,stimD,175,1
220,N,stimB,stimA,201,0
221,G,stimB,stimD,210,1
222,N,stimB,stimA,190,0
223,N,stimB,stimA,150,0
224,G,stimB,stimD,156,1
225,G,stimB,stimD,195,1
226,G,stimB,stimD,182,1
227,G,stimC,stimD,169,1
228,N,stimB,stimA,197,0
229,N,stimC,stimA,166,0
230,N,stimC,stimA,161,0
231,G,stimB,stimD,200,1
232,G,stimB,stimD,154,1
233,G,stimC,stimD,168,1
234,N,stimB,stimA,155,0
235,N,stimC,stimA,189,0
236,N,stimB,stimA,174,0
237,N,stimB,stimA,188,0
238,N,stimB,stimA,154,0
239,G,stimC,stimD,156,1
240,G,stimB,stimD,173,1
241,N,stimB,stimA,208,0
242,G,stimC,stimD,202,1
243,G,stimB,stimD,200,1
244,N,stimC,stimA,153,0
245,N,stimC,stimA,207,0
246,G,stimB,stimD,184,1
247,G,stimC,stimD,160,1
248,G,stimB,stimD,166,1
249,N,stimC,stimA,197,0
250,N,stimB,stimA,164,0
251,N,stimA,stimC,210,0
252,N,stimA,stimC,150,0
253,G,stimD,stimC,169,1
254,G,stimD,stimC,206,1
255,N,stimA,stimB,205,0
256,N,stimA,stimC,192,0
257,N,stimA,stimB,162,0
258,G,stimD,stimC,208,1
259,G,stimD,stimC,197,1
260,G,stimD,stimB,190,1
261,N,stimA,stimC,165,0
262,N,stimA,stimC,181,0
263,G,stimD,stimC,185,1
264,G,stimD,stimC,191,1
265,G,stimD,stimB,207,1
266,G,stimD,stimC,157,1
267,G,stimD,stimC,174,1
