trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimA,89,1
2,G,stimA,stimA,86,1
3,G,stimA,stimA,102,1
4,G,stimA,stimA,87,1
5,G,stimA,stimA,86,1
6,G,stimA,stimA,87,1
7,G,stimA,stimA,84,1
8,G,stimA,stimA,102,1
9,G,stimA,stimA,87,1
10,G,stimA,stimA,102,1
11,G,stimA,stimA,89,1
12,G,stimA,stimA,83,1
13,G,stimA,stimA,94,1
14,G,stimA,stimA,84,1
15,G,stimA,stimA,95,1
16,G,stimA,stimA,103,1
17,G,stimA,stimA,86,1
18,G,stimA,stimA,83,1
19,G,stimA,stimA,94,1
20,G,stimA,stimA,105,1
21,G,stimA,stimA,100,1
22,G,stimA,stimA,102,1
23,G,stimA,stimA,89,1
24,G,stimA,stimA,97,1
25,G,stimA,stimA,93,1
26,G,stimA,stimA,80,1
27,G,stimA,stimA,102,1
28,G,stimA,stimA,88,1
29,G,stimA,stimA,95,1
30,G,stimA,stimA,104,1
31,G,stimA,stimA,88,1
32,G,stimA,stimA,84,1
33,G,stimA,stimA,87,1
34,G,stimA,stimA,93,1
35,G,stimA,stimA,100,1
36,G,stimA,stimA,81,1
37,G,stimA,stimA,91,1
38,G,stimA,stimA,110,1
39,G,stimA,stimA,96,1
40,G,stimA,stimA,107,1
41,G,stimA,stimA,89,1
42,G,stimA,stimA,82,1
43,G,stimA,stimA,102,1
44,G,stimA,stimA,97,1
45,G,stimA,stimA,98,1
46,G,stimA,stimA,97,1
47,G,stimA,stimA,91,1
48,G,stimA,stimA,101,1
49,G,stimA,stimA,106,1
50,G,stimA,stimA,93,1
51,G,stimA,stimA,88,1
52,G,stimA,stimA,90,1
53,G,stimA,stimA,89,1
54,G,stimA,stimA,85,1
55,G,stimA,stimA,100,1
56,G,stimA,stimA,108,1
57,G,stimA,stimA,102,1
58,G,stimA,stimA,100,1
59,G,stimA,stimA,104,1
60,G,stimA,stimA,88,1
61,G,stimA,stimA,108,1
62,G,stimA,stimA,105,1
63,G,stimA,stimA,101,1
64,G,stimA,stimA,101,1
65,G,stimA,stimA,104,1
66,G,stimA,stimA,89,1
67,G,stimA,stimA,91,1
68,G,stimA,stimA,102,1
69,G,stimA,stimA,85,1
70,G,stimA,stimA,84,1
71,G,stimA,stimA,93,1
72,G,stimA,stimA,98,1
73,G,stimA,stimA,96,1
74,G,stimA,stimA,109,1
75,G,stimA,stimA,93,1
76,G,stimA,stimA,86,1
77,G,stimA,stimA,107,1
78,G,stimA,stimA,102,1
79,G,stimA,stimA,88,1
80,G,stimA,stimA,105,1
81,G,stimA,stimA,86,1
82,G,stimA,stimA,104,1
83,G,stimA,stimA,89,1
84,G,stimA,stimA,81,1
85,G,stimA,stimA,96,1
86,G,stimA,stimA,96,1
87,G,stimA,stimA,88,1
88,G,stimA,stimA,101,1
89,G,stimA,stimA,92,1
90,G,stimA,stimA,87,1
91,G,stimA,stimA,98,1
92,G,stimA,stimA,88,1
93,G,stimA,stimA,98,1
94,G,stimA,stimA,91,1
95,G,stimA,stimA,85,1
96,G,stimA,stimA,80,1
97,G,stimA,stimA,99,1
98,G,stimA,stimA,96,1
99,G,stimA,stimA,102,1
100,G,stimA,stimA,99,1
101,G,stimA,stimA,94,1
102,G,stimA,stimA,101,1
103,G,stimA,stimA,105,1
104,G,stimA,stimA,101,1
105,G,stimA,stimA,110,1
106,G,stimA,stimA,94,1
107,G,stimA,stimA,107,1
108,G,stimA,stimA,88,1
109,G,stimA,stimA,93,1
110,G,stimA,stimA,103,1
111,G,stimA,stimA,95,1
112,G,stimA,stimA,108,1
113,G,stimA,stimA,85,1
114,G,stimA,stimA,106,1
115,G,stimA,stimA,91,1
116,G,stimA,stimA,83,1
117,G,stimA,stimA,82,1
118,G,stimA,stimA,83,1
119,G,stimA,stimA,102,1
120,G,stimA,stimA,103,1
121,G,stimA,stimA,85,1
122,G,stimA,stimA,93,1
123,G,stimA,stimA,106,1
124,G,stimA,stimA,91,1
125,G,stimA,stimA,110,1
126,G,stimA,stimA,110,1
127,G,stimA,stimA,82,1
128,G,stimA,stimA,96,1
129,G,stimA,stimA,105,1
130,G,stimA,stimA,108,1
131,G,stimA,stimA,87,1
132,G,stimA,stimA,92,1
133,G,stimA,stimA,93,1
134,G,stimA,stimA,102,1
135,G,stimA,stimA,87,1
136,G,stimA,stimA,104,1
