trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimC,stimC,89,1
2,G,stimC,stimC,86,1
3,G,stimC,stimC,102,1
4,G,stimC,stimC,87,1
5,G,stimC,stimC,86,1
6,G,stimC,stimC,87,1
7,G,stimC,stimC,84,1
8,G,stimC,stimC,102,1
9,G,stimC,stimC,87,1
10,G,stimC,stimC,102,1
11,G,stimC,stimC,89,1
12,G,stimC,stimC,83,1
13,G,stimC,stimC,94,1
14,G,stimC,stimC,84,1
15,G,stimC,stimC,95,1
16,G,stimC,stimC,103,1
17,G,stimC,stimC,86,1
18,G,stimC,stimC,83,1
19,G,stimC,stimC,94,1
20,G,stimC,stimC,105,1
21,G,stimC,stimC,100,1
22,G,stimC,stimC,102,1
23,G,stimC,stimC,89,1
24,G,stimC,stimC,97,1
25,G,stimC,stimC,93,1
26,G,stimC,stimC,80,1
27,G,stimC,stimC,102,1
28,G,stimC,stimC,88,1
29,G,stimC,stimC,95,1
30,G,stimC,stimC,104,1
31,G,stimC,stimC,88,1
32,G,stimC,stimC,84,1
33,G,stimC,stimC,87,1
34,G,stimC,stimC,93,1
35,G,stimC,stimC,100,1
36,G,stimC,stimC,81,1
37,G,stimC,stimC,91,1
38,G,stimC,stimC,110,1
39,G,stimC,stimC,96,1
40,G,stimC,stimC,107,1
41,G,stimC,stimC,89,1
42,G,stimC,stimC,82,1
43,G,stimC,stimC,102,1
44,G,stimC,stimC,97,1
45,G,stimC,stimC,98,1
46,G,stimC,stimC,97,1
47,G,stimC,stimC,91,1
48,G,stimC,stimC,101,1
49,G,stimC,stimC,106,1
50,G,stimC,stimC,93,1
51,G,stimC,stimC,88,1
52,G,stimC,stimC,90,1
53,G,stimC,stimC,89,1
54,G,stimC,stimC,85,1
55,G,stimC,stimC,100,1
56,G,stimC,stimC,108,1
57,G,stimC,stimC,102,1
58,G,stimC,stimC,100,1
59,G,stimC,stimC,104,1
60,G,stimC,stimC,88,1
61,G,stimC,stimC,108,1
62,G,stimC,stimC,105,1
63,G,stimC,stimC,101,1
64,G,stimC,stimC,101,1
65,G,stimC,stimC,104,1
66,G,stimC,stimC,89,1
67,G,stimC,stimC,91,1
68,G,stimC,stimC,102,1
69,G,stimC,stimC,85,1
70,G,stimC,stimC,84,1
71,G,stimC,stimC,93,1
72,G,stimC,stimC,98,1
73,G,stimC,stimC,96,1
74,G,stimC,stimC,109,1
75,G,stimC,stimC,93,1
76,G,stimC,stimC,86,1
77,G,stimC,stimC,107,1
78,G,stimC,stimC,102,1
79,G,stimC,stimC,88,1
80,G,stimC,stimC,105,1
81,G,stimC,stimC,86,1
82,G,stimC,stimC,104,1
83,G,stimC,stimC,89,1
84,G,stimC,stimC,81,1
85,G,stimC,stimC,96,1
86,G,stimC,stimC,96,1
87,G,stimC,stimC,88,1
88,G,stimC,stimC,101,1
89,G,stimC,stimC,92,1
90,G,stimC,stimC,87,1
91,G,stimC,stimC,98,1
92,G,stimC,stimC,88,1
93,G,stimC,stimC,98,1
94,G,stimC,stimC,91,1
95,G,stimC,stimC,85,1
96,G,stimC,stimC,80,1
97,G,stimC,stimC,99,1
98,G,stimC,stimC,96,1
99,G,stimC,stimC,102,1
100,G,stimC,stimC,99,1
101,G,stimC,stimC,94,1
102,G,stimC,stimC,101,1
103,G,stimC,stimC,105,1
104,G,stimC,stimC,101,1
105,G,stimC,stimC,110,1
106,G,stimC,stimC,94,1
107,G,stimC,stimC,107,1
108,G,stimC,stimC,88,1
109,G,stimC,stimC,93,1
110,G,stimC,stimC,103,1
111,G,stimC,stimC,95,1
112,G,stimC,stimC,108,1
113,G,stimC,stimC,85,1
114,G,stimC,stimC,106,1
115,G,stimC,stimC,91,1
116,G,stimC,stimC,83,1
117,G,stimC,stimC,82,1
118,G,stimC,stimC,83,1
119,G,stimC,stimC,102,1
120,G,stimC,stimC,103,1
121,G,stimC,stimC,85,1
122,G,stimC,stimC,93,1
123,G,stimC,stimC,106,1
124,G,stimC,stimC,91,1
125,G,stimC,stimC,110,1
126,G,stimC,stimC,110,1
127,G,stimC,stimC,82,1
128,G,stimC,stimC,96,1
129,G,stimC,stimC,105,1
130,G,stimC,stimC,108,1
131,G,stimC,stimC,87,1
132,G,stimC,stimC,92,1
133,G,stimC,stimC,93,1
134,G,stimC,stimC,102,1
135,G,stimC,stimC,87,1
136,G,stimC,stimC,104,1
137,G,stimC,stimC,101,1
138,G,stimC,stimC,104,1
139,G,stimC,stimC,99,1
140,G,stimC,stimC,85,1
141,G,stimC,stimC,98,1
142,G,stimC,stimC,81,1
143,G,stimC,stimC,90,1
144,G,stimC,stimC,110,1
145,G,stimC,stimC,104,1
146,G,stimC,stimC,89,1
147,G,stimC,stimC,103,1
148,G,stimC,stimC,105,1
149,G,stimC,stimC,81,1
150,G,stimC,stimC,100,1
151,G,stimC,stimC,82,1
152,G,stimC,stimC,87,1
153,G,stimC,stimC,105,1
154,G,stimC,stimC,92,1
155,G,stimC,stimC,103,1
156,G,stimC,stimC,106,1
157,G,stimC,stimC,81,1
158,G,stimC,stimC,110,1
159,G,stimC,stimC,103,1
160,G,stimC,stimC,95,1
161,G,stimC,stimC,86,1
162,G,stimC,stimC,83,1
163,G,stimC,stimC,104,1
164,G,stimC,stimC,102,1
165,G,stimC,stimC,98,1
166,G,stimC,stimC,96,1
167,G,stimC,stimC,102,1
168,G,stimC,stimC,91,1
169,G,stimC,stimC,108,1
170,G,stimC,stimC,89,1
171,G,stimC,stimC,98,1
172,G,stimC,stimC,98,1
173,G,stimC,stimC,92,1
174,G,stimC,stimC,92,1
175,G,stimC,stimC,91,1
176,G,stimC,stimC,102,1
177,G,stimC,stimC,107,1
178,G,stimC,stimC,80,1
179,G,stimC,stimC,89,1
180,G,stimC,stimC,82,1
181,G,stimC,stimC,83,1
182,G,stimC,stimC,103,1
183,G,stimC,stimC,94,1
184,G,stimC,stimC,109,1
185,G,stimC,stimC,81,1
186,G,stimC,stimC,99,1
187,G,stimC,stimC,106,1
188,G,stimC,stimC,108,1
189,G,stimC,stimC,103,1
190,G,stimC,stimC,86,1
191,G,stimC,stimC,81,1
192,G,stimC,stimC,81,1
193,G,stimC,stimC,80,1
194,G,stimC,stimC,83,1
195,G,stimC,stimC,86,1
196,G,stimC,stimC,106,1
197,G,stimC,stimC,108,1
198,G,stimC,stimC,100,1
199,G,stimC,stimC,94,1
200,G,stimC,stimC,96,1
201,G,stimC,stimC,85,1
202,G,stimC,stimC,105,1
203,G,stimC,stimC,97,1
204,G,stimC,stimC,103,1
205,G,stimC,stimC,105,1
206,G,stimC,stimC,98,1
207,G,stimC,stimC,85,1
208,G,stimC,stimC,83,1
209,G,stimC,stimC,91,1
210,G,stimC,stimC,86,1
211,G,stimC,stimC,94,1
212,G,stimC,stimC,103,1
213,G,stimC,stimC,82,1
214,G,stimC,stimC,99,1
215,G,stimC,stimC,87,1
216,G,stimC,stimC,108,1
217,G,stimC,stimC,83,1
218,G,stimC,stimC,107,1
219,G,stimC,stimC,97,1
220,G,stimC,stimC,101,1
221,G,stimC,stimC,104,1
222,G,stimC,stimC,103,1
223,G,stimC,stimC,108,1
224,G,stimC,stimC,85,1
225,G,stimC,stimC,88,1
226,G,stimC,stimC,86,1
227,G,stimC,stimC,87,1
228,G,stimC,stimC,84,1
229,G,stimC,stimC,98,1
230,G,stimC,stimC,89,1
231,G,stimC,stimC,94,1
232,G,stimC,stimC,103,1
233,G,stimC,stimC,90,1
234,G,stimC,stimC,99,1
235,G,stimC,stimC,82,1
236,G,stimC,stimC,91,1
237,G,stimC,stimC,92,1
238,G,stimC,stimC,85,1
239,G,stimC,stimC,84,1
240,G,stimC,stimC,109,1
241,G,stimC,stimC,108,1
242,G,stimC,stimC,92,1
243,G,stimC,stimC,95,1
244,G,stimC,stimC,110,1
245,G,stimC,stimC,104,1
246,G,stimC,stimC,94,1
247,G,stimC,stimC,87,1
248,G,stimC,stimC,81,1
249,G,stimC,stimC,95,1
250,G,stimC,stimC,104,1
251,G,stimC,stimC,84,1
252,G,stimC,stimC,99,1
253,G,stimC,stimC,84,1
254,G,stimC,stimC,81,1
255,G,stimC,stimC,80,1
256,G,stimC,stimC,108,1
257,G,stimC,stimC,107,1
258,G,stimC,stimC,100,1
259,G,stimC,stimC,87,1
260,G,stimC,stimC,102,1
261,G,stimC,stimC,89,1
262,G,stimC,stimC,87,1
263,G,stimC,stimC,88,1
264,G,stimC,stimC,107,1
265,G,stimC,stimC,95,1
266,G,stimC,stimC,100,1
267,G,stimC,stimC,105,1
268,G,stimC,stimC,86,1
269,G,stimC,stimC,88,1
270,G,stimC,stimC,91,1
271,G,stimC,stimC,109,1
272,G,stimC,stimC,108,1
273,G,stimC,stimC,106,1
274,G,stimC,stimC,80,1
275,G,stimC,stimC,81,1
276,G,stimC,stimC,104,1
277,G,stimC,stimC,82,1
278,G,stimC,stimC,105,1
279,G,stimC,stimC,87,1
280,G,stimC,stimC,83,1
281,G,stimC,stimC,103,1
282,G,stimC,stimC,102,1
283,G,stimC,stimC,89,1
284,G,stimC,stimC,102,1
285,G,stimC,stimC,83,1
286,G,stimC,stimC,101,1
287,G,stimC,stimC,90,1
288,G,stimC,stimC,107,1
289,G,stimC,stimC,84,1
290,G,stimC,stimC,110,1
291,G,stimC,stimC,97,1
292,G,stimC,stimC,80,1
293,G,stimC,stimC,85,1
294,G,stimC,stimC,100,1
295,G,stimC,stimC,88,1
296,G,stimC,stimC,100,1
297,G,stimC,stimC,88,1
298,G,stimC,stimC,102,1
299,G,stimC,stimC,103,1
300,G,stimC,stimC,87,1
301,G,stimC,stimC,104,1
302,G,stimC,stimC,101,1
303,G,stimC,stimC,94,1
304,G,stimC,stimC,82,1
305,G,stimC,stimC,98,1
306,G,stimC,stimC,95,1
307,G,stimC,stimC,99,1
308,G,stimC,stimC,93,1
309,G,stimC,stimC,80,1
310,G,stimC,stimC,88,1
311,G,stimC,stimC,101,1
312,G,stimC,stimC,98,1
