trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimA,109,1
2,G,stimA,stimA,99,1
3,G,stimA,stimA,87,1
4,G,stimA,stimA,87,1
5,G,stimA,stimA,100,1
6,G,stimA,stimA,107,1
7,G,stimA,stimA,107,1
8,G,stimA,stimA,83,1
9,G,stimA,stimA,88,1
10,G,stimA,stimA,99,1
11,G,stimA,stimA,83,1
12,G,stimA,stimA,110,1
13,G,stimA,stimA,81,1
14,G,stimA,stimA,92,1
15,G,stimA,stimA,98,1
16,G,stimA,stimA,96,1
17,G,stimA,stimA,86,1
18,G,stimA,stimA,98,1
19,G,stimA,stimA,102,1
20,G,stimA,stimA,109,1
21,G,stimA,stimA,108,1
22,G,stimA,stimA,89,1
23,G,stimA,stimA,107,1
24,G,stimA,stimA,88,1
25,G,stimA,stimA,96,1
26,G,stimA,stimA,110,1
27,G,stimA,stimA,89,1
28,G,stimA,stimA,82,1
29,G,stimA,stimA,101,1
30,G,stimA,stimA,88,1
31,G,stimA,stimA,89,1
32,G,stimA,stimA,98,1
33,G,stimA,stimA,80,1
34,G,stimA,stimA,83,1
35,G,stimA,stimA,104,1
36,G,stimA,stimA,106,1
37,G,stimA,stimA,107,1
38,G,stimA,stimA,110,1
39,G,stimA,stimA,108,1
40,G,stimA,stimA,81,1
41,G,stimA,stimA,95,1
42,G,stimA,stimA,89,1
43,G,stimA,stimA,93,1
44,G,stimA,stimA,94,1
45,G,stimA,stimA,109,1
46,G,stimA,stimA,86,1
47,G,stimA,stimA,91,1
48,G,stimA,stimA,107,1
49,G,stimA,stimA,101,1
50,G,stimA,stimA,90,1
51,G,stimA,stimA,92,1
52,G,stimA,stimA,102,1
53,G,stimA,stimA,97,1
54,G,stimA,stimA,93,1
55,G,stimA,stimA,93,1
56,G,stimA,stimA,97,1
57,G,stimA,stimA,83,1
58,G,stimA,stimA,102,1
59,G,stimA,stimA,110,1
60,G,stimA,stimA,107,1
61,G,stimA,stimA,91,1
62,G,stimA,stimA,97,1
63,G,stimA,stimA,85,1
64,G,stimA,stimA,90,1
65,G,stimA,stimA,91,1
66,G,stimA,stimA,103,1
67,G,stimA,stimA,102,1
68,G,stimA,stimA,99,1
69,G,stimA,stimA,109,1
70,G,stimA,stimA,82,1
71,G,stimA,stimA,91,1
72,G,stimA,stimA,80,1
73,G,stimA,stimA,95,1
74,G,stimA,stimA,98,1
75,G,stimA,stimA,107,1
76,G,stimA,stimA,96,1
77,G,stimA,stimA,84,1
78,G,stimA,stimA,97,1
79,G,stimA,stimA,80,1
80,G,stimA,stimA,91,1
81,G,stimA,stimA,91,1
82,G,stimA,stimA,103,1
83,G,stimA,stimA,84,1
84,G,stimA,stimA,105,1
85,G,stimA,stimA,93,1
86,G,stimA,stimA,81,1
87,G,stimA,stimA,110,1
88,G,stimA,stimA,81,1
89,G,stimA,stimA,96,1
90,G,stimA,stimA,109,1
91,G,stimA,stimA,96,1
92,G,stimA,stimA,102,1
93,G,stimA,stimA,81,1
94,G,stimA,stimA,82,1
95,G,stimA,stimA,88,1
96,G,stimA,stimA,95,1
97,G,stimA,stimA,91,1
98,G,stimA,stimA,84,1
99,G,stimA,stimA,106,1
100,G,stimA,stimA,103,1
101,G,stimA,stimA,99,1
102,G,stimA,stimA,88,1
103,G,stimA,stimA,105,1
104,G,stimA,stimA,97,1
105,G,stimA,stimA,110,1
106,G,stimA,stimA,106,1
107,G,stimA,stimA,104,1
108,G,stimA,stimA,88,1
109,G,stimA,stimA,109,1
110,G,stimA,stimA,84,1
111,G,stimA,stimA,103,1
112,G,stimA,stimA,82,1
113,G,stimA,stimA,88,1
114,G,stimA,stimA,101,1
115,G,stimA,stimA,81,1
116,G,stimA,stimA,101,1
117,G,stimA,stimA,101,1
118,G,stimA,stimA,110,1
119,G,stimA,stimA,99,1
120,G,stimA,stimA,85,1
121,G,stimA,stimA,81,1
122,G,stimA,stimA,80,1
123,G,stimA,stimA,85,1
124,G,stimA,stimA,109,1
125,G,stimA,stimA,91,1
126,G,stimA,stimA,84,1
127,G,stimA,stimA,86,1
128,G,stimA,stimA,88,1
129,G,stimA,stimA,109,1
130,G,stimA,stimA,107,1
131,G,stimA,stimA,91,1
132,G,stimA,stimA,93,1
133,G,stimA,stimA,108,1
134,G,stimA,stimA,106,1
135,G,stimA,stimA,90,1
136,G,stimA,stimA,81,1
137,G,stimA,stimA,105,1
138,G,stimA,stimA,94,1
139,G,stimA,stimA,107,1
140,G,stimA,stimA,109,1
141,G,stimA,stimA,94,1
142,G,stimA,stimA,88,1
143,G,stimA,stimA,94,1
144,G,stimA,stimA,104,1
145,G,stimA,stimA,106,1
146,G,stimA,stimA,99,1
147,G,stimA,stimA,108,1
148,G,stimA,stimA,94,1
149,G,stimA,stimA,110,1
150,G,stimA,stimA,97,1
151,G,stimA,stimA,100,1
152,G,stimA,stimA,85,1
153,G,stimA,stimA,83,1
154,G,stimA,stimA,104,1
155,G,stimA,stimA,100,1
156,G,stimA,stimA,82,1
157,G,stimA,stimA,99,1
158,G,stimA,stimA,86,1
159,G,stimA,stimA,102,1
160,G,stimA,stimA,110,1
161,G,stimA,stimA,95,1
162,G,stimA,stimA,93,1
163,G,stimA,stimA,109,1
164,G,stimA,stimA,99,1
165,G,stimA,stimA,95,1
166,G,stimA,stimA,100,1
167,G,stimA,stimA,99,1
168,G,stimA,stimA,103,1
169,G,stimA,stimA,84,1
170,G,stimA,stimA,90,1
171,G,stimA,stimA,86,1
172,G,stimA,stimA,97,1
173,G,stimA,stimA,107,1
174,G,stimA,stimA,83,1
175,G,stimA,stimA,88,1
176,G,stimA,stimA,103,1
177,G,stimA,stimA,96,1
178,G,stimA,stimA,86,1
179,G,stimA,stimA,87,1
180,G,stimA,stimA,94,1
181,G,stimA,stimA,85,1
182,G,stimA,stimA,93,1
183,G,stimA,stimA,97,1
184,G,stimA,stimA,83,1
185,G,stimA,stimA,87,1
186,G,stimA,stimA,91,1
187,G,stimA,stimA,108,1
188,G,stimA,stimA,96,1
189,G,stimA,stimA,110,1
190,G,stimA,stimA,88,1
191,G,stimA,stimA,97,1
192,G,stimA,stimA,90,1
193,G,stimA,stimA,103,1
194,G,stimA,stimA,99,1
195,G,stimA,stimA,87,1
196,G,stimA,stimA,92,1
197,G,stimA,stimA,103,1
198,G,stimA,stimA,96,1
199,G,stimA,stimA,109,1
200,G,stimA,stimA,98,1
201,G,stimA,stimA,100,1
