trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimB,stimB,109,1
2,G,stimB,stimB,99,1
3,G,stimB,stimB,87,1
4,G,stimB,stimB,87,1
5,G,stimB,stimB,100,1
6,G,stimB,stimB,107,1
7,G,stimB,stimB,107,1
8,G,stimB,stimB,83,1
9,G,stimB,stimB,88,1
10,G,stimB,stimB,99,1
11,G,stimB,stimB,83,1
12,G,stimB,stimB,110,1
13,G,stimB,stimB,81,1
14,G,stimB,stimB,92,1
15,G,stimB,stimB,98,1
16,G,stimB,stimB,96,1
17,G,stimB,stimB,86,1
18,G,stimB,stimB,98,1
19,G,stimB,stimB,102,1
20,G,stimB,stimB,109,1
21,G,stimB,stimB,108,1
22,G,stimB,stimB,89,1
23,G,stimB,stimB,107,1
24,G,stimB,stimB,88,1
25,G,stimB,stimB,96,1
26,G,stimB,stimB,110,1
27,G,stimB,stimB,89,1
28,G,stimB,stimB,82,1
29,G,stimB,stimB,101,1
30,G,stimB,stimB,88,1
31,G,stimB,stimB,89,1
32,G,stimB,stimB,98,1
33,G,stimB,stimB,80,1
34,G,stimB,stimB,83,1
35,G,stimB,stimB,104,1
36,G,stimB,stimB,106,1
37,G,stimB,stimB,107,1
38,G,stimB,stimB,110,1
39,G,stimB,stimB,108,1
40,G,stimB,stimB,81,1
41,G,stimB,stimB,95,1
42,G,stimB,stimB,89,1
43,G,stimB,stimB,93,1
44,G,stimB,stimB,94,1
45,G,stimB,stimB,109,1
46,G,stimB,stimB,86,1
47,G,stimB,stimB,91,1
48,G,stimB,stimB,107,1
49,G,stimB,stimB,101,1
50,G,stimB,stimB,90,1
51,G,stimB,stimB,92,1
52,G,stimB,stimB,102,1
53,G,stimB,stimB,97,1
54,G,stimB,stimB,93,1
55,G,stimB,stimB,93,1
56,G,stimB,stimB,97,1
57,G,stimB,stimB,83,1
58,G,stimB,stimB,102,1
59,G,stimB,stimB,110,1
60,G,stimB,stimB,107,1
61,G,stimB,stimB,91,1
62,G,stimB,stimB,97,1
63,G,stimB,stimB,85,1
64,G,stimB,stimB,90,1
65,G,stimB,stimB,91,1
66,G,stimB,stimB,103,1
67,G,stimB,stimB,102,1
68,G,stimB,stimB,99,1
69,G,stimB,stimB,109,1
70,G,stimB,stimB,82,1
71,G,stimB,stimB,91,1
72,G,stimB,stimB,80,1
73,G,stimB,stimB,95,1
74,G,stimB,stimB,98,1
75,G,stimB,stimB,107,1
76,G,stimB,stimB,96,1
77,G,stimB,stimB,84,1
78,G,stimB,stimB,97,1
79,G,stimB,stimB,80,1
80,G,stimB,stimB,91,1
81,G,stimB,stimB,91,1
82,G,stimB,stimB,103,1
83,G,stimB,stimB,84,1
84,G,stimB,stimB,105,1
85,G,stimB,stimB,93,1
86,G,stimB,stimB,81,1
87,G,stimB,stimB,110,1
88,G,stimB,stimB,81,1
89,G,stimB,stimB,96,1
90,G,stimB,stimB,109,1
91,G,stimB,stimB,96,1
92,G,stimB,stimB,102,1
93,G,stimB,stimB,81,1
94,G,stimB,stimB,82,1
95,G,stimB,stimB,88,1
96,G,stimB,stimB,95,1
97,G,stimB,stimB,91,1
98,G,stimB,stimB,84,1
99,G,stimB,stimB,106,1
100,G,stimB,stimB,103,1
101,G,stimB,stimB,99,1
102,G,stimB,stimB,88,1
103,G,stimB,stimB,105,1
104,G,stimB,stimB,97,1
105,G,stimB,stimB,110,1
106,G,stimB,stimB,106,1
107,G,stimB,stimB,104,1
108,G,stimB,stimB,88,1
109,G,stimB,stimB,109,1
110,G,stimB,stimB,84,1
111,G,stimB,stimB,103,1
112,G,stimB,stimB,82,1
113,G,stimB,stimB,88,1
114,G,stimB,stimB,101,1
115,G,stimB,stimB,81,1
116,G,stimB,stimB,101,1
117,G,stimB,stimB,101,1
118,G,stimB,stimB,110,1
119,G,stimB,stimB,99,1
120,G,stimB,stimB,85,1
121,G,stimB,stimB,81,1
122,G,stimB,stimB,80,1
123,G,stimB,stimB,85,1
124,G,stimB,stimB,109,1
125,G,stimB,stimB,91,1
126,G,stimB,stimB,84,1
127,G,stimB,stimB,86,1
128,G,stimB,stimB,88,1
129,G,stimB,stimB,109,1
130,G,stimB,stimB,107,1
131,G,stimB,stimB,91,1
132,G,stimB,stimB,93,1
133,G,stimB,stimB,108,1
134,G,stimB,stimB,106,1
135,G,stimB,stimB,90,1
136,G,stimB,stimB,81,1
137,G,stimB,stimB,105,1
138,G,stimB,stimB,94,1
139,G,stimB,stimB,107,1
140,G,stimB,stimB,109,1
141,G,stimB,stimB,94,1
142,G,stimB,stimB,88,1
143,G,stimB,stimB,94,1
144,G,stimB,stimB,104,1
145,G,stimB,stimB,106,1
146,G,stimB,stimB,99,1
147,G,stimB,stimB,108,1
148,G,stimB,stimB,94,1
149,G,stimB,stimB,110,1
150,G,stimB,stimB,97,1
151,G,stimB,stimB,100,1
152,G,stimB,stimB,85,1
153,G,stimB,stimB,83,1
154,G,stimB,stimB,104,1
155,G,stimB,stimB,100,1
156,G,stimB,stimB,82,1
157,G,stimB,stimB,99,1
158,G,stimB,stimB,86,1
159,G,stimB,stimB,102,1
160,G,stimB,stimB,110,1
161,G,stimB,stimB,95,1
162,G,stimB,stimB,93,1
163,G,stimB,stimB,109,1
164,G,stimB,stimB,99,1
165,G,stimB,stimB,95,1
166,G,stimB,stimB,100,1
167,G,stimB,stimB,99,1
168,G,stimB,stimB,103,1
169,G,stimB,stimB,84,1
170,G,stimB,stimB,90,1
171,G,stimB,stimB,86,1
172,G,stimB,stimB,97,1
173,G,stimB,stimB,107,1
174,G,stimB,stimB,83,1
175,G,stimB,stimB,88,1
176,G,stimB,stimB,103,1
177,G,stimB,stimB,96,1
178,G,stimB,stimB,86,1
179,G,stimB,stimB,87,1
180,G,stimB,stimB,94,1
181,G,stimB,stimB,85,1
182,G,stimB,stimB,93,1
183,G,stimB,stimB,97,1
184,G,stimB,stimB,83,1
185,G,stimB,stimB,87,1
186,G,stimB,stimB,91,1
187,G,stimB,stimB,108,1
188,G,stimB,stimB,96,1
189,G,stimB,stimB,110,1
190,G,stimB,stimB,88,1
191,G,stimB,stimB,97,1
192,G,stimB,stimB,90,1
193,G,stimB,stimB,103,1
194,G,stimB,stimB,99,1
195,G,stimB,stimB,87,1
196,G,stimB,stimB,92,1
197,G,stimB,stimB,103,1
198,G,stimB,stimB,96,1
199,G,stimB,stimB,109,1
200,G,stimB,stimB,98,1
201,G,stimB,stimB,100,1
202,G,stimB,stimB,97,1
203,G,stimB,stimB,110,1
204,G,stimB,stimB,101,1
205,G,stimB,stimB,97,1
206,G,stimB,stimB,102,1
207,G,stimB,stimB,89,1
208,G,stimB,stimB,87,1
209,G,stimB,stimB,98,1
210,G,stimB,stimB,87,1
211,G,stimB,stimB,97,1
212,G,stimB,stimB,96,1
213,G,stimB,stimB,105,1
214,G,stimB,stimB,92,1
215,G,stimB,stimB,106,1
216,G,stimB,stimB,92,1
217,G,stimB,stimB,107,1
218,G,stimB,stimB,95,1
219,G,stimB,stimB,91,1
220,G,stimB,stimB,93,1
221,G,stimB,stimB,106,1
222,G,stimB,stimB,83,1
223,G,stimB,stimB,81,1
224,G,stimB,stimB,80,1
225,G,stimB,stimB,102,1
226,G,stimB,stimB,96,1
227,G,stimB,stimB,106,1
228,G,stimB,stimB,94,1
229,G,stimB,stimB,84,1
230,G,stimB,stimB,81,1
231,G,stimB,stimB,106,1
232,G,stimB,stimB,80,1
233,G,stimB,stimB,100,1
