trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimC,stimC,109,1
2,G,stimC,stimC,99,1
3,G,stimC,stimC,87,1
4,G,stimC,stimC,87,1
5,G,stimC,stimC,100,1
6,G,stimC,stimC,107,1
7,G,stimC,stimC,107,1
8,G,stimC,stimC,83,1
9,G,stimC,stimC,88,1
10,G,stimC,stimC,99,1
11,G,stimC,stimC,83,1
12,G,stimC,stimC,110,1
13,G,stimC,stimC,81,1
14,G,stimC,stimC,92,1
15,G,stimC,stimC,98,1
16,G,stimC,stimC,96,1
17,G,stimC,stimC,86,1
18,G,stimC,stimC,98,1
19,G,stimC,stimC,102,1
20,G,stimC,stimC,109,1
21,G,stimC,stimC,108,1
22,G,stimC,stimC,89,1
23,G,stimC,stimC,107,1
24,G,stimC,stimC,88,1
25,G,stimC,stimC,96,1
26,G,stimC,stimC,110,1
27,G,stimC,stimC,89,1
28,G,stimC,stimC,82,1
29,G,stimC,stimC,101,1
30,G,stimC,stimC,88,1
31,G,stimC,stimC,89,1
32,G,stimC,stimC,98,1
33,G,stimC,stimC,80,1
34,G,stimC,stimC,83,1
35,G,stimC,stimC,104,1
36,G,stimC,stimC,106,1
37,G,stimC,stimC,107,1
38,G,stimC,stimC,110,1
39,G,stimC,stimC,108,1
40,G,stimC,stimC,81,1
41,G,stimC,stimC,95,1
42,G,stimC,stimC,89,1
43,G,stimC,stimC,93,1
44,G,stimC,stimC,94,1
45,G,stimC,stimC,109,1
46,G,stimC,stimC,86,1
47,G,stimC,stimC,91,1
48,G,stimC,stimC,107,1
49,G,stimC,stimC,101,1
50,G,stimC,stimC,90,1
51,G,stimC,stimC,92,1
52,G,stimC,stimC,102,1
53,G,stimC,stimC,97,1
54,G,stimC,stimC,93,1
55,G,stimC,stimC,93,1
56,G,stimC,stimC,97,1
57,G,stimC,stimC,83,1
58,G,stimC,stimC,102,1
59,G,stimC,stimC,110,1
60,G,stimC,stimC,107,1
61,G,stimC,stimC,91,1
62,G,stimC,stimC,97,1
63,G,stimC,stimC,85,1
64,G,stimC,stimC,90,1
65,G,stimC,stimC,91,1
66,G,stimC,stimC,103,1
67,G,stimC,stimC,102,1
68,G,stimC,stimC,99,1
69,G,stimC,stimC,109,1
70,G,stimC,stimC,82,1
71,G,stimC,stimC,91,1
72,G,stimC,stimC,80,1
73,G,stimC,stimC,95,1
74,G,stimC,stimC,98,1
75,G,stimC,stimC,107,1
76,G,stimC,stimC,96,1
77,G,stimC,stimC,84,1
78,G,stimC,stimC,97,1
79,G,stimC,stimC,80,1
80,G,stimC,stimC,91,1
81,G,stimC,stimC,91,1
82,G,stimC,stimC,103,1
83,G,stimC,stimC,84,1
84,G,stimC,stimC,105,1
85,G,stimC,stimC,93,1
86,G,stimC,stimC,81,1
87,G,stimC,stimC,110,1
88,G,stimC,stimC,81,1
89,G,stimC,stimC,96,1
90,G,stimC,stimC,109,1
