trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimD,stimD,109,1
2,G,stimD,stimD,99,1
3,G,stimD,stimD,87,1
4,G,stimD,stimD,87,1
5,G,stimD,stimD,100,1
6,G,stimD,stimD,107,1
7,G,stimD,stimD,107,1
8,G,stimD,stimD,83,1
9,G,stimD,stimD,88,1
10,G,stimD,stimD,99,1
11,G,stimD,stimD,83,1
12,G,stimD,stimD,110,1
13,G,stimD,stimD,81,1
14,G,stimD,stimD,92,1
15,G,stimD,stimD,98,1
16,G,stimD,stimD,96,1
17,G,stimD,stimD,86,1
18,G,stimD,stimD,98,1
19,G,stimD,stimD,102,1
20,G,stimD,stimD,109,1
21,G,stimD,stimD,108,1
22,G,stimD,stimD,89,1
23,G,stimD,stimD,107,1
24,G,stimD,stimD,88,1
25,G,stimD,stimD,96,1
26,G,stimD,stimD,110,1
27,G,stimD,stimD,89,1
28,G,stimD,stimD,82,1
29,G,stimD,stimD,101,1
30,G,stimD,stimD,88,1
31,G,stimD,stimD,89,1
32,G,stimD,stimD,98,1
33,G,stimD,stimD,80,1
34,G,stimD,stimD,83,1
35,G,stimD,stimD,104,1
36,G,stimD,stimD,106,1
37,G,stimD,stimD,107,1
38,G,stimD,stimD,110,1
39,G,stimD,stimD,108,1
40,G,stimD,stimD,81,1
41,G,stimD,stimD,95,1
42,G,stimD,stimD,89,1
43,G,stimD,stimD,93,1
44,G,stimD,stimD,94,1
45,G,stimD,stimD,109,1
46,G,stimD,stimD,86,1
47,G,stimD,stimD,91,1
48,G,stimD,stimD,107,1
49,G,stimD,stimD,101,1
50,G,stimD,stimD,90,1
51,G,stimD,stimD,92,1
52,G,stimD,stimD,102,1
53,G,stimD,stimD,97,1
54,G,stimD,stimD,93,1
55,G,stimD,stimD,93,1
56,G,stimD,stimD,97,1
57,G,stimD,stimD,83,1
58,G,stimD,stimD,102,1
59,G,stimD,stimD,110,1
60,G,stimD,stimD,107,1
61,G,stimD,stimD,91,1
62,G,stimD,stimD,97,1
63,G,stimD,stimD,85,1
64,G,stimD,stimD,90,1
65,G,stimD,stimD,91,1
66,G,stimD,stimD,103,1
67,G,stimD,stimD,102,1
68,G,stimD,stimD,99,1
69,G,stimD,stimD,109,1
70,G,stimD,stimD,82,1
71,G,stimD,stimD,91,1
72,G,stimD,stimD,80,1
73,G,stimD,stimD,95,1
74,G,stimD,stimD,98,1
75,G,stimD,stimD,107,1
76,G,stimD,stimD,96,1
77,G,stimD,stimD,84,1
78,G,stimD,stimD,97,1
79,G,stimD,stimD,80,1
80,G,stimD,stimD,91,1
81,G,stimD,stimD,91,1
82,G,stimD,stimD,103,1
83,G,stimD,stimD,84,1
84,G,stimD,stimD,105,1
85,G,stimD,stimD,93,1
86,G,stimD,stimD,81,1
87,G,stimD,stimD,110,1
88,G,stimD,stimD,81,1
89,G,stimD,stimD,96,1
90,G,stimD,stimD,109,1
91,G,stimD,stimD,96,1
92,G,stimD,stimD,102,1
93,G,stimD,stimD,81,1
94,G,stimD,stimD,82,1
95,G,stimD,stimD,88,1
96,G,stimD,stimD,95,1
97,G,stimD,stimD,91,1
98,G,stimD,stimD,84,1
99,G,stimD,stimD,106,1
100,G,stimD,stimD,103,1
101,G,stimD,stimD,99,1
102,G,stimD,stimD,88,1
103,G,stimD,stimD,105,1
104,G,stimD,stimD,97,1
105,G,stimD,stimD,110,1
106,G,stimD,stimD,106,1
107,G,stimD,stimD,104,1
108,G,stimD,stimD,88,1
109,G,stimD,stimD,109,1
110,G,stimD,stimD,84,1
111,G,stimD,stimD,103,1
112,G,stimD,stimD,82,1
113,G,stimD,stimD,88,1
114,G,stimD,stimD,101,1
115,G,stimD,stimD,81,1
116,G,stimD,stimD,101,1
117,G,stimD,stimD,101,1
118,G,stimD,stimD,110,1
119,G,stimD,stimD,99,1
120,G,stimD,stimD,85,1
121,G,stimD,stimD,81,1
122,G,stimD,stimD,80,1
123,G,stimD,stimD,85,1
124,G,stimD,stimD,109,1
125,G,stimD,stimD,91,1
126,G,stimD,stimD,84,1
127,G,stimD,stimD,86,1
128,G,stimD,stimD,88,1
129,G,stimD,stimD,109,1
130,G,stimD,stimD,107,1
131,G,stimD,stimD,91,1
132,G,stimD,stimD,93,1
133,G,stimD,stimD,108,1
134,G,stimD,stimD,106,1
135,G,stimD,stimD,90,1
136,G,stimD,stimD,81,1
137,G,stimD,stimD,105,1
138,G,stimD,stimD,94,1
139,G,stimD,stimD,107,1
140,G,stimD,stimD,109,1
141,G,stimD,stimD,94,1
142,G,stimD,stimD,88,1
143,G,stimD,stimD,94,1
144,G,stimD,stimD,104,1
145,G,stimD,stimD,106,1
146,G,stimD,stimD,99,1
147,G,stimD,stimD,108,1
148,G,stimD,stimD,94,1
149,G,stimD,stimD,110,1
150,G,stimD,stimD,97,1
151,G,stimD,stimD,100,1
152,G,stimD,stimD,85,1
153,G,stimD,stimD,83,1
154,G,stimD,stimD,104,1
155,G,stimD,stimD,100,1
156,G,stimD,stimD,82,1
157,G,stimD,stimD,99,1
158,G,stimD,stimD,86,1
159,G,stimD,stimD,102,1
160,G,stimD,stimD,110,1
161,G,stimD,stimD,95,1
162,G,stimD,stimD,93,1
163,G,stimD,stimD,109,1
164,G,stimD,stimD,99,1
165,G,stimD,stimD,95,1
166,G,stimD,stimD,100,1
167,G,stimD,stimD,99,1
168,G,stimD,stimD,103,1
169,G,stimD,stimD,84,1
170,G,stimD,stimD,90,1
171,G,stimD,stimD,86,1
172,G,stimD,stimD,97,1
173,G,stimD,stimD,107,1
174,G,stimD,stimD,83,1
175,G,stimD,stimD,88,1
176,G,stimD,stimD,103,1
177,G,stimD,stimD,96,1
178,G,stimD,stimD,86,1
179,G,stimD,stimD,87,1
180,G,stimD,stimD,94,1
181,G,stimD,stimD,85,1
182,G,stimD,stimD,93,1
183,G,stimD,stimD,97,1
184,G,stimD,stimD,83,1
185,G,stimD,stimD,87,1
186,G,stimD,stimD,91,1
187,G,stimD,stimD,108,1
188,G,stimD,stimD,96,1
189,G,stimD,stimD,110,1
190,G,stimD,stimD,88,1
191,G,stimD,stimD,97,1
192,G,stimD,stimD,90,1
193,G,stimD,stimD,103,1
194,G,stimD,stimD,99,1
