trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimD,fwn1_25,161,0
2,G,stimC,fwn1_25,157,1
3,N,stimD,fwn1_25,200,0
4,N,stimD,fwn1_25,188,0
5,N,stimD,fwn1_25,150,0
6,G,stimC,fwn1_25,204,1
7,G,stimC,fwn1_25,181,1
8,N,stimD,fwn1_25,183,0
9,N,stimD,fwn1_25,186,0
10,N,stimD,fwn1_25,196,0
11,N,stimD,fwn1_25,202,0
12,G,stimC,fwn1_25,173,1
13,G,stimC,fwn1_25,155,1
14,N,stimD,fwn1_25,194,0
15,N,stimD,fwn1_25,170,0
16,G,stimC,fwn1_25,201,1
17,N,stimD,fwn1_25,172,0
18,N,stimD,fwn1_25,200,0
19,N,stimD,fwn1_25,160,0
20,N,stimD,fwn1_25,157,0
21,N,stimD,fwn1_25,203,0
22,N,stimD,fwn1_25,152,0
23,N,stimD,fwn1_25,191,0
24,N,stimD,fwn1_25,194,0
25,N,stimD,fwn1_25,176,0
26,G,stimC,fwn1_25,173,1
27,G,stimC,fwn1_25,209,1
28,N,stimD,fwn1_25,174,0
29,G,stimC,fwn1_25,176,1
30,N,stimD,fwn1_25,159,0
31,G,stimC,fwn1_25,169,1
32,N,stimD,fwn1_25,169,0
33,N,stimD,fwn1_25,204,0
34,G,stimC,fwn1_25,165,1
35,N,stimD,fwn1_25,168,0
36,N,stimD,fwn1_25,174,0
37,N,stimD,fwn1_25,193,0
38,N,stimD,fwn1_25,158,0
39,N,stimD,fwn1_25,203,0
40,G,stimC,fwn1_25,155,1
41,N,stimD,fwn1_25,178,0
42,N,stimD,fwn1_25,151,0
43,N,stimD,fwn1_25,195,0
44,G,stimC,fwn1_25,192,1
45,N,stimD,fwn1_25,163,0
46,N,stimD,fwn1_25,191,0
47,N,stimD,fwn1_25,183,0
48,G,stimC,fwn1_25,201,1
49,G,stimC,fwn1_25,184,1
50,N,stimD,fwn1_25,205,0
51,N,fwn1_25,stimD,175,0
52,N,fwn1_25,stimD,171,0
53,N,fwn1_25,stimD,179,0
54,N,fwn1_25,stimD,165,0
55,G,fwn1_25,stimC,206,1
56,N,fwn1_25,stimD,178,0
57,G,fwn1_25,stimC,165,1
58,N,fwn1_25,stimD,176,0
59,G,fwn1_25,stimC,192,1
60,N,fwn1_25,stimD,174,0
61,G,fwn1_25,stimC,161,1
62,N,fwn1_25,stimD,202,0
63,G,fwn1_25,stimC,185,1
64,N,fwn1_25,stimD,172,0
65,N,fwn1_25,stimD,163,0
66,N,fwn1_25,stimD,163,0
67,N,fwn1_25,stimD,181,0
68,N,fwn1_25,stimD,176,0
69,N,fwn1_25,stimD,195,0
70,G,fwn1_25,stimC,154,1
71,N,fwn1_25,stimD,201,0
72,N,fwn1_25,stimD,191,0
73,N,fwn1_25,stimD,158,0
74,G,fwn1_25,stimC,202,1
75,N,fwn1_25,stimD,162,0
76,N,fwn1_25,stimD,187,0
77,G,fwn1_25,stimC,183,1
78,G,fwn1_25,stimC,159,1
79,N,fwn1_25,stimD,150,0
80,N,fwn1_25,stimD,197,0
81,G,fwn1_25,stimC,196,1
82,G,fwn1_25,stimC,175,1
83,N,fwn1_25,stimD,153,0
84,N,fwn1_25,stimD,185,0
85,N,fwn1_25,stimD,160,0
86,G,fwn1_25,stimC,194,1
87,N,fwn1_25,stimD,182,0
88,N,fwn1_25,stimD,165,0
89,N,fwn1_25,stimD,205,0
90,N,fwn1_25,stimD,196,0
91,N,fwn1_25,stimD,204,0
92,G,fwn1_25,stimC,154,1
93,N,fwn1_25,stimD,161,0
94,G,fwn1_25,stimC,194,1
95,N,fwn1_25,stimD,192,0
96,G,fwn1_25,stimC,197,1
97,N,fwn1_25,stimD,180,0
98,N,fwn1_25,stimD,175,0
99,N,fwn1_25,stimD,187,0
100,N,fwn1_25,stimD,202,0
101,G,stimC,fwn1_25,190,1
102,N,stimD,fwn1_25,181,0
103,N,stimD,fwn1_25,168,0
104,N,stimD,fwn1_25,192,0
105,N,stimD,fwn1_25,173,0
106,G,stimC,fwn1_25,184,1
107,N,stimD,fwn1_25,204,0
108,G,stimC,fwn1_25,201,1
109,N,stimD,fwn1_25,204,0
110,N,stimD,fwn1_25,207,0
111,G,stimC,fwn1_25,199,1
112,N,stimD,fwn1_25,150,0
113,G,stimC,fwn1_25,150,1
114,N,stimD,fwn1_25,155,0
115,N,stimD,fwn1_25,165,0
116,N,stimD,fwn1_25,151,0
117,N,stimD,fwn1_25,175,0
118,N,stimD,fwn1_25,170,0
119,N,stimD,fwn1_25,183,0
120,G,stimC,fwn1_25,206,1
121,N,stimD,fwn1_25,168,0
122,G,stimC,fwn1_25,170,1
123,G,stimC,fwn1_25,202,1
124,G,stimC,fwn1_25,170,1
125,N,stimD,fwn1_25,158,0
126,N,stimD,fwn1_25,180,0
127,N,stimD,fwn1_25,202,0
128,N,stimD,fwn1_25,173,0
129,N,stimD,fwn1_25,192,0
130,N,stimD,fwn1_25,188,0
131,N,stimD,fwn1_25,177,0
132,G,stimC,fwn1_25,178,1
133,N,stimD,fwn1_25,207,0
134,N,stimD,fwn1_25,155,0
135,G,stimC,fwn1_25,167,1
136,N,stimD,fwn1_25,177,0
137,N,stimD,fwn1_25,185,0
138,G,stimC,fwn1_25,203,1
139,N,stimD,fwn1_25,178,0
140,N,stimD,fwn1_25,176,0
141,N,stimD,fwn1_25,195,0
142,N,stimD,fwn1_25,178,0
143,N,stimD,fwn1_25,202,0
144,G,stimC,fwn1_25,178,1
145,G,stimC,fwn1_25,180,1
146,N,stimD,fwn1_25,179,0
147,N,stimD,fwn1_25,163,0
148,N,stimD,fwn1_25,155,0
149,N,stimD,fwn1_25,154,0
150,G,stimC,fwn1_25,204,1
151,N,fwn1_25,stimD,164,0
152,N,fwn1_25,stimD,202,0
153,G,fwn1_25,stimC,193,1
154,N,fwn1_25,stimD,203,0
155,N,fwn1_25,stimD,207,0
156,G,fwn1_25,stimC,158,1
157,G,fwn1_25,stimC,174,1
158,N,fwn1_25,stimD,209,0
159,N,fwn1_25,stimD,189,0
160,N,fwn1_25,stimD,204,0
161,G,fwn1_25,stimC,179,1
162,N,fwn1_25,stimD,150,0
163,G,fwn1_25,stimC,187,1
164,G,fwn1_25,stimC,164,1
165,N,fwn1_25,stimD,182,0
166,N,fwn1_25,stimD,194,0
167,N,fwn1_25,stimD,187,0
168,N,fwn1_25,stimD,185,0
169,N,fwn1_25,stimD,176,0
170,N,fwn1_25,stimD,164,0
171,N,fwn1_25,stimD,176,0
172,N,fwn1_25,stimD,150,0
173,N,fwn1_25,stimD,187,0
174,N,fwn1_25,stimD,208,0
175,N,fwn1_25,stimD,155,0
176,G,fwn1_25,stimC,152,1
177,N,fwn1_25,stimD,204,0
178,G,fwn1_25,stimC,165,1
179,N,fwn1_25,stimD,150,0
180,G,fwn1_25,stimC,199,1
181,N,fwn1_25,stimD,158,0
182,N,fwn1_25,stimD,203,0
183,G,fwn1_25,stimC,155,1
184,G,fwn1_25,stimC,171,1
185,N,fwn1_25,stimD,186,0
186,G,fwn1_25,stimC,185,1
187,N,fwn1_25,stimD,190,0
188,N,fwn1_25,stimD,189,0
189,N,fwn1_25,stimD,176,0
190,N,fwn1_25,stimD,158,0
191,N,fwn1_25,stimD,195,0
192,N,fwn1_25,stimD,164,0
193,G,fwn1_25,stimC,189,1
194,N,fwn1_25,stimD,202,0
195,N,fwn1_25,stimD,155,0
196,N,fwn1_25,stimD,209,0
197,N,fwn1_25,stimD,151,0
198,G,fwn1_25,stimC,200,1
199,G,fwn1_25,stimC,200,1
200,N,fwn1_25,stimD,153,0
201,G,stimC,fwn1_25,183,1
202,N,stimD,fwn1_25,207,0
203,N,stimD,fwn1_25,169,0
204,N,stimD,fwn1_25,199,0
205,N,stimD,fwn1_25,186,0
206,N,stimD,fwn1_25,198,0
207,N,stimD,fwn1_25,198,0
208,G,stimC,fwn1_25,153,1
209,G,stimC,fwn1_25,167,1
210,N,stimD,fwn1_25,189,0
211,N,stimD,fwn1_25,179,0
212,N,stimD,fwn1_25,209,0
213,N,stimD,fwn1_25,195,0
214,G,stimC,fwn1_25,184,1
215,G,stimC,fwn1_25,168,1
216,G,stimC,fwn1_25,165,1
217,N,stimD,fwn1_25,204,0
218,N,stimD,fwn1_25,177,0
219,N,stimD,fwn1_25,199,0
220,N,stimD,fwn1_25,155,0
221,N,stimD,fwn1_25,202,0
222,G,stimC,fwn1_25,151,1
223,G,stimC,fwn1_25,204,1
224,N,stimD,fwn1_25,204,0
225,N,stimD,fwn1_25,181,0
226,G,stimC,fwn1_25,157,1
227,N,stimD,fwn1_25,160,0
228,N,stimD,fwn1_25,193,0
229,N,stimD,fwn1_25,200,0
230,N,stimD,fwn1_25,152,0
231,G,stimC,fwn1_25,196,1
232,G,stimC,fwn1_25,208,1
233,N,stimD,fwn1_25,170,0
234,N,stimD,fwn1_25,188,0
235,N,stimD,fwn1_25,170,0
236,N,stimD,fwn1_25,163,0
237,G,stimC,fwn1_25,197,1
238,N,stimD,fwn1_25,194,0
239,N,stimD,fwn1_25,167,0
240,N,stimD,fwn1_25,185,0
241,N,stimD,fwn1_25,175,0
242,N,stimD,fwn1_25,155,0
243,G,stimC,fwn1_25,151,1
244,G,stimC,fwn1_25,179,1
245,N,stimD,fwn1_25,166,0
246,N,stimD,fwn1_25,170,0
247,N,stimD,fwn1_25,167,0
248,N,stimD,fwn1_25,160,0
249,G,stimC,fwn1_25,174,1
250,N,stimD,fwn1_25,192,0
251,G,fwn1_25,stimC,162,1
252,G,fwn1_25,stimC,190,1
253,N,fwn1_25,stimD,177,0
254,N,fwn1_25,stimD,176,0
255,N,fwn1_25,stimD,160,0
256,G,fwn1_25,stimC,161,1
257,N,fwn1_25,stimD,187,0
258,N,fwn1_25,stimD,166,0
259,N,fwn1_25,stimD,184,0
260,N,fwn1_25,stimD,207,0
261,N,fwn1_25,stimD,193,0
262,N,fwn1_25,stimD,191,0
263,N,fwn1_25,stimD,208,0
264,N,fwn1_25,stimD,197,0
265,G,fwn1_25,stimC,187,1
266,G,fwn1_25,stimC,207,1
267,G,fwn1_25,stimC,153,1
268,N,fwn1_25,stimD,166,0
269,N,fwn1_25,stimD,210,0
270,N,fwn1_25,stimD,197,0
271,N,fwn1_25,stimD,178,0
272,N,fwn1_25,stimD,191,0
