trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimA,196,1
2,G,stimA,stimA,187,1
3,N,stimB,stimB,174,0
4,N,stimB,stimB,201,0
5,N,stimB,stimB,152,0
6,N,stimB,stimB,155,0
7,G,stimA,stimA,207,1
8,N,stimB,stimB,174,0
9,N,stimB,stimB,182,0
10,N,stimB,stimB,205,0
11,G,stimA,stimA,170,1
12,N,stimB,stimB,190,0
13,N,stimB,stimB,194,0
14,N,stimB,stimB,163,0
15,G,stimA,stimA,183,1
16,G,stimA,stimA,177,1
17,N,stimB,stimB,187,0
18,N,stimB,stimB,183,0
19,N,stimB,stimB,181,0
20,N,stimB,stimB,167,0
21,N,stimB,stimB,203,0
22,G,stimA,stimA,207,1
23,N,stimB,stimB,199,0
24,G,stimA,stimA,209,1
25,N,stimB,stimB,181,0
26,N,stimB,stimB,156,0
27,N,stimB,stimB,189,0
28,N,stimB,stimB,161,0
29,G,stimA,stimA,202,1
30,N,stimB,stimB,207,0
31,N,stimB,stimB,156,0
32,N,stimB,stimB,168,0
33,N,stimB,stimB,198,0
34,N,stimB,stimB,176,0
35,N,stimB,stimB,180,0
36,N,stimB,stimB,151,0
37,N,stimB,stimB,184,0
38,G,stimA,stimA,184,1
39,G,stimA,stimA,195,1
40,G,stimA,stimA,154,1
41,G,stimA,stimA,198,1
42,G,stimA,stimA,161,1
43,N,stimB,stimB,182,0
44,N,stimB,stimB,206,0
45,G,stimA,stimA,210,1
46,N,stimB,stimB,209,0
47,N,stimB,stimB,168,0
48,N,stimB,stimB,195,0
49,N,stimB,stimB,162,0
50,N,stimB,stimB,202,0
51,N,stimB,stimB,190,0
52,N,stimB,stimB,156,0
53,N,stimB,stimB,185,0
54,G,stimA,stimA,208,1
55,G,stimA,stimA,201,1
56,N,stimB,stimB,195,0
57,G,stimA,stimA,192,1
58,N,stimB,stimB,165,0
59,N,stimB,stimB,152,0
60,N,stimB,stimB,178,0
61,G,stimA,stimA,157,1
62,N,stimB,stimB,159,0
63,G,stimA,stimA,175,1
64,N,stimB,stimB,190,0
65,N,stimB,stimB,209,0
66,N,stimB,stimB,167,0
67,N,stimB,stimB,182,0
68,N,stimB,stimB,206,0
69,G,stimA,stimA,160,1
70,N,stimB,stimB,198,0
71,G,stimA,stimA,156,1
72,G,stimA,stimA,203,1
73,G,stimA,stimA,181,1
74,N,stimB,stimB,209,0
75,N,stimB,stimB,196,0
76,N,stimB,stimB,194,0
77,N,stimB,stimB,150,0
78,N,stimB,stimB,162,0
79,N,stimB,stimB,165,0
80,N,stimB,stimB,154,0
81,G,stimA,stimA,194,1
82,N,stimB,stimB,200,0
83,N,stimB,stimB,170,0
84,G,stimA,stimA,158,1
85,N,stimB,stimB,190,0
86,N,stimB,stimB,200,0
87,G,stimA,stimA,191,1
88,N,stimB,stimB,158,0
89,N,stimB,stimB,173,0
90,N,stimB,stimB,191,0
91,N,stimB,stimB,181,0
92,G,stimA,stimA,209,1
93,N,stimB,stimB,166,0
94,N,stimB,stimB,202,0
