trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimB,stimB,196,1
2,G,stimB,stimB,187,1
3,N,stimC,stimC,174,0
4,N,stimC,stimC,201,0
5,N,stimC,stimC,152,0
6,N,stimC,stimC,155,0
7,G,stimB,stimB,207,1
8,N,stimC,stimC,174,0
9,N,stimC,stimC,182,0
10,N,stimC,stimC,205,0
11,G,stimB,stimB,170,1
12,N,stimC,stimC,190,0
13,N,stimC,stimC,194,0
14,N,stimC,stimC,163,0
15,G,stimB,stimB,183,1
16,G,stimB,stimB,177,1
17,N,stimC,stimC,187,0
18,N,stimC,stimC,183,0
19,N,stimC,stimC,181,0
20,N,stimC,stimC,167,0
21,N,stimC,stimC,203,0
22,G,stimB,stimB,207,1
23,N,stimC,stimC,199,0
24,G,stimB,stimB,209,1
25,N,stimC,stimC,181,0
26,N,stimC,stimC,156,0
27,N,stimC,stimC,189,0
28,N,stimC,stimC,161,0
29,G,stimB,stimB,202,1
30,N,stimC,stimC,207,0
31,N,stimC,stimC,156,0
32,N,stimC,stimC,168,0
33,N,stimC,stimC,198,0
34,N,stimC,stimC,176,0
35,N,stimC,stimC,180,0
36,N,stimC,stimC,151,0
37,N,stimC,stimC,184,0
38,G,stimB,stimB,184,1
39,G,stimB,stimB,195,1
40,G,stimB,stimB,154,1
41,G,stimB,stimB,198,1
42,G,stimB,stimB,161,1
43,N,stimC,stimC,182,0
44,N,stimC,stimC,206,0
45,G,stimB,stimB,210,1
46,N,stimC,stimC,209,0
47,N,stimC,stimC,168,0
48,N,stimC,stimC,195,0
49,N,stimC,stimC,162,0
50,N,stimC,stimC,202,0
51,N,stimC,stimC,190,0
52,N,stimC,stimC,156,0
53,N,stimC,stimC,185,0
54,G,stimB,stimB,208,1
55,G,stimB,stimB,201,1
56,N,stimC,stimC,195,0
57,G,stimB,stimB,192,1
58,N,stimC,stimC,165,0
59,N,stimC,stimC,152,0
60,N,stimC,stimC,178,0
61,G,stimB,stimB,157,1
62,N,stimC,stimC,159,0
63,G,stimB,stimB,175,1
64,N,stimC,stimC,190,0
65,N,stimC,stimC,209,0
66,N,stimC,stimC,167,0
67,N,stimC,stimC,182,0
68,N,stimC,stimC,206,0
69,G,stimB,stimB,160,1
70,N,stimC,stimC,198,0
71,G,stimB,stimB,156,1
72,G,stimB,stimB,203,1
73,G,stimB,stimB,181,1
74,N,stimC,stimC,209,0
75,N,stimC,stimC,196,0
76,N,stimC,stimC,194,0
77,N,stimC,stimC,150,0
78,N,stimC,stimC,162,0
79,N,stimC,stimC,165,0
80,N,stimC,stimC,154,0
81,G,stimB,stimB,194,1
82,N,stimC,stimC,200,0
83,N,stimC,stimC,170,0
84,G,stimB,stimB,158,1
85,N,stimC,stimC,190,0
86,N,stimC,stimC,200,0
87,G,stimB,stimB,191,1
88,N,stimC,stimC,158,0
89,N,stimC,stimC,173,0
90,N,stimC,stimC,191,0
91,N,stimC,stimC,181,0
92,G,stimB,stimB,209,1
93,N,stimC,stimC,166,0
94,N,stimC,stimC,202,0
95,N,stimC,stimC,172,0
96,G,stimB,stimB,158,1
97,N,stimC,stimC,155,0
98,G,stimB,stimB,195,1
99,N,stimC,stimC,172,0
100,N,stimC,stimC,173,0
101,G,stimB,stimB,168,1
102,N,stimC,stimC,167,0
103,G,stimB,stimB,165,1
104,N,stimC,stimC,178,0
105,N,stimC,stimC,210,0
106,G,stimB,stimB,173,1
107,N,stimC,stimC,207,0
108,N,stimC,stimC,160,0
109,N,stimC,stimC,206,0
110,N,stimC,stimC,196,0
111,N,stimC,stimC,202,0
112,N,stimC,stimC,186,0
113,N,stimC,stimC,156,0
114,G,stimB,stimB,177,1
115,G,stimB,stimB,189,1
116,N,stimC,stimC,153,0
117,N,stimC,stimC,151,0
118,N,stimC,stimC,167,0
119,G,stimB,stimB,206,1
120,N,stimC,stimC,181,0
121,G,stimB,stimB,203,1
122,G,stimB,stimB,173,1
123,N,stimC,stimC,203,0
124,N,stimC,stimC,182,0
125,N,stimC,stimC,204,0
126,N,stimC,stimC,156,0
