trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimD,stimD,196,1
2,G,stimD,stimD,187,1
3,N,stimA,stimA,174,0
4,N,stimA,stimA,201,0
5,N,stimA,stimA,152,0
6,N,stimA,stimA,155,0
7,G,stimD,stimD,207,1
8,N,stimA,stimA,174,0
9,N,stimA,stimA,182,0
10,N,stimA,stimA,205,0
11,G,stimD,stimD,170,1
12,N,stimA,stimA,190,0
13,N,stimA,stimA,194,0
14,N,stimA,stimA,163,0
15,G,stimD,stimD,183,1
16,G,stimD,stimD,177,1
17,N,stimA,stimA,187,0
18,N,stimA,stimA,183,0
19,N,stimA,stimA,181,0
20,N,stimA,stimA,167,0
21,N,stimA,stimA,203,0
22,G,stimD,stimD,207,1
23,N,stimA,stimA,199,0
24,G,stimD,stimD,209,1
25,N,stimA,stimA,181,0
26,N,stimA,stimA,156,0
27,N,stimA,stimA,189,0
28,N,stimA,stimA,161,0
29,G,stimD,stimD,202,1
30,N,stimA,stimA,207,0
31,N,stimA,stimA,156,0
32,N,stimA,stimA,168,0
33,N,stimA,stimA,198,0
34,N,stimA,stimA,176,0
35,N,stimA,stimA,180,0
36,N,stimA,stimA,151,0
37,N,stimA,stimA,184,0
38,G,stimD,stimD,184,1
39,G,stimD,stimD,195,1
40,G,stimD,stimD,154,1
41,G,stimD,stimD,198,1
42,G,stimD,stimD,161,1
43,N,stimA,stimA,182,0
44,N,stimA,stimA,206,0
45,G,stimD,stimD,210,1
46,N,stimA,stimA,209,0
47,N,stimA,stimA,168,0
48,N,stimA,stimA,195,0
49,N,stimA,stimA,162,0
50,N,stimA,stimA,202,0
51,N,stimA,stimA,190,0
52,N,stimA,stimA,156,0
53,N,stimA,stimA,185,0
54,G,stimD,stimD,208,1
55,G,stimD,stimD,201,1
56,N,stimA,stimA,195,0
57,G,stimD,stimD,192,1
58,N,stimA,stimA,165,0
59,N,stimA,stimA,152,0
60,N,stimA,stimA,178,0
61,G,stimD,stimD,157,1
62,N,stimA,stimA,159,0
63,G,stimD,stimD,175,1
64,N,stimA,stimA,190,0
65,N,stimA,stimA,209,0
66,N,stimA,stimA,167,0
67,N,stimA,stimA,182,0
68,N,stimA,stimA,206,0
69,G,stimD,stimD,160,1
70,N,stimA,stimA,198,0
71,G,stimD,stimD,156,1
72,G,stimD,stimD,203,1
73,G,stimD,stimD,181,1
74,N,stimA,stimA,209,0
75,N,stimA,stimA,196,0
76,N,stimA,stimA,194,0
77,N,stimA,stimA,150,0
78,N,stimA,stimA,162,0
79,N,stimA,stimA,165,0
80,N,stimA,stimA,154,0
81,G,stimD,stimD,194,1
82,N,stimA,stimA,200,0
83,N,stimA,stimA,170,0
84,G,stimD,stimD,158,1
85,N,stimA,stimA,190,0
86,N,stimA,stimA,200,0
87,G,stimD,stimD,191,1
88,N,stimA,stimA,158,0
89,N,stimA,stimA,173,0
90,N,stimA,stimA,191,0
91,N,stimA,stimA,181,0
92,G,stimD,stimD,209,1
93,N,stimA,stimA,166,0
94,N,stimA,stimA,202,0
95,N,stimA,stimA,172,0
96,G,stimD,stimD,158,1
97,N,stimA,stimA,155,0
98,G,stimD,stimD,195,1
99,N,stimA,stimA,172,0
100,N,stimA,stimA,173,0
101,G,stimD,stimD,168,1
102,N,stimA,stimA,167,0
103,G,stimD,stimD,165,1
104,N,stimA,stimA,178,0
105,N,stimA,stimA,210,0
106,G,stimD,stimD,173,1
107,N,stimA,stimA,207,0
108,N,stimA,stimA,160,0
109,N,stimA,stimA,206,0
110,N,stimA,stimA,196,0
111,N,stimA,stimA,202,0
112,N,stimA,stimA,186,0
113,N,stimA,stimA,156,0
114,G,stimD,stimD,177,1
115,G,stimD,stimD,189,1
116,N,stimA,stimA,153,0
117,N,stimA,stimA,151,0
118,N,stimA,stimA,167,0
119,G,stimD,stimD,206,1
120,N,stimA,stimA,181,0
121,G,stimD,stimD,203,1
122,G,stimD,stimD,173,1
123,N,stimA,stimA,203,0
124,N,stimA,stimA,182,0
125,N,stimA,stimA,204,0
126,N,stimA,stimA,156,0
127,N,stimA,stimA,162,0
128,N,stimA,stimA,192,0
129,N,stimA,stimA,172,0
130,G,stimD,stimD,150,1
131,N,stimA,stimA,173,0
132,G,stimD,stimD,169,1
133,N,stimA,stimA,173,0
134,N,stimA,stimA,161,0
135,N,stimA,stimA,162,0
136,G,stimD,stimD,186,1
137,N,stimA,stimA,186,0
138,N,stimA,stimA,160,0
139,G,stimD,stimD,206,1
140,N,stimA,stimA,153,0
141,N,stimA,stimA,162,0
142,G,stimD,stimD,181,1
143,N,stimA,stimA,196,0
144,N,stimA,stimA,158,0
145,G,stimD,stimD,206,1
146,N,stimA,stimA,175,0
147,N,stimA,stimA,153,0
148,N,stimA,stimA,191,0
149,N,stimA,stimA,167,0
150,G,stimD,stimD,197,1
151,N,stimA,stimA,208,0
152,G,stimD,stimD,191,1
153,N,stimA,stimA,180,0
154,N,stimA,stimA,156,0
155,G,stimD,stimD,167,1
156,G,stimD,stimD,182,1
157,N,stimA,stimA,150,0
158,N,stimA,stimA,167,0
159,N,stimA,stimA,185,0
160,N,stimA,stimA,160,0
161,N,stimA,stimA,160,0
162,G,stimD,stimD,191,1
163,G,stimD,stimD,184,1
164,N,stimA,stimA,183,0
165,N,stimA,stimA,209,0
166,N,stimA,stimA,188,0
167,N,stimA,stimA,169,0
168,N,stimA,stimA,181,0
169,N,stimA,stimA,202,0
170,G,stimD,stimD,210,1
171,N,stimA,stimA,201,0
172,G,stimD,stimD,171,1
173,N,stimA,stimA,195,0
174,G,stimD,stimD,207,1
175,N,stimA,stimA,190,0
176,G,stimD,stimD,179,1
177,N,stimA,stimA,167,0
178,N,stimA,stimA,186,0
179,N,stimA,stimA,170,0
180,N,stimA,stimA,208,0
181,N,stimA,stimA,176,0
182,N,stimA,stimA,208,0
183,N,stimA,stimA,191,0
184,G,stimD,stimD,193,1
185,N,stimA,stimA,208,0
186,G,stimD,stimD,207,1
187,N,stimA,stimA,200,0
188,G,stimD,stimD,159,1
189,N,stimA,stimA,200,0
190,N,stimA,stimA,178,0
191,N,stimA,stimA,168,0
192,N,stimA,stimA,181,0
193,N,stimA,stimA,200,0
194,G,stimD,stimD,182,1
195,G,stimD,stimD,165,1
196,N,stimA,stimA,171,0
197,N,stimA,stimA,161,0
198,N,stimA,stimA,171,0
199,N,stimA,stimA,161,0
200,G,stimD,stimD,200,1
201,N,stimA,stimA,173,0
202,N,stimA,stimA,150,0
203,G,stimD,stimD,168,1
204,N,stimA,stimA,201,0
205,G,stimD,stimD,167,1
206,G,stimD,stimD,197,1
207,N,stimA,stimA,182,0
208,N,stimA,stimA,159,0
209,N,stimA,stimA,182,0
210,N,stimA,stimA,167,0
211,N,stimA,stimA,193,0
212,N,stimA,stimA,194,0
213,N,stimA,stimA,177,0
214,G,stimD,stimD,161,1
215,N,stimA,stimA,158,0
216,G,stimD,stimD,166,1
217,G,stimD,stimD,188,1
218,N,stimA,stimA,199,0
219,N,stimA,stimA,190,0
220,N,stimA,stimA,167,0
221,N,stimA,stimA,158,0
222,N,stimA,stimA,164,0
223,G,stimD,stimD,192,1
224,G,stimD,stimD,154,1
225,N,stimA,stimA,180,0
226,G,stimD,stimD,210,1
227,N,stimA,stimA,205,0
228,N,stimA,stimA,185,0
229,N,stimA,stimA,196,0
230,N,stimA,stimA,195,0
231,N,stimA,stimA,192,0
232,N,stimA,stimA,191,0
233,G,stimD,stimD,167,1
234,G,stimD,stimD,185,1
235,N,stimA,stimA,187,0
236,N,stimA,stimA,199,0
237,G,stimD,stimD,150,1
238,N,stimA,stimA,163,0
239,N,stimA,stimA,210,0
240,N,stimA,stimA,199,0
241,N,stimA,stimA,188,0
242,G,stimD,stimD,191,1
243,G,stimD,stimD,199,1
244,N,stimA,stimA,167,0
245,N,stimA,stimA,190,0
246,N,stimA,stimA,151,0
247,N,stimA,stimA,183,0
248,G,stimD,stimD,182,1
249,N,stimA,stimA,203,0
250,N,stimA,stimA,161,0
251,N,stimA,stimA,206,0
252,N,stimA,stimA,209,0
253,N,stimA,stimA,170,0
254,N,stimA,stimA,188,0
255,N,stimA,stimA,182,0
256,N,stimA,stimA,178,0
257,G,stimD,stimD,171,1
258,N,stimA,stimA,170,0
259,G,stimD,stimD,155,1
260,G,stimD,stimD,173,1
261,N,stimA,stimA,164,0
262,G,stimD,stimD,179,1
263,N,stimA,stimA,192,0
264,N,stimA,stimA,158,0
265,N,stimA,stimA,200,0
266,N,stimA,stimA,206,0
267,G,stimD,stimD,200,1
268,G,stimD,stimD,179,1
269,N,stimA,stimA,190,0
270,N,stimA,stimA,177,0
271,N,stimA,stimA,175,0
272,N,stimA,stimA,152,0
273,N,stimA,stimA,206,0
274,N,stimA,stimA,152,0
275,N,stimA,stimA,179,0
276,G,stimD,stimD,173,1
277,N,stimA,stimA,182,0
278,G,stimD,stimD,210,1
279,G,stimD,stimD,205,1
280,N,stimA,stimA,150,0
281,G,stimD,stimD,197,1
282,G,stimD,stimD,179,1
283,N,stimA,stimA,173,0
284,G,stimD,stimD,200,1
285,N,stimA,stimA,203,0
286,N,stimA,stimA,210,0
287,N,stimA,stimA,161,0
288,N,stimA,stimA,203,0
289,N,stimA,stimA,168,0
290,N,stimA,stimA,175,0
291,N,stimA,stimA,199,0
292,G,stimD,stimD,172,1
293,G,stimD,stimD,175,1
294,N,stimA,stimA,155,0
295,N,stimA,stimA,190,0
296,G,stimD,stimD,194,1
297,N,stimA,stimA,168,0
298,N,stimA,stimA,170,0
299,N,stimA,stimA,194,0
300,N,stimA,stimA,210,0
301,N,stimA,stimA,192,0
302,N,stimA,stimA,155,0
303,N,stimA,stimA,178,0
304,G,stimD,stimD,188,1
305,N,stimA,stimA,182,0
306,N,stimA,stimA,158,0
307,G,stimD,stimD,166,1
