trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimB,stimC,161,0
2,G,stimA,stimD,157,1
3,N,stimB,stimC,200,0
4,N,stimB,stimD,188,0
5,N,stimB,stimD,150,0
6,G,stimA,stimC,204,1
7,G,stimA,stimC,181,1
8,N,stimB,stimC,183,0
9,N,stimB,stimD,186,0
10,N,stimB,stimD,196,0
11,N,stimB,stimC,202,0
12,G,stimA,stimD,173,1
13,G,stimA,stimD,155,1
14,N,stimB,stimC,194,0
15,N,stimB,stimD,170,0
16,G,stimA,stimC,201,1
17,N,stimB,stimD,172,0
18,N,stimB,stimD,200,0
19,N,stimB,stimD,160,0
20,N,stimB,stimD,157,0
21,N,stimB,stimC,203,0
22,N,stimB,stimC,152,0
23,N,stimB,stimD,191,0
24,N,stimB,stimD,194,0
25,N,stimB,stimD,176,0
26,G,stimA,stimD,173,1
27,G,stimA,stimC,209,1
28,N,stimB,stimD,174,0
29,G,stimA,stimC,176,1
30,N,stimB,stimC,159,0
31,G,stimA,stimC,169,1
32,N,stimB,stimD,169,0
33,N,stimB,stimD,204,0
34,G,stimA,stimC,165,1
35,N,stimB,stimD,168,0
36,N,stimB,stimD,174,0
37,N,stimB,stimC,193,0
38,N,stimB,stimC,158,0
39,N,stimB,stimD,203,0
40,G,stimA,stimD,155,1
41,N,stimB,stimD,178,0
42,N,stimB,stimC,151,0
43,N,stimB,stimC,195,0
44,G,stimA,stimD,192,1
45,N,stimB,stimC,163,0
46,N,stimB,stimC,191,0
47,N,stimB,stimD,183,0
48,G,stimA,stimC,201,1
49,G,stimA,stimD,184,1
50,N,stimB,stimC,205,0
51,N,stimC,stimB,175,0
52,N,stimD,stimB,171,0
53,N,stimD,stimB,179,0
54,N,stimC,stimB,165,0
55,G,stimC,stimA,206,1
56,N,stimC,stimB,178,0
57,G,stimC,stimA,165,1
58,N,stimC,stimB,176,0
59,G,stimC,stimA,192,1
60,N,stimD,stimB,174,0
61,G,stimD,stimA,161,1
62,N,stimD,stimB,202,0
63,G,stimC,stimA,185,1
64,N,stimC,stimB,172,0
65,N,stimD,stimB,163,0
66,N,stimC,stimB,163,0
67,N,stimD,stimB,181,0
68,N,stimC,stimB,176,0
69,N,stimD,stimB,195,0
70,G,stimC,stimA,154,1
71,N,stimC,stimB,201,0
72,N,stimC,stimB,191,0
73,N,stimD,stimB,158,0
74,G,stimD,stimA,202,1
75,N,stimC,stimB,162,0
76,N,stimD,stimB,187,0
77,G,stimD,stimA,183,1
78,G,stimD,stimA,159,1
79,N,stimC,stimB,150,0
80,N,stimD,stimB,197,0
81,G,stimC,stimA,196,1
82,G,stimD,stimA,175,1
83,N,stimD,stimB,153,0
84,N,stimC,stimB,185,0
85,N,stimC,stimB,160,0
86,G,stimD,stimA,194,1
87,N,stimD,stimB,182,0
88,N,stimD,stimB,165,0
89,N,stimC,stimB,205,0
90,N,stimD,stimB,196,0
91,N,stimC,stimB,204,0
92,G,stimD,stimA,154,1
93,N,stimC,stimB,161,0
94,G,stimD,stimA,194,1
95,N,stimD,stimB,192,0
96,G,stimD,stimA,197,1
97,N,stimC,stimB,180,0
98,N,stimC,stimB,175,0
99,N,stimC,stimB,187,0
100,N,stimC,stimB,202,0
101,G,stimA,stimC,190,1
102,N,stimB,stimC,181,0
103,N,stimB,stimC,168,0
104,N,stimB,stimC,192,0
105,N,stimB,stimD,173,0
106,G,stimA,stimD,184,1
107,N,stimB,stimC,204,0
108,G,stimA,stimC,201,1
109,N,stimB,stimD,204,0
110,N,stimB,stimC,207,0
111,G,stimA,stimD,199,1
112,N,stimB,stimD,150,0
113,G,stimA,stimD,150,1
114,N,stimB,stimD,155,0
115,N,stimB,stimC,165,0
116,N,stimB,stimD,151,0
117,N,stimB,stimC,175,0
118,N,stimB,stimD,170,0
119,N,stimB,stimC,183,0
120,G,stimA,stimD,206,1
121,N,stimB,stimC,168,0
122,G,stimA,stimC,170,1
123,G,stimA,stimC,202,1
124,G,stimA,stimC,170,1
125,N,stimB,stimC,158,0
126,N,stimB,stimC,180,0
127,N,stimB,stimD,202,0
128,N,stimB,stimD,173,0
129,N,stimB,stimC,192,0
130,N,stimB,stimD,188,0
131,N,stimB,stimD,177,0
132,G,stimA,stimD,178,1
133,N,stimB,stimC,207,0
134,N,stimB,stimD,155,0
135,G,stimA,stimC,167,1
136,N,stimB,stimC,177,0
137,N,stimB,stimC,185,0
138,G,stimA,stimD,203,1
139,N,stimB,stimD,178,0
140,N,stimB,stimC,176,0
141,N,stimB,stimD,195,0
142,N,stimB,stimD,178,0
143,N,stimB,stimD,202,0
144,G,stimA,stimD,178,1
145,G,stimA,stimC,180,1
146,N,stimB,stimC,179,0
147,N,stimB,stimD,163,0
148,N,stimB,stimD,155,0
149,N,stimB,stimD,154,0
150,G,stimA,stimC,204,1
151,N,stimC,stimB,164,0
152,N,stimD,stimB,202,0
153,G,stimD,stimA,193,1
154,N,stimC,stimB,203,0
155,N,stimC,stimB,207,0
156,G,stimC,stimA,158,1
157,G,stimD,stimA,174,1
