trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimC,stimD,161,0
2,G,stimB,stimA,157,1
3,N,stimC,stimD,200,0
4,N,stimC,stimD,188,0
5,N,stimC,stimD,150,0
6,G,stimB,stimD,204,1
7,G,stimB,stimD,181,1
8,N,stimC,stimD,183,0
9,N,stimC,stimA,186,0
10,N,stimC,stimD,196,0
11,N,stimC,stimA,202,0
12,G,stimB,stimA,173,1
13,G,stimB,stimA,155,1
14,N,stimC,stimA,194,0
15,N,stimC,stimA,170,0
16,G,stimB,stimA,201,1
17,N,stimC,stimA,172,0
18,N,stimC,stimA,200,0
19,N,stimC,stimD,160,0
20,N,stimC,stimD,157,0
21,N,stimC,stimD,203,0
22,N,stimC,stimA,152,0
23,N,stimC,stimD,191,0
24,N,stimC,stimD,194,0
25,N,stimC,stimD,176,0
26,G,stimB,stimA,173,1
27,G,stimB,stimD,209,1
28,N,stimC,stimA,174,0
29,G,stimB,stimD,176,1
30,N,stimC,stimD,159,0
31,G,stimB,stimD,169,1
32,N,stimC,stimA,169,0
33,N,stimC,stimD,204,0
34,G,stimB,stimD,165,1
35,N,stimC,stimD,168,0
36,N,stimC,stimA,174,0
37,N,stimC,stimA,193,0
38,N,stimC,stimA,158,0
39,N,stimC,stimA,203,0
40,G,stimB,stimA,155,1
41,N,stimC,stimA,178,0
42,N,stimC,stimD,151,0
43,N,stimC,stimD,195,0
44,G,stimB,stimA,192,1
45,N,stimC,stimD,163,0
46,N,stimC,stimD,191,0
47,N,stimC,stimD,183,0
48,G,stimB,stimA,201,1
49,G,stimB,stimD,184,1
50,N,stimC,stimA,205,0
51,N,stimD,stimC,175,0
52,N,stimD,stimC,171,0
53,N,stimA,stimC,179,0
54,N,stimD,stimC,165,0
55,G,stimD,stimB,206,1
56,N,stimA,stimC,178,0
57,G,stimA,stimB,165,1
58,N,stimA,stimC,176,0
59,G,stimA,stimB,192,1
60,N,stimA,stimC,174,0
61,G,stimD,stimB,161,1
62,N,stimA,stimC,202,0
63,G,stimD,stimB,185,1
64,N,stimA,stimC,172,0
65,N,stimD,stimC,163,0
66,N,stimD,stimC,163,0
67,N,stimD,stimC,181,0
68,N,stimA,stimC,176,0
69,N,stimA,stimC,195,0
70,G,stimA,stimB,154,1
71,N,stimA,stimC,201,0
72,N,stimA,stimC,191,0
73,N,stimA,stimC,158,0
74,G,stimA,stimB,202,1
75,N,stimA,stimC,162,0
76,N,stimA,stimC,187,0
77,G,stimD,stimB,183,1
78,G,stimA,stimB,159,1
79,N,stimA,stimC,150,0
80,N,stimD,stimC,197,0
81,G,stimD,stimB,196,1
82,G,stimA,stimB,175,1
83,N,stimA,stimC,153,0
84,N,stimA,stimC,185,0
85,N,stimA,stimC,160,0
86,G,stimA,stimB,194,1
87,N,stimA,stimC,182,0
88,N,stimA,stimC,165,0
89,N,stimD,stimC,205,0
90,N,stimD,stimC,196,0
91,N,stimD,stimC,204,0
92,G,stimA,stimB,154,1
93,N,stimA,stimC,161,0
94,G,stimA,stimB,194,1
95,N,stimA,stimC,192,0
96,G,stimA,stimB,197,1
97,N,stimD,stimC,180,0
98,N,stimA,stimC,175,0
99,N,stimA,stimC,187,0
100,N,stimD,stimC,202,0
101,G,stimB,stimA,190,1
102,N,stimC,stimA,181,0
103,N,stimC,stimA,168,0
104,N,stimC,stimA,192,0
105,N,stimC,stimD,173,0
106,G,stimB,stimD,184,1
107,N,stimC,stimA,204,0
108,G,stimB,stimD,201,1
109,N,stimC,stimA,204,0
110,N,stimC,stimD,207,0
111,G,stimB,stimD,199,1
112,N,stimC,stimA,150,0
113,G,stimB,stimA,150,1
114,N,stimC,stimD,155,0
115,N,stimC,stimA,165,0
116,N,stimC,stimA,151,0
117,N,stimC,stimA,175,0
118,N,stimC,stimA,170,0
119,N,stimC,stimD,183,0
120,G,stimB,stimD,206,1
121,N,stimC,stimD,168,0
122,G,stimB,stimA,170,1
123,G,stimB,stimD,202,1
124,G,stimB,stimD,170,1
125,N,stimC,stimA,158,0
126,N,stimC,stimA,180,0
127,N,stimC,stimD,202,0
128,N,stimC,stimD,173,0
129,N,stimC,stimA,192,0
130,N,stimC,stimD,188,0
131,N,stimC,stimA,177,0
132,G,stimB,stimD,178,1
133,N,stimC,stimD,207,0
134,N,stimC,stimA,155,0
135,G,stimB,stimD,167,1
136,N,stimC,stimA,177,0
137,N,stimC,stimA,185,0
138,G,stimB,stimD,203,1
139,N,stimC,stimD,178,0
140,N,stimC,stimD,176,0
141,N,stimC,stimD,195,0
142,N,stimC,stimA,178,0
143,N,stimC,stimA,202,0
144,G,stimB,stimA,178,1
145,G,stimB,stimA,180,1
146,N,stimC,stimD,179,0
147,N,stimC,stimD,163,0
148,N,stimC,stimA,155,0
149,N,stimC,stimA,154,0
150,G,stimB,stimA,204,1
151,N,stimD,stimC,164,0
152,N,stimA,stimC,202,0
153,G,stimD,stimB,193,1
154,N,stimA,stimC,203,0
155,N,stimD,stimC,207,0
156,G,stimD,stimB,158,1
157,G,stimD,stimB,174,1
158,N,stimA,stimC,209,0
159,N,stimA,stimC,189,0
160,N,stimD,stimC,204,0
161,G,stimD,stimB,179,1
162,N,stimA,stimC,150,0
163,G,stimD,stimB,187,1
164,G,stimD,stimB,164,1
165,N,stimD,stimC,182,0
166,N,stimD,stimC,194,0
167,N,stimD,stimC,187,0
168,N,stimA,stimC,185,0
169,N,stimA,stimC,176,0
170,N,stimD,stimC,164,0
171,N,stimA,stimC,176,0
172,N,stimA,stimC,150,0
173,N,stimD,stimC,187,0
174,N,stimA,stimC,208,0
175,N,stimD,stimC,155,0
176,G,stimA,stimB,152,1
177,N,stimD,stimC,204,0
178,G,stimD,stimB,165,1
179,N,stimA,stimC,150,0
180,G,stimA,stimB,199,1
181,N,stimD,stimC,158,0
182,N,stimA,stimC,203,0
183,G,stimD,stimB,155,1
184,G,stimD,stimB,171,1
185,N,stimA,stimC,186,0
186,G,stimD,stimB,185,1
187,N,stimD,stimC,190,0
188,N,stimD,stimC,189,0
189,N,stimD,stimC,176,0
190,N,stimD,stimC,158,0
191,N,stimA,stimC,195,0
192,N,stimD,stimC,164,0
193,G,stimD,stimB,189,1
194,N,stimD,stimC,202,0
195,N,stimD,stimC,155,0
196,N,stimD,stimC,209,0
197,N,stimD,stimC,151,0
198,G,stimA,stimB,200,1
199,G,stimD,stimB,200,1
200,N,stimA,stimC,153,0
201,G,stimB,stimA,183,1
202,N,stimC,stimA,207,0
203,N,stimC,stimA,169,0
204,N,stimC,stimD,199,0
205,N,stimC,stimA,186,0
206,N,stimC,stimD,198,0
207,N,stimC,stimD,198,0
208,G,stimB,stimD,153,1
209,G,stimB,stimD,167,1
210,N,stimC,stimA,189,0
211,N,stimC,stimA,179,0
212,N,stimC,stimD,209,0
213,N,stimC,stimA,195,0
214,G,stimB,stimA,184,1
215,G,stimB,stimA,168,1
216,G,stimB,stimD,165,1
217,N,stimC,stimA,204,0
218,N,stimC,stimD,177,0
219,N,stimC,stimA,199,0
220,N,stimC,stimA,155,0
221,N,stimC,stimA,202,0
222,G,stimB,stimA,151,1
223,G,stimB,stimD,204,1
224,N,stimC,stimD,204,0
225,N,stimC,stimA,181,0
226,G,stimB,stimD,157,1
227,N,stimC,stimA,160,0
228,N,stimC,stimA,193,0
229,N,stimC,stimD,200,0
230,N,stimC,stimD,152,0
231,G,stimB,stimD,196,1
232,G,stimB,stimA,208,1
233,N,stimC,stimD,170,0
234,N,stimC,stimD,188,0
235,N,stimC,stimD,170,0
236,N,stimC,stimD,163,0
237,G,stimB,stimA,197,1
238,N,stimC,stimA,194,0
239,N,stimC,stimD,167,0
240,N,stimC,stimA,185,0
241,N,stimC,stimA,175,0
242,N,stimC,stimA,155,0
243,G,stimB,stimD,151,1
244,G,stimB,stimD,179,1
245,N,stimC,stimD,166,0
246,N,stimC,stimD,170,0
247,N,stimC,stimD,167,0
248,N,stimC,stimD,160,0
249,G,stimB,stimA,174,1
250,N,stimC,stimA,192,0
251,G,stimD,stimB,162,1
252,G,stimD,stimB,190,1
253,N,stimD,stimC,177,0
254,N,stimD,stimC,176,0
255,N,stimD,stimC,160,0
256,G,stimA,stimB,161,1
257,N,stimA,stimC,187,0
258,N,stimD,stimC,166,0
259,N,stimA,stimC,184,0
260,N,stimD,stimC,207,0
261,N,stimD,stimC,193,0
262,N,stimA,stimC,191,0
263,N,stimA,stimC,208,0
264,N,stimD,stimC,197,0
265,G,stimD,stimB,187,1
266,G,stimD,stimB,207,1
267,G,stimD,stimB,153,1
268,N,stimA,stimC,166,0
269,N,stimD,stimC,210,0
270,N,stimA,stimC,197,0
271,N,stimD,stimC,178,0
272,N,stimD,stimC,191,0
273,N,stimD,stimC,175,0
