trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimD,stimB,161,0
2,G,stimC,stimB,157,1
3,N,stimD,stimB,200,0
4,N,stimD,stimA,188,0
5,N,stimD,stimB,150,0
6,G,stimC,stimB,204,1
7,G,stimC,stimB,181,1
8,N,stimD,stimA,183,0
9,N,stimD,stimB,186,0
10,N,stimD,stimB,196,0
11,N,stimD,stimB,202,0
12,G,stimC,stimB,173,1
13,G,stimC,stimA,155,1
14,N,stimD,stimB,194,0
15,N,stimD,stimA,170,0
16,G,stimC,stimB,201,1
17,N,stimD,stimA,172,0
18,N,stimD,stimB,200,0
19,N,stimD,stimB,160,0
20,N,stimD,stimA,157,0
21,N,stimD,stimA,203,0
22,N,stimD,stimA,152,0
23,N,stimD,stimB,191,0
24,N,stimD,stimA,194,0
25,N,stimD,stimB,176,0
26,G,stimC,stimA,173,1
27,G,stimC,stimA,209,1
28,N,stimD,stimA,174,0
29,G,stimC,stimB,176,1
30,N,stimD,stimB,159,0
31,G,stimC,stimB,169,1
32,N,stimD,stimA,169,0
33,N,stimD,stimB,204,0
34,G,stimC,stimA,165,1
35,N,stimD,stimA,168,0
36,N,stimD,stimB,174,0
37,N,stimD,stimB,193,0
38,N,stimD,stimB,158,0
39,N,stimD,stimB,203,0
40,G,stimC,stimB,155,1
41,N,stimD,stimB,178,0
42,N,stimD,stimA,151,0
43,N,stimD,stimA,195,0
44,G,stimC,stimA,192,1
45,N,stimD,stimB,163,0
46,N,stimD,stimA,191,0
47,N,stimD,stimB,183,0
48,G,stimC,stimA,201,1
49,G,stimC,stimA,184,1
50,N,stimD,stimA,205,0
51,N,stimA,stimD,175,0
52,N,stimB,stimD,171,0
53,N,stimA,stimD,179,0
54,N,stimA,stimD,165,0
55,G,stimB,stimC,206,1
56,N,stimA,stimD,178,0
57,G,stimB,stimC,165,1
58,N,stimB,stimD,176,0
59,G,stimA,stimC,192,1
60,N,stimA,stimD,174,0
61,G,stimB,stimC,161,1
62,N,stimA,stimD,202,0
63,G,stimB,stimC,185,1
64,N,stimB,stimD,172,0
65,N,stimB,stimD,163,0
66,N,stimA,stimD,163,0
67,N,stimB,stimD,181,0
68,N,stimA,stimD,176,0
69,N,stimB,stimD,195,0
70,G,stimA,stimC,154,1
71,N,stimA,stimD,201,0
72,N,stimA,stimD,191,0
73,N,stimB,stimD,158,0
74,G,stimA,stimC,202,1
75,N,stimA,stimD,162,0
76,N,stimB,stimD,187,0
77,G,stimB,stimC,183,1
78,G,stimA,stimC,159,1
79,N,stimB,stimD,150,0
80,N,stimA,stimD,197,0
81,G,stimB,stimC,196,1
82,G,stimA,stimC,175,1
83,N,stimA,stimD,153,0
84,N,stimA,stimD,185,0
85,N,stimA,stimD,160,0
86,G,stimB,stimC,194,1
87,N,stimB,stimD,182,0
88,N,stimA,stimD,165,0
89,N,stimB,stimD,205,0
90,N,stimB,stimD,196,0
91,N,stimB,stimD,204,0
92,G,stimB,stimC,154,1
93,N,stimB,stimD,161,0
94,G,stimA,stimC,194,1
95,N,stimB,stimD,192,0
96,G,stimA,stimC,197,1
97,N,stimA,stimD,180,0
98,N,stimB,stimD,175,0
99,N,stimA,stimD,187,0
100,N,stimB,stimD,202,0
101,G,stimC,stimB,190,1
102,N,stimD,stimA,181,0
103,N,stimD,stimB,168,0
104,N,stimD,stimB,192,0
105,N,stimD,stimA,173,0
106,G,stimC,stimA,184,1
107,N,stimD,stimA,204,0
108,G,stimC,stimB,201,1
109,N,stimD,stimB,204,0
110,N,stimD,stimA,207,0
111,G,stimC,stimB,199,1
112,N,stimD,stimA,150,0
113,G,stimC,stimA,150,1
114,N,stimD,stimA,155,0
115,N,stimD,stimB,165,0
116,N,stimD,stimB,151,0
117,N,stimD,stimB,175,0
118,N,stimD,stimA,170,0
119,N,stimD,stimB,183,0
120,G,stimC,stimB,206,1
121,N,stimD,stimA,168,0
122,G,stimC,stimB,170,1
123,G,stimC,stimA,202,1
124,G,stimC,stimB,170,1
125,N,stimD,stimB,158,0
126,N,stimD,stimA,180,0
127,N,stimD,stimA,202,0
128,N,stimD,stimA,173,0
129,N,stimD,stimA,192,0
130,N,stimD,stimB,188,0
131,N,stimD,stimB,177,0
132,G,stimC,stimB,178,1
133,N,stimD,stimA,207,0
134,N,stimD,stimB,155,0
135,G,stimC,stimA,167,1
136,N,stimD,stimB,177,0
137,N,stimD,stimA,185,0
138,G,stimC,stimA,203,1
139,N,stimD,stimA,178,0
140,N,stimD,stimB,176,0
141,N,stimD,stimB,195,0
142,N,stimD,stimA,178,0
143,N,stimD,stimB,202,0
144,G,stimC,stimA,178,1
145,G,stimC,stimB,180,1
146,N,stimD,stimB,179,0
147,N,stimD,stimA,163,0
148,N,stimD,stimB,155,0
149,N,stimD,stimA,154,0
150,G,stimC,stimB,204,1
151,N,stimB,stimD,164,0
152,N,stimA,stimD,202,0
153,G,stimB,stimC,193,1
154,N,stimB,stimD,203,0
155,N,stimA,stimD,207,0
156,G,stimA,stimC,158,1
157,G,stimA,stimC,174,1
158,N,stimA,stimD,209,0
159,N,stimB,stimD,189,0
160,N,stimA,stimD,204,0
161,G,stimA,stimC,179,1
162,N,stimB,stimD,150,0
163,G,stimB,stimC,187,1
164,G,stimB,stimC,164,1
165,N,stimB,stimD,182,0
166,N,stimA,stimD,194,0
167,N,stimB,stimD,187,0
168,N,stimA,stimD,185,0
169,N,stimB,stimD,176,0
170,N,stimA,stimD,164,0
171,N,stimB,stimD,176,0
172,N,stimA,stimD,150,0
173,N,stimA,stimD,187,0
174,N,stimA,stimD,208,0
175,N,stimB,stimD,155,0
176,G,stimA,stimC,152,1
177,N,stimB,stimD,204,0
178,G,stimB,stimC,165,1
179,N,stimA,stimD,150,0
180,G,stimA,stimC,199,1
181,N,stimB,stimD,158,0
182,N,stimA,stimD,203,0
183,G,stimB,stimC,155,1
184,G,stimB,stimC,171,1
185,N,stimB,stimD,186,0
186,G,stimB,stimC,185,1
187,N,stimB,stimD,190,0
188,N,stimA,stimD,189,0
189,N,stimB,stimD,176,0
190,N,stimA,stimD,158,0
191,N,stimB,stimD,195,0
192,N,stimA,stimD,164,0
193,G,stimA,stimC,189,1
194,N,stimB,stimD,202,0
195,N,stimB,stimD,155,0
196,N,stimA,stimD,209,0
197,N,stimB,stimD,151,0
198,G,stimB,stimC,200,1
199,G,stimA,stimC,200,1
200,N,stimA,stimD,153,0
201,G,stimC,stimA,183,1
202,N,stimD,stimA,207,0
203,N,stimD,stimB,169,0
204,N,stimD,stimA,199,0
205,N,stimD,stimA,186,0
206,N,stimD,stimA,198,0
207,N,stimD,stimB,198,0
208,G,stimC,stimA,153,1
209,G,stimC,stimA,167,1
210,N,stimD,stimA,189,0
211,N,stimD,stimA,179,0
212,N,stimD,stimA,209,0
213,N,stimD,stimA,195,0
214,G,stimC,stimB,184,1
215,G,stimC,stimB,168,1
216,G,stimC,stimB,165,1
217,N,stimD,stimA,204,0
218,N,stimD,stimA,177,0
219,N,stimD,stimA,199,0
220,N,stimD,stimB,155,0
221,N,stimD,stimB,202,0
222,G,stimC,stimB,151,1
223,G,stimC,stimA,204,1
224,N,stimD,stimB,204,0
225,N,stimD,stimB,181,0
226,G,stimC,stimB,157,1
227,N,stimD,stimA,160,0
228,N,stimD,stimB,193,0
229,N,stimD,stimA,200,0
230,N,stimD,stimA,152,0
