trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimA,stimB,161,0
2,G,stimD,stimC,157,1
3,N,stimA,stimB,200,0
4,N,stimA,stimC,188,0
5,N,stimA,stimB,150,0
6,G,stimD,stimC,204,1
7,G,stimD,stimB,181,1
8,N,stimA,stimC,183,0
9,N,stimA,stimC,186,0
10,N,stimA,stimB,196,0
11,N,stimA,stimB,202,0
12,G,stimD,stimB,173,1
13,G,stimD,stimB,155,1
14,N,stimA,stimB,194,0
15,N,stimA,stimB,170,0
16,G,stimD,stimB,201,1
17,N,stimA,stimB,172,0
18,N,stimA,stimB,200,0
19,N,stimA,stimB,160,0
20,N,stimA,stimC,157,0
21,N,stimA,stimC,203,0
22,N,stimA,stimC,152,0
23,N,stimA,stimB,191,0
24,N,stimA,stimB,194,0
25,N,stimA,stimB,176,0
26,G,stimD,stimB,173,1
27,G,stimD,stimC,209,1
28,N,stimA,stimC,174,0
29,G,stimD,stimB,176,1
30,N,stimA,stimC,159,0
31,G,stimD,stimB,169,1
32,N,stimA,stimB,169,0
33,N,stimA,stimC,204,0
34,G,stimD,stimC,165,1
35,N,stimA,stimB,168,0
36,N,stimA,stimB,174,0
37,N,stimA,stimC,193,0
38,N,stimA,stimC,158,0
39,N,stimA,stimC,203,0
40,G,stimD,stimC,155,1
41,N,stimA,stimC,178,0
42,N,stimA,stimB,151,0
43,N,stimA,stimB,195,0
44,G,stimD,stimB,192,1
45,N,stimA,stimB,163,0
46,N,stimA,stimC,191,0
47,N,stimA,stimB,183,0
48,G,stimD,stimB,201,1
49,G,stimD,stimC,184,1
50,N,stimA,stimB,205,0
51,N,stimB,stimA,175,0
52,N,stimC,stimA,171,0
53,N,stimB,stimA,179,0
54,N,stimC,stimA,165,0
55,G,stimC,stimD,206,1
56,N,stimC,stimA,178,0
57,G,stimC,stimD,165,1
58,N,stimC,stimA,176,0
59,G,stimC,stimD,192,1
60,N,stimC,stimA,174,0
61,G,stimB,stimD,161,1
62,N,stimB,stimA,202,0
63,G,stimC,stimD,185,1
64,N,stimC,stimA,172,0
65,N,stimB,stimA,163,0
66,N,stimB,stimA,163,0
67,N,stimB,stimA,181,0
68,N,stimB,stimA,176,0
69,N,stimC,stimA,195,0
70,G,stimB,stimD,154,1
71,N,stimB,stimA,201,0
72,N,stimC,stimA,191,0
73,N,stimC,stimA,158,0
74,G,stimC,stimD,202,1
75,N,stimC,stimA,162,0
76,N,stimC,stimA,187,0
77,G,stimB,stimD,183,1
78,G,stimC,stimD,159,1
79,N,stimC,stimA,150,0
80,N,stimB,stimA,197,0
81,G,stimB,stimD,196,1
82,G,stimC,stimD,175,1
83,N,stimC,stimA,153,0
84,N,stimB,stimA,185,0
85,N,stimB,stimA,160,0
86,G,stimB,stimD,194,1
87,N,stimB,stimA,182,0
88,N,stimC,stimA,165,0
89,N,stimC,stimA,205,0
90,N,stimC,stimA,196,0
91,N,stimB,stimA,204,0
92,G,stimB,stimD,154,1
93,N,stimB,stimA,161,0
94,G,stimC,stimD,194,1
95,N,stimC,stimA,192,0
96,G,stimB,stimD,197,1
97,N,stimC,stimA,180,0
98,N,stimB,stimA,175,0
99,N,stimC,stimA,187,0
100,N,stimC,stimA,202,0
101,G,stimD,stimC,190,1
102,N,stimA,stimB,181,0
103,N,stimA,stimC,168,0
104,N,stimA,stimC,192,0
105,N,stimA,stimC,173,0
106,G,stimD,stimC,184,1
107,N,stimA,stimC,204,0
108,G,stimD,stimB,201,1
109,N,stimA,stimB,204,0
110,N,stimA,stimC,207,0
111,G,stimD,stimC,199,1
112,N,stimA,stimC,150,0
113,G,stimD,stimB,150,1
114,N,stimA,stimB,155,0
115,N,stimA,stimB,165,0
116,N,stimA,stimC,151,0
117,N,stimA,stimB,175,0
118,N,stimA,stimC,170,0
119,N,stimA,stimC,183,0
120,G,stimD,stimB,206,1
121,N,stimA,stimB,168,0
122,G,stimD,stimB,170,1
123,G,stimD,stimB,202,1
124,G,stimD,stimB,170,1
125,N,stimA,stimB,158,0
126,N,stimA,stimB,180,0
127,N,stimA,stimB,202,0
128,N,stimA,stimB,173,0
129,N,stimA,stimB,192,0
130,N,stimA,stimB,188,0
131,N,stimA,stimB,177,0
132,G,stimD,stimC,178,1
133,N,stimA,stimB,207,0
134,N,stimA,stimB,155,0
135,G,stimD,stimB,167,1
136,N,stimA,stimB,177,0
137,N,stimA,stimC,185,0
138,G,stimD,stimB,203,1
139,N,stimA,stimB,178,0
140,N,stimA,stimC,176,0
141,N,stimA,stimC,195,0
142,N,stimA,stimB,178,0
143,N,stimA,stimB,202,0
144,G,stimD,stimB,178,1
145,G,stimD,stimC,180,1
146,N,stimA,stimC,179,0
147,N,stimA,stimB,163,0
148,N,stimA,stimB,155,0
149,N,stimA,stimB,154,0
150,G,stimD,stimC,204,1
151,N,stimC,stimA,164,0
152,N,stimC,stimA,202,0
153,G,stimC,stimD,193,1
