trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimC_100,stimB,173,0
2,N,stimC_100,stimB,177,0
3,N,stimC_100,stimB,201,0
4,N,stimD_100,stimB,182,0
5,G,stimD_100,stimA,154,1
6,N,stimD_100,stimB,171,0
7,N,stimC_100,stimB,206,0
8,N,stimC_100,stimB,175,0
9,G,stimC_100,stimA,172,1
10,G,stimD_100,stimA,201,1
11,G,stimC_100,stimA,198,1
12,G,stimD_100,stimA,171,1
13,N,stimC_100,stimB,197,0
14,N,stimD_100,stimB,152,0
15,N,stimD_100,stimB,186,0
16,G,stimC_100,stimA,159,1
17,N,stimC_100,stimB,207,0
18,N,stimD_100,stimB,162,0
19,N,stimD_100,stimB,174,0
20,N,stimC_100,stimB,184,0
21,G,stimC_100,stimA,175,1
22,N,stimC_100,stimB,166,0
23,N,stimD_100,stimB,196,0
24,N,stimD_100,stimB,162,0
25,N,stimC_100,stimB,187,0
26,N,stimD_100,stimB,207,0
27,N,stimC_100,stimB,175,0
28,G,stimC_100,stimA,151,1
29,N,stimD_100,stimB,180,0
30,G,stimD_100,stimA,151,1
31,N,stimC_100,stimB,165,0
32,N,stimC_100,stimB,160,0
33,N,stimC_100,stimB,200,0
34,N,stimD_100,stimB,175,0
35,N,stimD_100,stimB,162,0
36,N,stimC_100,stimB,199,0
37,G,stimC_100,stimA,188,1
38,N,stimD_100,stimB,164,0
39,G,stimC_100,stimA,151,1
40,G,stimC_100,stimA,170,1
41,N,stimD_100,stimB,172,0
42,G,stimD_100,stimA,199,1
43,G,stimC_100,stimA,182,1
44,G,stimC_100,stimA,161,1
45,N,stimC_100,stimB,189,0
46,N,stimD_100,stimB,160,0
47,N,stimD_100,stimB,162,0
48,N,stimD_100,stimB,174,0
49,N,stimD_100,stimB,150,0
50,N,stimD_100,stimB,185,0
51,G,stimA,stimD_100,159,1
52,N,stimB,stimD_100,181,0
53,N,stimB,stimD_100,182,0
54,N,stimB,stimD_100,197,0
55,N,stimB,stimD_100,173,0
56,N,stimB,stimD_100,156,0
57,N,stimB,stimD_100,192,0
58,G,stimA,stimC_100,179,1
59,G,stimA,stimC_100,207,1
60,N,stimB,stimC_100,159,0
61,N,stimB,stimD_100,151,0
62,N,stimB,stimD_100,198,0
63,G,stimA,stimD_100,156,1
64,N,stimB,stimD_100,180,0
65,N,stimB,stimD_100,152,0
66,G,stimA,stimC_100,180,1
67,N,stimB,stimC_100,202,0
68,N,stimB,stimD_100,155,0
