trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimA_25,stimC,173,0
2,N,stimD_25,stimC,177,0
3,N,stimA_25,stimC,201,0
4,N,stimA_25,stimC,182,0
5,G,stimA_25,stimB,154,1
6,N,stimA_25,stimC,171,0
7,N,stimA_25,stimC,206,0
8,N,stimD_25,stimC,175,0
9,G,stimD_25,stimB,172,1
10,G,stimA_25,stimB,201,1
11,G,stimA_25,stimB,198,1
12,G,stimA_25,stimB,171,1
13,N,stimD_25,stimC,197,0
14,N,stimA_25,stimC,152,0
15,N,stimD_25,stimC,186,0
16,G,stimD_25,stimB,159,1
17,N,stimD_25,stimC,207,0
18,N,stimD_25,stimC,162,0
19,N,stimD_25,stimC,174,0
20,N,stimA_25,stimC,184,0
21,G,stimA_25,stimB,175,1
22,N,stimA_25,stimC,166,0
23,N,stimA_25,stimC,196,0
24,N,stimA_25,stimC,162,0
25,N,stimA_25,stimC,187,0
26,N,stimD_25,stimC,207,0
27,N,stimD_25,stimC,175,0
28,G,stimA_25,stimB,151,1
29,N,stimA_25,stimC,180,0
30,G,stimD_25,stimB,151,1
31,N,stimD_25,stimC,165,0
32,N,stimD_25,stimC,160,0
33,N,stimA_25,stimC,200,0
34,N,stimA_25,stimC,175,0
35,N,stimD_25,stimC,162,0
36,N,stimA_25,stimC,199,0
37,G,stimA_25,stimB,188,1
38,N,stimD_25,stimC,164,0
39,G,stimD_25,stimB,151,1
40,G,stimD_25,stimB,170,1
41,N,stimD_25,stimC,172,0
42,G,stimD_25,stimB,199,1
43,G,stimD_25,stimB,182,1
44,G,stimD_25,stimB,161,1
45,N,stimA_25,stimC,189,0
46,N,stimD_25,stimC,160,0
47,N,stimD_25,stimC,162,0
48,N,stimA_25,stimC,174,0
49,N,stimD_25,stimC,150,0
50,N,stimD_25,stimC,185,0
51,G,stimB,stimD_25,159,1
52,N,stimC,stimA_25,181,0
53,N,stimC,stimD_25,182,0
54,N,stimC,stimA_25,197,0
55,N,stimC,stimA_25,173,0
56,N,stimC,stimD_25,156,0
57,N,stimC,stimA_25,192,0
58,G,stimB,stimA_25,179,1
59,G,stimB,stimD_25,207,1
60,N,stimC,stimA_25,159,0
61,N,stimC,stimD_25,151,0
62,N,stimC,stimD_25,198,0
63,G,stimB,stimD_25,156,1
64,N,stimC,stimD_25,180,0
65,N,stimC,stimD_25,152,0
66,G,stimB,stimD_25,180,1
67,N,stimC,stimA_25,202,0
68,N,stimC,stimA_25,155,0
69,N,stimC,stimD_25,171,0
70,G,stimB,stimD_25,175,1
71,N,stimC,stimD_25,150,0
72,N,stimC,stimA_25,188,0
73,G,stimB,stimD_25,170,1
74,N,stimC,stimA_25,167,0
75,N,stimC,stimD_25,168,0
76,N,stimC,stimD_25,163,0
77,G,stimB,stimD_25,176,1
78,N,stimC,stimA_25,156,0
79,N,stimC,stimD_25,182,0
80,G,stimB,stimD_25,183,1
81,N,stimC,stimA_25,181,0
82,G,stimB,stimD_25,182,1
83,N,stimC,stimA_25,185,0
84,N,stimC,stimD_25,183,0
85,N,stimC,stimD_25,208,0
86,N,stimC,stimD_25,196,0
87,N,stimC,stimA_25,189,0
88,N,stimC,stimA_25,172,0
89,G,stimB,stimD_25,165,1
90,G,stimB,stimD_25,208,1
91,G,stimB,stimA_25,195,1
92,N,stimC,stimD_25,159,0
93,N,stimC,stimD_25,164,0
94,G,stimB,stimA_25,181,1
95,N,stimC,stimA_25,159,0
96,N,stimC,stimD_25,202,0
97,N,stimC,stimD_25,193,0
98,G,stimB,stimA_25,186,1
99,N,stimC,stimD_25,173,0
