trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimB_25,stimA,173,0
2,N,stimC_25,stimA,177,0
3,N,stimB_25,stimA,201,0
4,N,stimB_25,stimA,182,0
5,G,stimB_25,stimD,154,1
6,N,stimB_25,stimA,171,0
7,N,stimC_25,stimA,206,0
8,N,stimB_25,stimA,175,0
9,G,stimB_25,stimD,172,1
10,G,stimC_25,stimD,201,1
11,G,stimB_25,stimD,198,1
12,G,stimB_25,stimD,171,1
13,N,stimC_25,stimA,197,0
14,N,stimC_25,stimA,152,0
15,N,stimB_25,stimA,186,0
16,G,stimC_25,stimD,159,1
17,N,stimB_25,stimA,207,0
18,N,stimB_25,stimA,162,0
19,N,stimB_25,stimA,174,0
20,N,stimB_25,stimA,184,0
21,G,stimB_25,stimD,175,1
22,N,stimB_25,stimA,166,0
23,N,stimB_25,stimA,196,0
24,N,stimC_25,stimA,162,0
25,N,stimB_25,stimA,187,0
26,N,stimC_25,stimA,207,0
27,N,stimB_25,stimA,175,0
28,G,stimB_25,stimD,151,1
29,N,stimC_25,stimA,180,0
30,G,stimC_25,stimD,151,1
31,N,stimC_25,stimA,165,0
32,N,stimC_25,stimA,160,0
33,N,stimC_25,stimA,200,0
34,N,stimC_25,stimA,175,0
35,N,stimC_25,stimA,162,0
36,N,stimB_25,stimA,199,0
37,G,stimB_25,stimD,188,1
38,N,stimC_25,stimA,164,0
39,G,stimC_25,stimD,151,1
40,G,stimC_25,stimD,170,1
41,N,stimC_25,stimA,172,0
42,G,stimB_25,stimD,199,1
43,G,stimC_25,stimD,182,1
44,G,stimC_25,stimD,161,1
45,N,stimC_25,stimA,189,0
46,N,stimC_25,stimA,160,0
47,N,stimB_25,stimA,162,0
48,N,stimC_25,stimA,174,0
49,N,stimC_25,stimA,150,0
50,N,stimB_25,stimA,185,0
51,G,stimD,stimC_25,159,1
52,N,stimA,stimB_25,181,0
53,N,stimA,stimC_25,182,0
54,N,stimA,stimB_25,197,0
55,N,stimA,stimC_25,173,0
56,N,stimA,stimC_25,156,0
57,N,stimA,stimB_25,192,0
58,G,stimD,stimC_25,179,1
59,G,stimD,stimC_25,207,1
60,N,stimA,stimC_25,159,0
61,N,stimA,stimB_25,151,0
62,N,stimA,stimB_25,198,0
63,G,stimD,stimB_25,156,1
64,N,stimA,stimC_25,180,0
65,N,stimA,stimB_25,152,0
66,G,stimD,stimB_25,180,1
67,N,stimA,stimC_25,202,0
68,N,stimA,stimB_25,155,0
69,N,stimA,stimC_25,171,0
70,G,stimD,stimC_25,175,1
71,N,stimA,stimB_25,150,0
72,N,stimA,stimB_25,188,0
73,G,stimD,stimC_25,170,1
74,N,stimA,stimB_25,167,0
75,N,stimA,stimB_25,168,0
76,N,stimA,stimC_25,163,0
77,G,stimD,stimC_25,176,1
78,N,stimA,stimC_25,156,0
79,N,stimA,stimC_25,182,0
80,G,stimD,stimC_25,183,1
81,N,stimA,stimB_25,181,0
82,G,stimD,stimC_25,182,1
83,N,stimA,stimB_25,185,0
84,N,stimA,stimB_25,183,0
85,N,stimA,stimC_25,208,0
86,N,stimA,stimC_25,196,0
87,N,stimA,stimB_25,189,0
88,N,stimA,stimC_25,172,0
89,G,stimD,stimB_25,165,1
90,G,stimD,stimB_25,208,1
91,G,stimD,stimC_25,195,1
92,N,stimA,stimC_25,159,0
93,N,stimA,stimC_25,164,0
94,G,stimD,stimC_25,181,1
95,N,stimA,stimB_25,159,0
96,N,stimA,stimB_25,202,0
97,N,stimA,stimB_25,193,0
98,G,stimD,stimB_25,186,1
99,N,stimA,stimC_25,173,0
100,N,stimA,stimB_25,182,0
101,G,stimB_25,stimD,167,1
102,G,stimC_25,stimD,203,1
103,N,stimC_25,stimA,181,0
104,N,stimC_25,stimA,157,0
105,G,stimB_25,stimD,158,1
106,N,stimC_25,stimA,197,0
107,N,stimB_25,stimA,208,0
108,N,stimB_25,stimA,190,0
109,N,stimB_25,stimA,175,0
110,N,stimB_25,stimA,164,0
111,N,stimB_25,stimA,201,0
112,G,stimC_25,stimD,167,1
113,N,stimC_25,stimA,190,0
114,N,stimB_25,stimA,201,0
115,G,stimB_25,stimD,185,1
116,N,stimC_25,stimA,154,0
117,N,stimB_25,stimA,180,0
118,N,stimC_25,stimA,181,0
119,N,stimC_25,stimA,159,0
120,G,stimB_25,stimD,195,1
121,N,stimB_25,stimA,206,0
122,N,stimC_25,stimA,159,0
123,G,stimB_25,stimD,171,1
124,N,stimC_25,stimA,167,0
125,N,stimC_25,stimA,183,0
126,N,stimC_25,stimA,174,0
127,N,stimB_25,stimA,206,0
128,N,stimB_25,stimA,175,0
129,G,stimB_25,stimD,170,1
130,G,stimC_25,stimD,193,1
131,N,stimC_25,stimA,170,0
132,N,stimB_25,stimA,183,0
133,N,stimB_25,stimA,163,0
134,N,stimC_25,stimA,192,0
135,N,stimC_25,stimA,156,0
136,N,stimC_25,stimA,172,0
137,G,stimC_25,stimD,152,1
138,G,stimB_25,stimD,207,1
139,G,stimC_25,stimD,176,1
140,N,stimC_25,stimA,161,0
141,N,stimB_25,stimA,202,0
142,N,stimB_25,stimA,185,0
143,N,stimC_25,stimA,153,0
144,G,stimB_25,stimD,204,1
145,N,stimC_25,stimA,153,0
146,N,stimB_25,stimA,205,0
147,N,stimC_25,stimA,182,0
148,N,stimB_25,stimA,175,0
149,G,stimB_25,stimD,174,1
150,G,stimB_25,stimD,206,1
151,G,stimD,stimB_25,198,1
152,G,stimD,stimB_25,198,1
153,N,stimA,stimC_25,165,0
154,N,stimA,stimC_25,193,0
155,N,stimA,stimC_25,173,0
156,N,stimA,stimC_25,188,0
157,N,stimA,stimC_25,170,0
158,N,stimA,stimB_25,181,0
159,N,stimA,stimB_25,202,0
160,G,stimD,stimC_25,182,1
161,N,stimA,stimC_25,205,0
162,N,stimA,stimB_25,203,0
163,G,stimD,stimC_25,177,1
164,N,stimA,stimC_25,175,0
165,N,stimA,stimC_25,176,0
166,G,stimD,stimB_25,165,1
167,N,stimA,stimC_25,150,0
168,N,stimA,stimB_25,206,0
169,G,stimD,stimC_25,195,1
170,N,stimA,stimB_25,180,0
171,N,stimA,stimC_25,151,0
172,G,stimD,stimB_25,196,1
173,N,stimA,stimC_25,168,0
174,N,stimA,stimB_25,153,0
175,N,stimA,stimB_25,159,0
176,N,stimA,stimB_25,206,0
177,N,stimA,stimC_25,173,0
178,G,stimD,stimC_25,161,1
179,G,stimD,stimC_25,195,1
180,N,stimA,stimB_25,177,0
181,N,stimA,stimC_25,205,0
182,N,stimA,stimB_25,162,0
183,N,stimA,stimB_25,202,0
184,N,stimA,stimB_25,197,0
185,G,stimD,stimB_25,154,1
186,G,stimD,stimB_25,163,1
187,N,stimA,stimB_25,151,0
188,N,stimA,stimB_25,210,0
189,N,stimA,stimB_25,191,0
190,G,stimD,stimB_25,159,1
191,G,stimD,stimB_25,192,1
192,N,stimA,stimC_25,191,0
193,N,stimA,stimB_25,209,0
194,N,stimA,stimC_25,199,0
195,G,stimD,stimC_25,154,1
196,N,stimA,stimC_25,209,0
197,N,stimA,stimB_25,185,0
198,G,stimD,stimC_25,178,1
199,N,stimA,stimB_25,162,0
200,N,stimA,stimB_25,201,0
201,G,stimB_25,stimD,186,1
202,N,stimC_25,stimA,170,0
203,G,stimB_25,stimD,192,1
204,N,stimC_25,stimA,188,0
205,G,stimC_25,stimD,164,1
