trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,N,stimB_50,stimD,173,0
2,N,stimA_50,stimD,177,0
3,N,stimB_50,stimD,201,0
4,N,stimA_50,stimD,182,0
5,G,stimB_50,stimC,154,1
6,N,stimA_50,stimD,171,0
7,N,stimA_50,stimD,206,0
8,N,stimB_50,stimD,175,0
9,G,stimA_50,stimC,172,1
10,G,stimA_50,stimC,201,1
11,G,stimB_50,stimC,198,1
12,G,stimB_50,stimC,171,1
13,N,stimB_50,stimD,197,0
14,N,stimA_50,stimD,152,0
15,N,stimB_50,stimD,186,0
16,G,stimB_50,stimC,159,1
17,N,stimB_50,stimD,207,0
18,N,stimA_50,stimD,162,0
19,N,stimB_50,stimD,174,0
20,N,stimA_50,stimD,184,0
21,G,stimA_50,stimC,175,1
22,N,stimB_50,stimD,166,0
23,N,stimA_50,stimD,196,0
24,N,stimA_50,stimD,162,0
25,N,stimB_50,stimD,187,0
26,N,stimA_50,stimD,207,0
27,N,stimB_50,stimD,175,0
28,G,stimB_50,stimC,151,1
29,N,stimA_50,stimD,180,0
30,G,stimB_50,stimC,151,1
31,N,stimA_50,stimD,165,0
32,N,stimA_50,stimD,160,0
33,N,stimB_50,stimD,200,0
34,N,stimB_50,stimD,175,0
35,N,stimB_50,stimD,162,0
36,N,stimB_50,stimD,199,0
37,G,stimA_50,stimC,188,1
38,N,stimB_50,stimD,164,0
39,G,stimB_50,stimC,151,1
40,G,stimA_50,stimC,170,1
41,N,stimB_50,stimD,172,0
42,G,stimA_50,stimC,199,1
43,G,stimB_50,stimC,182,1
44,G,stimB_50,stimC,161,1
45,N,stimA_50,stimD,189,0
46,N,stimB_50,stimD,160,0
47,N,stimB_50,stimD,162,0
48,N,stimA_50,stimD,174,0
49,N,stimB_50,stimD,150,0
50,N,stimB_50,stimD,185,0
51,G,stimC,stimA_50,159,1
52,N,stimD,stimA_50,181,0
53,N,stimD,stimB_50,182,0
54,N,stimD,stimA_50,197,0
55,N,stimD,stimB_50,173,0
56,N,stimD,stimB_50,156,0
57,N,stimD,stimA_50,192,0
58,G,stimC,stimA_50,179,1
59,G,stimC,stimB_50,207,1
60,N,stimD,stimB_50,159,0
61,N,stimD,stimA_50,151,0
62,N,stimD,stimA_50,198,0
63,G,stimC,stimB_50,156,1
64,N,stimD,stimA_50,180,0
65,N,stimD,stimB_50,152,0
66,G,stimC,stimA_50,180,1
67,N,stimD,stimA_50,202,0
68,N,stimD,stimA_50,155,0
69,N,stimD,stimB_50,171,0
70,G,stimC,stimB_50,175,1
71,N,stimD,stimA_50,150,0
72,N,stimD,stimA_50,188,0
73,G,stimC,stimB_50,170,1
74,N,stimD,stimA_50,167,0
75,N,stimD,stimA_50,168,0
76,N,stimD,stimB_50,163,0
77,G,stimC,stimB_50,176,1
78,N,stimD,stimB_50,156,0
79,N,stimD,stimB_50,182,0
80,G,stimC,stimA_50,183,1
